Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Syed Zeeshan,1 year ago,Great video ♡,https://yt3.ggpht.com/ytc/AGIKgqM9KMBDzmqnoc7zu_94jesMLEIXHCEonOD77jynxw=s48-c-k-c0x00ffffff-no-rj,0
Shahzaib Rind,1 year ago,It will be more helpful for us thank you sir,https://yt3.ggpht.com/ytc/AGIKgqNMEekdIOR_E6ZiqVoSQFYorV0c5RYzq6dh3_ZHtA=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Azeem Unar,10 months ago,Thank you so much ,https://yt3.ggpht.com/ytc/AGIKgqMnsKWjoByy9RLMPFlR6-jY9efgaI-5Bf9MSmwsNw=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Tashfain,1 year ago,Sir please bring our paid courses on DevOps or web development,https://yt3.ggpht.com/ytc/AGIKgqN0b-pMOeUFQjcRPJwO_pce9OoNXLVX7GzaQQ=s48-c-k-c0x00ffffff-no-rj,0
SAQIB AMIN,1 month ago,This video is REally helfull,,0
Fatima Ali,1 year ago,Are students who Will be graduating in 2022 welcome to send CV at Cogent Labs?,,0
Afaque Buledi,1 year ago,Mujhe is ki hi zaroorat the ke Kon si cheez kis jagh per ho. Thank you so much sir ️,https://yt3.ggpht.com/IYR2C86wBUQ2W4sJGVd6K28IpSFt3JNjKUph1PPJkRZiHN_PMftPXPaHZDYxsvYiDmNEK7pByw=s48-c-k-c0x00ffffff-no-rj,0
Ahmad Waheed,1 year ago,Thanks,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,0
talib farooq,1 year ago,"Re-uploaded 
If I am not wrong :^)",https://yt3.ggpht.com/ytc/AGIKgqNIpwONCuh608GeZcTlZqmkhtfzQ0HyAcsG1fTi=s48-c-k-c0x00ffffff-no-rj,0
sabitha sabitha,1 month ago,Hi sir myself sabitha i was fill the form pls reply me sir,https://yt3.ggpht.com/ytc/AGIKgqMN-58Qy_cBOBY4iGMHkLRWOHTMwhFLkBTR9g=s48-c-k-c0x00ffffff-no-rj,0
Musawir Butt,1 year ago,Lit,https://yt3.ggpht.com/ytc/AGIKgqMX2y5XBgIEjRzmQ8xXTE3TrMBJnhpZQLsePSDpoU8kk89Y_NtIWAnNcN0cO1OM=s48-c-k-c0x00ffffff-no-rj,0
Zizu Zuzu,11 months ago,How can I contact you Bhai,https://yt3.ggpht.com/S11EeNkRnWtIYl5_z3jMSJvc3toNBs-0i-Gp9KDtiaX-CM0DkLr_Kx-BPEm3y-H5YqMEllW_RlY=s48-c-k-c0x00ffffff-no-rj,0
virtual nerd,11 months ago,how can i contact you,https://yt3.ggpht.com/ytc/AGIKgqOgYXjq2jLeX870oS11-ANtx3uuWn6NjrEkog=s48-c-k-c0x00ffffff-no-rj,0
