Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Farman Azaad,5 days ago,"ان کو خود بھی نہیں پتہ کہ ان کو غصہ آ کس چیز پر رہا ہے 
",https://yt3.ggpht.com/9wgQbY2fFhue8q5PiTyzijEolIjRW7LgJAvkoWc3uOIsLZfISnbDvoYfMt8C2dAACOWUEvkNew=s48-c-k-c0x00ffffff-no-rj,10
Muhammad Ramzan,6 days ago,Priceless Words ,https://yt3.ggpht.com/ytc/AGIKgqOHTOgXfGeuX5lSda7hdZZNizBuFQ9X2_QB7EpLvQ=s48-c-k-c0x00ffffff-no-rj,6
Humaira Almas,5 days ago,This video is specially for males but mostly viewed by females,https://yt3.ggpht.com/ytc/AGIKgqNEPLQwxd-Aw-kHRFHlUujFi7i0FSytPUFHkbfaxXAEcBnVlGhomaw0c_CzceM9=s48-c-k-c0x00ffffff-no-rj,34
Asma Kareem,6 days ago,اللہ پاک آ پ کو ہمیشہ خوش رکھے آپ ایک 'انسان'ہیں ۔یہ انسانیت کسی کسی میں دیکھنے کو ملتی ہے آ پ کی بیگم بہت خوش نصیب ہیں ،بھائی,https://yt3.ggpht.com/ytc/AGIKgqMQG23cx3xETFC-FfyPwxU8k6S_m-pa0jpU5A1lbBhmoBAgnq7pw2YIp4cBfqYP=s48-c-k-c0x00ffffff-no-rj,5
Umme Ali,6 days ago,"Paese dene bhi bol den sir Bahot se 
Mard  zarurat ka saman khana kapde   khud la ke dete hae biwi k hat me 1 rupya nahi dete 
Ye kahte hae k kya chahiye bolo lekin kabhi paese ki bhi zarurat hoti hae aurat kaha jaye kis se mange",https://yt3.ggpht.com/ytc/AGIKgqOvP_8iGNFoXyXvmsMj7uFZ1HG6NZ--hxxfQVEp3umDO3Wim7tfsrQur-dtngNU=s48-c-k-c0x00ffffff-no-rj,7
Abdur Rehman Assad,5 days ago,"Respect 
Security 
Focus",https://yt3.ggpht.com/ytc/AGIKgqNYX6EoAS8j7vOFRmvG1_uAes_ZH64t26F1Dw=s48-c-k-c0x00ffffff-no-rj,4
Ghouse Malik,5 days ago,,https://yt3.ggpht.com/ytc/AGIKgqN1iSHi-KP7tGLkNN2xL0ZGXQyNsoinbaC1wA=s48-c-k-c0x00ffffff-no-rj,2
ayesha,2 weeks ago,"I hope is video mei ap, husband ki image, specially  mumma's boy wale husband par bhi roshni dalenge. Deen aur duniya  ke aitbaar se Kitni hadh tak sahi aur kitni hadh tak galat....  Shukriya ... Eagerly waiting... Jazak Allah khair",https://yt3.ggpht.com/TewuJ0JqN7g7OF4xT3g0BmpPruaYFav587wFfHIADxyO8TWa_r5frXMSHTV9bVBrmiFv9q6C9xw=s48-c-k-c0x00ffffff-no-rj,7
Bilal Ahmad Khan,5 days ago, thumbs up ,https://yt3.ggpht.com/ytc/AGIKgqMGPw6Yt1fur0ubgjw5Vvmljwxw-uHbcCgByaYVtg=s48-c-k-c0x00ffffff-no-rj,2
Hamza Abdul Wahab,5 days ago,میں یہ سب کرتا ہوں پہلے سے ہی اور وہ مجھے بہت چاہتی ہے. میں اس سے دور ہوں لیکن روز افطاری کے بعد میں ویڈیو کال کرتا ہوں اور وہ بولتی جاتی ہے کیسٹ کی طرح اور میں بس سنتا ہوں اس طرح وہ اپنے پورے دن کی روداد مجھے سنا کر پرسکون ہوجاتی ہے.,https://yt3.ggpht.com/ytc/AGIKgqMOEPwrHW2coXVM4aIcmGniKzsMaNyA3qZW7Yn-hg=s48-c-k-c0x00ffffff-no-rj,5
Muhammad Ammar,5 days ago,مَاشااللّٰه,,2
M Suleman,6 days ago,"Masha Allah sir bht khoobsurat baaten,Allah kary mard hazraat amal karen is pr ameen.",,2
zong phone,5 days ago,"اسلام علیکم ۔۔۔
اپنے دوست عبداللہ سے پوچھیئے 
جو بہنیں شادی شدہ نہيں ان پر بھائی کی کیا ذمہ داری
اور بہن اگر بھائی کے لئیے سب کچھ کرتی بدلے میں بھائی بھابھی ویسا کیوں نہیں مخلص ہوتے بھائی کے بچوں کے لئے سب کچھ کیا مگر بدلے میں بھائی بھابھی کو اپنے ہی بچے عزیز اس بہن کا وقت گزرنے کے بعد کیا کرے رشتہ داروں کی باتیں نہیں سنی اس لئے بہن کا ہر جگہ آنا جانا ممنوع 
والدین حیات نہ رہے بھائی بہن باقی شادی شدہ ہو جو رہ جائے وہ کیا کرے",,5
Bisma Afaq,7 days ago,Waiting this Video .......,https://yt3.ggpht.com/ytc/AGIKgqOP4XS7UtpVDT_yNi2mqCNGWAhIj7FSno7WKg=s48-c-k-c0x00ffffff-no-rj,5
HKD Mufti Tariq Masood,5 days ago,آپ کے ہر لفظ سنہرے حروف میں لکھنے کے قابل ہیں ۔,https://yt3.ggpht.com/ytc/AGIKgqMH0VWiPUlIloXJRWnnAlCvvI7BSu2Gdondb-e0Bg=s48-c-k-c0x00ffffff-no-rj,4
Hy-Books,5 days ago (edited),1:29 Bilu ......,https://yt3.ggpht.com/9hIlwULTWCdnFlrC4NL39SpJUH1tqRZ8rFk615Ty3esAe-RLsQOav3keoy6e1LH_FfIwAD58=s48-c-k-c0x00ffffff-no-rj,4
Ghouse Malik,5 days ago,Ghussa wali bat achi kahi,https://yt3.ggpht.com/ytc/AGIKgqN1iSHi-KP7tGLkNN2xL0ZGXQyNsoinbaC1wA=s48-c-k-c0x00ffffff-no-rj,4
qari suleman,5 days ago,mey ye  sarey kaam karta hoon or bohat khosh hoon ALHAMDUILLAH,https://yt3.ggpht.com/ytc/AGIKgqPTe4q6tD7uvzKi-pGJonA551CmWvamqmDwfA=s48-c-k-c0x00ffffff-no-rj,4
Syed Usman Ur Rahman,5 days ago,,https://yt3.ggpht.com/ytc/AGIKgqOTyhCxKhsnsdoprrVUWPF-uQL1c48M695_jA=s48-c-k-c0x00ffffff-no-rj,4
The Positive Vibes,7 days ago,Waiting,https://yt3.ggpht.com/4LqH4ohPnA7QT8wmIc-sqDZvTXzDzlsqxT3MtYkn15mc-9kSkU9K8L3HXBD5pUy0M6yfJ5aelw=s48-c-k-c0x00ffffff-no-rj,4
Ghouse Malik,5 days ago,,https://yt3.ggpht.com/ytc/AGIKgqN1iSHi-KP7tGLkNN2xL0ZGXQyNsoinbaC1wA=s48-c-k-c0x00ffffff-no-rj,3
Iqra Online Tutor,5 days ago,Informative,https://yt3.ggpht.com/9slDnZlt6qe-KReBSiFRNOcjfh9ZWV9tpuc7UrQcuB_e0UGn_0wNv9q63FToY6lAn9_RXDhPXw=s48-c-k-c0x00ffffff-no-rj,3
faizan Shakeel,5 days ago,hahahahaha sir.. good video MASHAALLAH. funny way main kaafi kuch samjha dia hai apne. fan of yours. MASHAALLAH.,https://yt3.ggpht.com/ytc/AGIKgqMpDNnRwPWytep6HY4jWw0oqfOMQdGBF_9lWqh2rw=s48-c-k-c0x00ffffff-no-rj,3
Hafiz Murtaza Abdullah,5 days ago,behtreen sir Allah apko jazay e kher dy,https://yt3.ggpht.com/ytc/AGIKgqNKJPP79fVZ_A9cIENZj5R9SV-5-oQoQp20y3X-og=s48-c-k-c0x00ffffff-no-rj,3
AbdulMoiz asif,5 days ago,very nice sir,https://yt3.ggpht.com/ytc/AGIKgqOL4ADoQoq6eCMC25l3aJtg1ZwImx4B04xhJa-_xqiE2xNrPoK-AFFMK6h8SsBH=s48-c-k-c0x00ffffff-no-rj,3
Baney,5 days ago,"Sir, Monetization Remove Kar Dain... Ads ki waja se ap ki important baton main disturbance hoti hai...",,3
Mohd. Akhtar,5 days ago,Murshid... love and respect from India...,,3
MaLik Tashfeen Vlog,5 days ago,Mashallah nice,,3
Abdullah Faisal,5 days ago,Jazakallah o khaira,,3
SHAKEEL AHMAD  HAZARI,5 days ago,"ماشاءاللہ
 جزاك اللهُ‎",,3
magic kitchen club,5 days ago,jazaqallah,,3
Sohail Akmal,5 days ago,Jazakallah Sir.,,3
A 3 Minute Video,6 days ago,Thank you ️,https://yt3.ggpht.com/n4o9ieCmZv6fZXcEZ9SrgufJHS-PmFG-5EJOdcR-UoSsJO6TfmiPYGEDcf7zWUGBAOPT2qWvFhI=s48-c-k-c0x00ffffff-no-rj,3
Sohail B,6 days ago,"Aoa,
Barakallah Sir",https://yt3.ggpht.com/ytc/AGIKgqMIE3_swoPe3V_7htZt--UrzVl2J8I7NQL6AwiN=s48-c-k-c0x00ffffff-no-rj,3
Shazia Farooq,6 days ago,Wahh zabardast bahi,https://yt3.ggpht.com/ytc/AGIKgqOcWIhrqDF0h_7RSKuPiScu5NVSR103FeXG5g=s48-c-k-c0x00ffffff-no-rj,3
faisal iqbal,6 days ago,True,https://yt3.ggpht.com/ytc/AGIKgqO6MiVQA-3CAlM8i29ltpWqj-nymulxsLzdm5Jw=s48-c-k-c0x00ffffff-no-rj,3
nisar ahmed khan,6 days ago,زبردست,https://yt3.ggpht.com/ytc/AGIKgqNDBid0g_zWYnxRixo98TZOk19R9RzaI5LTfuie_n8=s48-c-k-c0x00ffffff-no-rj,3
Shaba Shaikh,6 days ago,Ek number sir from INDIA,https://yt3.ggpht.com/IG57ExmfigweZk-isD_jQEKjuBF4H8zx6EHtfq93nZkxFe87eTjZCBneVbMb-yHfx674tL1FXCw=s48-c-k-c0x00ffffff-no-rj,3
Mohammad Shafi,6 days ago,Jaza k Allah Sir,https://yt3.ggpht.com/ytc/AGIKgqMCJMJNYxrzKSFpeZCorKbF4bye4b3xhnC01A=s48-c-k-c0x00ffffff-no-rj,3
