Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Muhammad Ahsan,7 days ago,This advice is not only relevant to a husband and wife but also to a man and a wife. Thanks!,https://yt3.ggpht.com/ytc/AGIKgqPDNAeEdYfUSQjxdIIsKwVn_7rkEwdbJVHvsmfI=s48-c-k-c0x00ffffff-no-rj,10
rajinder singh,7 days ago,Very good advice usmani sahab... appreciable work Much love and recpect for u from🇮🇳,https://yt3.ggpht.com/DYI5wVwFenZ9ihygPrQ_WbOqfLcKVu1lRL7himwbp5xpXY2pD6FLc-BmZhy_0xUj67YVRNUl=s48-c-k-c0x00ffffff-no-rj,4
Universal Neutral,7 days ago,جاب کرنے والی خواتین جن کے شوہر گھر میں رہتے ہیں   ان کو بھی خواتین سے حسن سلوک اور عزت کی تاکید کردیں۔۔۔وہ دہرا کام بھی کر رہی ہیں اور انسانی حقوق سے بھی محروم ہیں عزت تو دور کی بات ہے,https://yt3.ggpht.com/ytc/AGIKgqPtQu-AoX6CNruvhTrwmLbUXR2avZZdvIx7VvHfYAAoGX9MsZA_RB7TbMptx2V9=s48-c-k-c0x00ffffff-no-rj,47
M Suleman,7 days ago,"Thanks sir,lots of respect for u.Allah bless u",,3
Umme Muhammad,7 days ago,"Allah Tala hmare zeshan usmani sb ko salamt rakhy ,hmare islah karny kele thanks .Allah Tala sare jhan ki khushian apko naseeb karain amen",,15
Nazish Bilal,7 days ago,Absolutely right.... good advices are given... Excellent video,,3
new user,7 days ago,Nice talks of brilliant  mind ... may u live long with health and wealth sir g.,,3
Ibrahim and Mama,7 days ago,"jazak Allah bht acha reminder tha., abhi mn thori preshan hi bethi shohr pr gussa tha, apki video sun kr utr gya ,jazak Allaho khair Allah meray shohr ko apnay hifzo aman mn rkhay",,9
Umme Ali,7 days ago, jazakallah khair sir,,3
Rabia Imran iqbal,7 days ago,Main bohat zyada depression main thi ku ka main bilkul Akali hu ap ki videos apna asa samjhaya mujhy jab main apki video dekhti hu to mujhy feel HOTA hai ka ap mujhy samjha rahy Hain or AJ maina apni Zindagi ka bohat khubsorat faisla apki wajah sa Kya Hain jab mujhy samjhana Wala koi NHI tha us waqat APNA samjhaya apko main kuch NHI da sakti siway Dua ka Mari Zindagi main changiz Jo aye hain AJ Jo maina fasla Kya Hain main hamesha apki shukar guzar Rahu gi ,,7
Fareha Aziz,7 days ago,خاندان کا جڑا رہنا معاشرے کی اشد ضرورت ہے ۔ جزاك الله خيرا كثيرا,,2
Abdul Majeed,6 days ago,Masha Allah Subhaan Allah,,1
Faisal Bhatti,7 days ago, good advice,,4
Zeenat 111,7 days ago,Very good message,https://yt3.ggpht.com/ytc/AGIKgqMfG_l6279TOkx-JNgLqcr4nPF4Is0IaXgMug=s48-c-k-c0x00ffffff-no-rj,1
Rashid Farman,6 days ago,"تربیت کا فقدان ہے بہت۔۔۔
کہیں عورت تربیت سے خالی ہے تو کہیں مرد۔۔۔ نیک لوگوں نے بھی دین اسلام کو مسجد تک محدود کردیا اپنی زندگی اس کے مطابق نہیں ڈھالتے۔۔",https://yt3.ggpht.com/ytc/AGIKgqP2fPGl7qRPefJFN-3nPt0-kxC40fBDsAhkIQnN=s48-c-k-c0x00ffffff-no-rj,3
African Grey & Daily Life,7 days ago,Thanks for sharing this information  jazakALLAH Khair,https://yt3.ggpht.com/IikBIdRGBaltzSP2bsaGA3GlJWLon7X_SZjuah5cYophI0pa8_yCBuSeO_xKSfbWvnJuddp6hb8=s48-c-k-c0x00ffffff-no-rj,1
reveals and insides,7 days ago,JazakAllah for the precious advice sir,https://yt3.ggpht.com/ytc/AGIKgqM-jA_oh_S-7mtoBNz_rKK0O-3lM7Y5fVQ26A=s48-c-k-c0x00ffffff-no-rj,1
Pro Pakistani Gamer,7 days ago,Ek dafa meray job chali gaei thi or eid qareeb thi or paisay na honay kay bribar thay > to meri wife nay buhat sath diya > or bachon ko bhi samghaya kay hum puranay kapray hi pehnay gay> phir aalah pak ka karam howa or > aaj 8 saal baad meri biwi 5000 ka suit lainay ka kehti hai to main usko 15000 say kam ka suit lenay say mana kar raha hoon>>,https://yt3.ggpht.com/tIrqkEpL2S625q6ub4OobbMUWW9H-Vsn2hL5jzEpsbIqOGGWBGkFkGcrf1Erfs43dVtPdg3BYg=s48-c-k-c0x00ffffff-no-rj,3
Sohail B,7 days ago,"Jazak Allah Khairan sir, Allah tamam khawateen ko ye chhezain samajny ki istataat day ka how hostile environment it is when we step out of our homes.",https://yt3.ggpht.com/ytc/AGIKgqMIE3_swoPe3V_7htZt--UrzVl2J8I7NQL6AwiN=s48-c-k-c0x00ffffff-no-rj,1
hasma inam,7 days ago,Or mard joh zalil karta hai os pay b video bany plzzz,https://yt3.ggpht.com/ytc/AGIKgqOaCdjapoUG-Cu65FFpxG_RbUldE7A_85dc9Q=s48-c-k-c0x00ffffff-no-rj,3
Aisha Tahir,2 days ago,جزاک اللہ خیرا کثیرا ۔بہت زبردست نصیحت ہے,https://yt3.ggpht.com/ytc/AGIKgqMH7C6jtNVjm_Avu9Watya2Wp57yVV_ClVNHQ=s48-c-k-c0x00ffffff-no-rj,0
Life With Farrukh,7 days ago,"ALLAH pak her miya BV me ak dusre k leay itefaq, mohabbat, respect or compromise ata kre.",https://yt3.ggpht.com/K1G6Clt0JDTs3PwuQs9l2MaTkZHI6nSXULnOg6NZoTqlcwD6jWcoKZQedRwJ9UUVCdt05fDSLQ=s48-c-k-c0x00ffffff-no-rj,3
Nadeem Siddiqui,7 days ago,Allah ne apki bat me taseer rakhi h ikhlas ki wajah se dil par sidhe asar karti h allah apko khus rakhe,https://yt3.ggpht.com/ytc/AGIKgqNykoW-MUx_1b514YTlKIqyp86EZjupBBvKnQ=s48-c-k-c0x00ffffff-no-rj,3
Zafar Nakhuda,7 days ago,"Extraordinary
Very correct
Allah tala amal karnye ki taufiq ata farmave Aameen Suma Aameen",https://yt3.ggpht.com/ytc/AGIKgqP6Oy6lmgR0z8pylVxZVTJJbPE_iQCIOJppUg=s48-c-k-c0x00ffffff-no-rj,3
Operation TV,7 days ago,great message sir g,https://yt3.ggpht.com/gUfIf0efrKKdaVMpxFjowKlqI28MBkgI1FTfQPEzx66_qruTYNKlLRt-BJ_WetmoNWUKHTR_tA=s48-c-k-c0x00ffffff-no-rj,3
Aqsa Bukhari,7 days ago,Allah apko shttt wali zindgi aur ghr bahr ka sakoon de mery bhai,,3
The Big Shift,7 days ago,Shukr hy wife ko b naseehat ki warna pichly 3 saal sy shoharun ko hi neechy lgnay k mashwaray daity ay hain.,,3
SaRaH,7 days ago,Buhat hi ziyada piyara  mufeed aur mukhlis mashwara Allah aap  ko khush rakhay aammeen Allahhumma aammeen ya Rabalaalameen,,3
Sidra Rida,7 days ago,Talaq yabta adki kya kareai,,2
The Positive Vibes,7 days ago,G compromise e kr rhy hn although i am working lady. ,,2
