Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Abdullah Alvi,12 days ago,"Zeeshan Bhai,
Last year i had the great privilege to perform Hajj. I read your book on Hajj during my flight to Jeddah. It helped me a lot. And Alhamdulillah i made dua for you on every day of Hajj especially in Arafat.",https://yt3.ggpht.com/ytc/AGIKgqPc7rDsHJ7ORCE6U2tpdo33AGPMQUN_SGKhnpBGEzsw54z4gBhgDaOzIx1WJ-zs=s48-c-k-c0x00ffffff-no-rj,5
Mortal World (Official),12 days ago,"اب میری نگاہوں کا خوب یہ قرینہ ہے 
اس طرف بھی دو گھر ہے اس طرف بھی دو آنکھیں اک میں تو کعبہ ہے اک میں مدینہ  ہے 

اللہ پاک ہم سب کو جلد ہی اپنے کعبہ اور مدینہ کی زیارت کرئے 
آمین ثم آمین یا رب العالمین",https://yt3.ggpht.com/VSV8Uv7TbYZR0_TGgXyRwNAtX7k_J_WK5JEEr839RHfrlf2CJjrcSKz3h-ASABaZLx1Jyvgujw=s48-c-k-c0x00ffffff-no-rj,4
Eman Ijaz,2 weeks ago,Allah mujy umhra py jna naseeb farmaay ,https://yt3.ggpht.com/l6eneiuqjOPRMk7B3BECG-B3IgV8GfRQquECg3BDRzvWpMiaWL5w5bZtF2S77DiuxeGqwfG0fg=s48-c-k-c0x00ffffff-no-rj,7
Firdous Jilani,12 days ago,Ma Sha Allah .. Excellent remainders  ..Muhtram Sir You are great .. Plz pry for me May Allah accept me to visit Maccah and Madinah.,,1
Taskeen Qamar,12 days ago,Also keep your personal documents with you like E Visa form' mostly thy check on entrance of Masjid Alharam ' thy even check your bags for security purposes on entrance of inside of Masjidy nabvi on female side' you can pick hotels far from Harm and Masjid nabvi' thy are quite cheap' and good in hygiene ' also select big busses to go for ziarah and travel from Makkah to Madinah ' and Madinah to Makkah 'these buses are realy comfortable to travel and cheap just confirm their timings from reception of your hotel' for females Riaz ul Janah permit slots are limited so book before even you leave for umrah atleast 10 days before' keep your edible stuff with you' if you want to spend most of the time in Harm' bcz it takes lot of time to go out and come back inside due to  rush' if males are not in Ehram thy will not allowed to do Tawaf  in Sehn of Harm'  thy do on 1st and 2nd floor.,,4
cetin Pinarbasi,12 days ago,Like everybody knows sometimes make x10 x20 in bear seasons I've joined a couple of projects along with posschain let's see what happens,,1
Iqra Online Tutor,12 days ago,May Allah bless all the Muslims with the presence of His home.,,1
Xoundz MasteR,13 days ago,"ایک مولانا صاحب سے ملاقات ہوئی چار سال پہلے۔ کہتے کہ عمرہ پہ جانے سے پہلے جتنا ہو سکے لمبی لمبی دعائیں مانگنے کی عادت بنا لو کیونکہ حرم پاک اور روضہ رسول پہ دعائیں مانگنا ہی سب سے اہم ہے، اور چونکہ ہم لوگوں کی لمبی دعائیں مانگنے کی عادت نہیں ہوتی تو وہاں جا کر بھی پانچ دس منٹ سے زیادہ دعا نہیں مانگی جاتی۔
اور میرے ساتھ ایسا ہی ہوا۔ بہت کوشش کی کہ عمرہ کے دوران لمبی دعائیں مانگوں لیکن ۔۔۔۔۔۔",,4
Hıdır,12 days ago,Last time I missed another project like this that made x10 I've invested $1000 on this posschain I'll not miss the train this time,,0
Ghulam Jilani,13 days ago,"Sir apni duaion main yad rakhna, Jazakallah sir stay blessed sir",,3
