Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Zeeshan Usmani,1 month ago,"Donate to Read Foundation | ریڈ فاؤنڈیشن کو صدقہ دیں  | फाउंडेशन पढ़ने के लिए दान करें

Donate:
https://www.readfoundation.org/donate_now/
https://readfoundationusa.org/donate/",https://yt3.ggpht.com/ytc/AGIKgqPPqDllHSsEBpKpgbnTtKP2JR8fOTRcjD7YcGqv=s48-c-k-c0x00ffffff-no-rj,13
Hina,1 month ago (edited),"Zeeshan Bhai,
I want to teach English language as a volunteer.
Or I can give my services as a school psychologist.I can visit to any Read Foundation school in Lahore for the counseling of the students to bring out the best in them.",https://yt3.ggpht.com/ytc/AGIKgqNTQU8SZmnUCDe-hCmhld3NZxfUFflwnPs5qRRwJe0=s48-c-k-c0x00ffffff-no-rj,8
Nature Photography,1 month ago,I can teach Math to these students as I have teaching experience for more than 10 years. I live in Lahore.,https://yt3.ggpht.com/H7QndcT4UWYQCGEg2T4VbPHzuikUSbcN1yBaEojbtjLVyrByydv4on6A6VMnyL87NUA5JfKAjw=s48-c-k-c0x00ffffff-no-rj,3
A fading breath,1 month ago,️️️,https://yt3.ggpht.com/2fDSt0p6W4FWQncTfrHIT4DQY1n4fGTa7jCGrcy1SbBwtA7fi1qtNBx40Fr_D-F4VSRI6gugtQ=s48-c-k-c0x00ffffff-no-rj,2
Maryam Umer,1 month ago (edited),"you are True pakistani, hum mulk ke reh ke bh itne hubbul watan nahi he jitne ap mulk se bahir reh k . Allah apko bht ajar dega, bht sari duaein ap k sath hein.",https://yt3.ggpht.com/-NjpaiuZMh_WV6vInr23j127U8u_HJ6AaLWZEAqbd-5RMyX2Bm04IXDNExA4wkE-RgE9Jb0qfQ=s48-c-k-c0x00ffffff-no-rj,7
Abdul Ghani Sheikh,1 month ago,"I can teach computer skills, accounting, French and English grammar as volunteer.",https://yt3.ggpht.com/ytc/AGIKgqOPrz5u-rBqmqXV8xg27RgUVR7oFlidU9AUIYszGg=s48-c-k-c0x00ffffff-no-rj,1
R.Grapic Boy,1 month ago,"Abdullah in pak
kamal hai ye banda.
true inspirational leader.
im ready for volunteer.
keep it up sir.
salute",https://yt3.ggpht.com/UsxkAfFm2KoTPG-O0OJvwLFZLVjKxhSKdl-dKahph9RmXct7PSqu6IMYXEE4Gdz71ZlQ54egcw=s48-c-k-c0x00ffffff-no-rj,3
Rahmat ullah khan,1 month ago,Sir I want to meet you in Pakistan?,https://yt3.ggpht.com/ytc/AGIKgqN9KZVTZsUDk30mEqS9TgqzanHX8gpnMmCh_V5tWw=s48-c-k-c0x00ffffff-no-rj,3
Kashmiri Tawabeen,1 month ago,Best reminder ️,https://yt3.ggpht.com/nPtMxGExk0KVh7a3yMLz-mcD1hFgP4NgkjzH9G4RjpgMY2SfN19b0SKBwp-rH7wCBz-mpGF6jw=s48-c-k-c0x00ffffff-no-rj,3
Jay's diary,1 month ago,"Salam sir i just dont know the right platform to reach you for this. 
I am a listener and bought books of you i am really imrpresses by your data knowledege. 
I have a request please in your books you use bht hi heavy urdu alfaz thats why its way harder to concentratr on skills itni garhi urdu samajhnay k lie hamari generation smaajh to lay lekin"" rabt "" Toot jata hai bat ka aur book bore gojati hai means seelh nhn pati. 
I bought your 2 books lately and i m interested in digital marketing boosn but ️ problem is ""marboot"", shakhsa, ashkal jaisay alfaz 
Plz reconcider it sorry in advanec",,2
alqari official,1 month ago,Ap jawab tu duty ni hin bari Bari batin karty Hu janab ap Zara gaur Karin g ham bi khuda ki makhloq hin janab,,2
Muhammad Adnan,1 month ago,Mashaallah  ,,2
Ahsan Farooq,1 month ago,keep it up ,,2
Abdul Wahab,1 month ago,sukkur mn apki koi branch h to mn ek ghanta quraan teaching k liye dena chahta hn,https://yt3.ggpht.com/ytc/AGIKgqPRPwtGAGoirbz0ObEkSumVVl7Txy46kVn7Xl9WjsEl4GdK_dDLilb2jxcqS3vZ=s48-c-k-c0x00ffffff-no-rj,2
erum syed,1 month ago,Alhamdulillah Sir ,https://yt3.ggpht.com/Xgir5nFIY2wT5bapAD4QUpkNi8GdlCd8n3_Cp-yF3RIyBeBwA7xpkiMDKPjr0rtiZE-LFQEySU4=s48-c-k-c0x00ffffff-no-rj,2
Rabia Irfan,1 month ago,"One thing which I discussed with them and I insisted them to do is to make vocational institute as well parallel to elementary n secondary education system 
Mere education will not empower these students vocational schools must be at least 20%of this system to get good outcome in next 10years",https://yt3.ggpht.com/ytc/AGIKgqMbyLZ1Dy5dfBWuMSNlLM27iMJuej9cOp7Btchs=s48-c-k-c0x00ffffff-no-rj,2
ISLAMIC KNOWLEDGE,1 month ago,In sha Allah ️ I do this soon....,https://yt3.ggpht.com/ytc/AGIKgqOUcR_ijVcjA7B6LIL3SlejSSmSbH-I1IvvSKOr-ZA59Cr9GXqN9eiP56YqeU7A=s48-c-k-c0x00ffffff-no-rj,2
PICTUREWITHCAMERA,1 month ago,Allah tala hum sabko is qabil jaroor banaye AAAMEEN,https://yt3.ggpht.com/KQ1X_f-GwTcFp0nKIpc6vGmt1dt1tnBPIg99cYqh0DKTO5Mvgv1pg0D_TvLhFMwpFY1KVezS=s48-c-k-c0x00ffffff-no-rj,2
Gulam Ayesha,1 month ago,"Nice sir, may God help you",https://yt3.ggpht.com/ytc/AGIKgqPD_CreJ-9BvnJsnArl9P980cV2-z99j9JmZEN9EowANTxt6gtjgX0hYUCeAtNv=s48-c-k-c0x00ffffff-no-rj,2
TAHIR KASURI,1 month ago,mashllha,https://yt3.ggpht.com/nAv8sCYGZquXOGgpu-rvN0bVZWIylhpMThICuHWGHzmmCG64qKXxtqrUIBtV3gq3dfbJimZIxvA=s48-c-k-c0x00ffffff-no-rj,2
Plants' Corner..,1 month ago,Nice video ️,https://yt3.ggpht.com/R3dULTobnoofqbIjCt9zDtJ3U0X3ymsfp11dHCOY--1eiagML59RRKdmNOheE-eVfuyBJwULy14=s48-c-k-c0x00ffffff-no-rj,2
syed adeel,1 month ago,Inshallah,https://yt3.ggpht.com/ytc/AGIKgqOcegrfW-sMLTaKsH2LXh8NQCBoXquxWkFFkAOlY4gflGwiCA1Zv-Djf4T3eWNV=s48-c-k-c0x00ffffff-no-rj,2
"Quran, The Holy Book of God",1 month ago,Behtren sir ,https://yt3.ggpht.com/_1_6nUNVgVDnC5YgCtvO2fmuFqCQwvToQA6anf-LqLV5F6lcJh8acIyAra0DgZPU-kQXrdoxKA=s48-c-k-c0x00ffffff-no-rj,2
