Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Zeeshan Usmani,3 weeks ago,"Earn Money, Make Videos | ویڈیو بنائیں پیسہ کمائیں! | वीडियो बनाओ और पैसे कमाओ!

Submit Your Video: https://gufhtugu.com/submit-the-video/
Order Books: www.Gufhtugu.com",https://yt3.ggpht.com/ytc/AGIKgqPPqDllHSsEBpKpgbnTtKP2JR8fOTRcjD7YcGqv=s48-c-k-c0x00ffffff-no-rj,12
Adarsh,3 weeks ago,I think what would help bring more visibility to your books is if you translate them into English. Not everyone is comfortable reading about emerging technologies in Urdu.,https://yt3.ggpht.com/ytc/AGIKgqN6uw7itrpxLcZyBRq6jMMtAQPLoNKuxpFJi7GH11k=s48-c-k-c0x00ffffff-no-rj,5
Hyder Ali,3 weeks ago,"I have all your books, which one do you want me to review first?",https://yt3.ggpht.com/630tanfBosIp8cedPHFlhGA7kmykAKgsC7cNsQ5SsXFV2fgLgspXMrQaiWktUld8NbfS1D2e=s48-c-k-c0x00ffffff-no-rj,4
Indian Vlog,3 weeks ago,Aap sabhi ko Ramzan Mubarak,,11
Md Asgar Sani,3 weeks ago,Sir is there any progress of making the english version of the Data Visualization book set? I am really waiting for that.,,3
Tallat Naz,3 weeks ago,I love justuju ka safar. Its really make me learn how ask from Allah.,,1
Lubna kanwel,3 weeks ago,behtreen baat krdi sir ap ne to... i am in searching of your book reviews... wah sir dil jeet liya ap k is effort ne,,1
knowledge is the power,3 weeks ago,Mager sir me Hindustan se hun Chale gana,,2
Syed Usman Ur Rahman,3 weeks ago,خیر مبارک ذیشان عثمانی صاحب,,2
A fading breath,3 weeks ago,Ramadan Kareem 🇮🇳,,2
Adnan Khan,3 weeks ago,Please also make video on UX or UI designer career path and if you suggest any book or course. I found 6 months course on cousera.,,2
Wahaj Khan,3 weeks ago,Please publish technology related books in english language also. Please sir.,,2
Peer Muhammad Humayun Fazli,3 weeks ago,واعلیکم السلام ورحمتہ اللّٰہ وبرکاتہ ۔۔۔,https://yt3.ggpht.com/ytc/AGIKgqOLaAF_PI_M4rIqOE9vIgyQIv_fFlaxUimDps5klg=s48-c-k-c0x00ffffff-no-rj,2
