Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Quran with Tajweed,6 days ago,کراچی میں ایک بزرگ ہیں شیخ فیروز عبداللہ میمن صاحب بہت اللہ والے ہیں۔ وہ بھی ایک بہت خوبصورت دعا مانگتے ہیں کہ۔۔ ای اللہ عقل سلیم قلب سلیم عطا فرماء۔ آمین ,https://yt3.ggpht.com/uLuX0GTaqG0mfiSZ2AdK0x9pDoqq-i0xKiMlaajKmRZi9l3cnhrZwQ7gXb-1sXAVBserCGjE=s48-c-k-c0x00ffffff-no-rj,18
HM M,6 days ago,"My only fav youtube personality who I admire so much and learn so much , the learning is so much reflective and thought provoking, I wish I could have a face to face mentor like you !",https://yt3.ggpht.com/ytc/AGIKgqOdm7yNgX3Uz_eutsHp8LXxvjcmv-rOrwxuXVfz1Q=s48-c-k-c0x00ffffff-no-rj,8
MoHSin ALi,7 days ago,تجھے بکھرنے سے بچائے تجھے سمیٹ کے رکھے,https://yt3.ggpht.com/ao9BAF01tJfB3CrlvDZRHOcxOFjWrqI_TsmIwsHoYasngMAY69DYBCXq2tg8_TE8nOvw9vjKktE=s48-c-k-c0x00ffffff-no-rj,24
Marie curie,7 days ago,"I wonder how wise you are, n i could really connect with this incredible dua",,8
Abdullah Haider,7 days ago,Sir mera name bhi Abdullah ha... Mera lia dua kerain ka ma ap wala Abdullah ban sakoon.....,,7
erum syed,6 days ago,In sha Allah...In sha Allah  ..sir Abdullah is great decent person Alhamdulillah...GOD Bless both of u,,6
Ma La,7 days ago,"Amazing dua mashallah, I really enjoy your content please keep making reminders like these as they are very beneficial. Also who is Abdullah? Will we ever see him on your channel one day?  Salaam Alaykum and lots of dua from UK for you Zeeshan bhai ",,6
^unknown~,6 days ago (edited),یا ربّ العزّت!نفس مطمئنہ عطا فرما !!,,6
Info Live,6 days ago,ایسی انمول اور قیمتی دعا شیئر کرنے پر اللّٰہ تعالیٰ آپ کو عافیت دارین عطا فرمائے,,4
Waqar Ahmad Malik,7 days ago,"Thanks for your advice. 
A humble submission
Please be careful in recitation of Quran ... You might have miss-recited a word in the verse. 

I hope you will take it positive. 

Regards
Dr Waqar Ahmad Malik
(We use to pray in one mosque in Diriyah Riyadh, KSA)",,6
Naqash Sattar,6 days ago,شکریہ استاد محترم یہ دعا سکھانے کے لئے.  اللہ آپ کو سمیٹ کے رکھے اور بکھرے سے بچائے. آمین,,4
Bint e Hawwa !!,6 days ago,آمین ثمہ آمین جزاک اللہ,,2
