Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
My Blog,11 days ago (edited),"You have nailed it Mr. Usmani. 

The most important and the best video you have delivered to this date.",https://yt3.ggpht.com/xhRgrqdRJM9wCrdWCxeeedos7Ll_uyuNQ-AbqymVCug1NL_Vw4bEAo9vv7mnmDwcWpEBo32tgdI=s48-c-k-c0x00ffffff-no-rj,31
MM Ajaz •  97k views • 23 hours ago,10 days ago,"وَرَفَعْنَا لَكَ ذِكْرَكَ 
میرے نبی صلی اللہ علیہ وسلم کا ذکر  ہمیشہ بلند رہے گا

Allah helps those who help others ",https://yt3.ggpht.com/S1Tb2QwT8SE345U3mCdtJ09YSOBMVgpwCDJ2zs6VFdjur0fJCWr9PR3C6kBPqRm5PXk2SzFA=s48-c-k-c0x00ffffff-no-rj,20
WayOfSuccesS (OnlyIslam),11 days ago,جس کے پاس صحیح معنوں میں اللہ ہے جس کا دل اللہ سے لگا ہوا ہے تو بس اللہ ہی کافی ہے اس ک لیے پھر ..,https://yt3.ggpht.com/PwYUxPk-T8q3VTCX4AKmD3q7xdy9ID6fwhpLF-7OPuqf5xreQWYcSO6-TDQoF6R1_rr8ZPQ0FY4=s48-c-k-c0x00ffffff-no-rj,54
Digital Enterprises,11 days ago,"May ALLAH bless u always......
Truly said, valuable words u identified...",,6
Hyder Ali,11 days ago,"1. Ikhlaq
2. Deen se taluq
3. Skills
4. Read books.",,34
zeenat salman,9 days ago,"Sir today i have completed my 1st book  
And my book name is ""justoojo ka safar"" 
Thanks for the amazing book.",,5
Kamran Bhatti,10 days ago,"Bohat ala Sir, your videos are always informative and it really feels good to see such knowledgeable and well spoken person in our Pakistani community we desperately needs people like you. Hats off to you Sir.",,5
amirtanveershah,13 days ago,Mere Liye Mera Allah hi Kafi hai.,,16
Masood Akram,10 days ago,اگر آپ اخلاق،سچ اور وعدے کی پاسداری،ایمانداری، دیانتداری کے ساتھ کام کرتے ہیں تو پاکستان کی 1٪ آبادی میں شامل ہو جاتے ہیں,,4
sadia fazil,2 weeks ago (edited),Myn shaid wo hon.. jisk pas Khuda k siva koi apna nh .ab Khuda kry wo b mjy apni bargah myn qabool krly. Ameen,,9
Nayab Ashraf,2 days ago,جس کے پاس کچھ نہیں صرف اللہ ہے وہ دنیا کا امیر ترین آدمی ہے۔  دعا کے ساتھ اللہ سے مدد مانگیں اور محنت کے ساتھ استغفار کریں تو آپ دنیا کے کامیاب ترین انسان بن جائیں گے,,3
Xoundz MasteR,2 weeks ago,"میں وہ بدنصیب ، کہ جس کے پاس سب کچھ ہے، سوائے خدا کے ۔۔۔
",,6
lojain jutt,11 days ago,Alhamdulillah......sir apne hath or zuban sy kisi ko takleef ni dete toh life mein bht c problems khtm ho gai,,7
shami raaj,10 days ago,Really great lecture sir May Allah bless you with good  health and successs Ameeeen,https://yt3.ggpht.com/zU7omRknI4LI1XmQO-baHS7O5cwbDTHX9i9GNAfhRD10VVYmZgIUGUqJMa2cO7b1TgSlHGilRg=s48-c-k-c0x00ffffff-no-rj,2
Sheikh Awais,10 days ago,"سبحان اللہ وبحمدہ سبحان اللہ العظیم

صَلَّی اللہُ عَلَی٘ہِ وَاٰلِہِ وَسَلِّم

ﻧَﺼْﺮٌ ﻣِّﻦ ﺍﻟﻠَّﻪِ ﻭَﻓَﺘْﺢٌ ﻗَﺮِﻳﺐٌ 🇵🇰",https://yt3.ggpht.com/ytc/AGIKgqPbg7GxFjO_V4V9HKRSL_HOQaeQL93isrtIR-0wWg=s48-c-k-c0x00ffffff-no-rj,4
