Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Hamid Nazir,3 weeks ago,"You are a positive face of Pakistan
Allah Pak aap ko issi trha youth k liye kaam krne ki tofeeq deta rhe. Ameen",https://yt3.ggpht.com/ytc/AGIKgqMHzOCi65RZTcALzx9LvNDKgb6Rkk727fgWjs-9DA=s48-c-k-c0x00ffffff-no-rj,4
Sohel Akhtar,3 weeks ago,"Make dua for us, Dear sir
Love from Nepal 🇳🇵",https://yt3.ggpht.com/ytc/AGIKgqOLS21ewoVxLUZvIBhzI2KV4WIIuExq6u0ApvFduw=s48-c-k-c0x00ffffff-no-rj,3
Farah Nazir,3 weeks ago,میں اس بات پے بہت زیادہ یقن کرتی ہوں اور سب لوگ سے کہنا چاہتی کے اس سے منع نہ کیا کریں,https://yt3.ggpht.com/ytc/AGIKgqN_ww7nj5gxTgu9KbHo4F1Enr9A7WP5kWFQPg=s48-c-k-c0x00ffffff-no-rj,9
Xoundz MasteR,3 weeks ago,"جزاک اللّہ واحسن الجزاء فی الدارین ️
اللہ کریم آپ سے راضی ہو ️",,3
Zaid Sheikh,3 weeks ago,Nabz pakad li aapne. JazakAllah ,,4
kashif ullah peshawari,2 weeks ago,جی استاد محترم بالکل حقیقت  فرمایا انسان کو نیکی کرنے کی توفیق بھی اللہ تعالی سے مانگنی چاہیے ہر کسی کو نیکی کرنے کی توفیق نہیں ہوتی اور انسان  کے حالات کیسے بھی ہوں دل کی آنکھیں ہونی چاہیے مسلمان اپنے معاشی حالات کی وجہ سے اس قدر پریشان ہے کہ وہ شعر یاد آ رہا ہے کہ  خدا کو بھول گئے لوگ فکر روزی میں تلاش رزق کی ہے رازق کا خیال ہی نہیں,,2
Hyder Ali,3 weeks ago,"Such a beautiful piece of advice, may Allah bless you always",,2
Inspiring clips,3 weeks ago,"Aslam o alaikum
Sir k thumbnail kon bnata ha reply kry plz",,2
Hassam Qazi,3 weeks ago,"JazakAllah khair sir, thank you so much for this great lesson and guidance. May Allah reward you in this world and hereafter.",,2
Shumaila Iqbal,3 weeks ago,جزاک اللہ خیرا کثیرا,,2
Abu Bakar,3 weeks ago,اللّہ تعالیٰ آپ کو صحت و عافیت والی لمبی زندگی عطا فرمائے آمین یارب العالمین ,,2
Bilal Ahmad,3 weeks ago,"Love You, Sir Zeeshan .️",,2
shumail sajid RPS.PRODUTION,3 weeks ago,Allah pak apki umar mein barkat ata farmay ameen .meri dil sa dua apka leya. Allah  pak apka waqt mein barkat ata farmay ameen.,,2
Shahrukh Ghani,3 weeks ago (edited),"Jazak Allah Zeeshan sahab Allah apko lambi Umar de salmat rakhe 
Apka Shagrid from India ",https://yt3.ggpht.com/ytc/AGIKgqNSzJuHBHoLtoBYRTG08zIUQs4j5bd9q5OeeooV=s48-c-k-c0x00ffffff-no-rj,1
Bilal Chaudhary,3 weeks ago,,https://yt3.ggpht.com/AiT3ilVK3pJ_qF0nRYWJ2O4pExhtQlOY_mRo52cM6P9mPFXciHRtDOwUQtt1p08bOqqdShsl=s48-c-k-c0x00ffffff-no-rj,2
Dr Abu-al-Hassan,3 weeks ago,You are an inspiration.,https://yt3.ggpht.com/KUXqdSXR-LBHX6Zgk1cc5PzrvyEcGdrEz8wCKgb6_kDWIZIatz1bfPGQoGzijQAlTAVqxkVXglc=s48-c-k-c0x00ffffff-no-rj,1
Kitchenest,3 weeks ago,جزاکم اللہ خیرا کثیرا واحسن الجزاء فی الدارین,https://yt3.ggpht.com/cVbt7956A5chFUfHUtYS-OtrOvReo8Ae7ulepiUtaeNEaF4bAVkL6MtiU6HUdZvE0YeLNCRy=s48-c-k-c0x00ffffff-no-rj,1
Mera bharath Mahan,3 weeks ago,Sunn k acha laga aapko.. keep going. . Stay blessed in this holy month.,https://yt3.ggpht.com/1kcDhJFxYxyh4Iz1oK_fxnZU84B7r7vW0sKgFtwo_unWF5OlVmZEQwkgwWug-txV3Z4zJIP9GZk=s48-c-k-c0x00ffffff-no-rj,2
Umme Ali,3 weeks ago,جزاک اللہ احسن الجزاء,https://yt3.ggpht.com/ytc/AGIKgqOvP_8iGNFoXyXvmsMj7uFZ1HG6NZ--hxxfQVEp3umDO3Wim7tfsrQur-dtngNU=s48-c-k-c0x00ffffff-no-rj,1
Kashif Shehzad,3 weeks ago,تورنت کیا اردو زبان کا لفظ ہے؟,https://yt3.ggpht.com/ytc/AGIKgqMZzOwfpZio6aik4DQK11ST2VCLkOwhP7SODQ=s48-c-k-c0x00ffffff-no-rj,2
Majid Khan,11 days ago,Masha ALLAH ️ Tabarak Allah  Alhamdulillah ,https://yt3.ggpht.com/ytc/AGIKgqPRwAKwpDRfeVQqOdh8ka6bsox3x2TU8wGlUFK-aA=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Aleem,3 weeks ago,Sir earning website btaye or,https://yt3.ggpht.com/ytc/AGIKgqOF063ABVIgNrvTg7g8GHLwfN9Ehl0MKlT5u75XNQXdPwIQFD9bDE-IMbZB6Ppw=s48-c-k-c0x00ffffff-no-rj,2
A fading breath,3 weeks ago,🇮🇳,https://yt3.ggpht.com/2fDSt0p6W4FWQncTfrHIT4DQY1n4fGTa7jCGrcy1SbBwtA7fi1qtNBx40Fr_D-F4VSRI6gugtQ=s48-c-k-c0x00ffffff-no-rj,2
