Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
K.H.Y Quran Recitations,1 month ago,کبھی کبھیہم بلاوجہ اداس ہوتے ہیں اس کی وجہ یہ ہےکہ روح اوپر سے آئ ہےیہ دنیا میں قید ہے... یہ جنت پہنچ کر ہی سکون وقرار پاے گی,https://yt3.ggpht.com/WLdOOA0XzDvizwEp1GRLYrmNGO78k72ojbVK94g4B61ZPzCde-MErPmvnn-bdLrHNJ_sCc9YSQ=s48-c-k-c0x00ffffff-no-rj,35
cybermemon,1 month ago,Ma Sha Allah sir Allah pak apko aur aap Sy jurry huy har insaan ko Khush rakhy.... Aameen we like you and respect you very much.,https://yt3.ggpht.com/ytc/AGIKgqNp4xO1OoQdQoaw9OsvrV-X9tG6wTfPQDFyHA=s48-c-k-c0x00ffffff-no-rj,12
Mohammad Naseer Ghallu,1 month ago,"Sakoon Kesay.
1. Allah ka zikar
2. Sila-e-Rehmi
3. Khana Khilana zarooratmand ko
4. Dua krna, Allah se baten krna
5. Apnay ap se bar, Self Talk
6. Silence.",https://yt3.ggpht.com/koe2mfP8vBjDGhH5CXTy1Lx1F9jmSMSD2Jh7YH5wOWFYDW_7uPiv3nB3No3ZRohdJRsWFccPLg=s48-c-k-c0x00ffffff-no-rj,28
Abdullah Haider,4 weeks ago,"The Great Mentor "" MR ZESHAN USMANI"". LOVE YOU ",https://yt3.ggpht.com/ytc/AGIKgqNCNNtT3MeJQR3u1_TDGImpD_gN7KGHBm-beo8-J1jVngFpWB3i74v7jn__uQ38=s48-c-k-c0x00ffffff-no-rj,3
Anjna Gandotra,4 weeks ago,Rab se ishq karne mei hi sakoon hai... Aap ki enhi baato mei hi hum sakoon dundhte hai. Allah ji aap ko bahut  khush rakhe.. Yeh hi meri dua hai,https://yt3.ggpht.com/ytc/AGIKgqNq24JK3UlYHKwYcZdlbrY17QRsbBCLxvEjPA=s48-c-k-c0x00ffffff-no-rj,6
Shahariar Rahman Sajib,1 month ago,Very valuable information jajakallah Zeeshan vai,https://yt3.ggpht.com/ytc/AGIKgqO3V2r-wg5qWsjV-r1HTfqhB1RURnRd4lDDMV78Uw=s48-c-k-c0x00ffffff-no-rj,3
Nadeem Marshall,1 month ago,Such a great man,https://yt3.ggpht.com/ytc/AGIKgqOKUMiq40OSrXa7hOl-fGfyVEzsmFGT0VVGkA=s48-c-k-c0x00ffffff-no-rj,3
Firdous Jilani,4 weeks ago,"Skoon milta ha ..
Allah k Zikar sy ..
Maaf krny sy ..
Ksi ka kam bna deny ..
Rishty nibhany sy ..
Burai ka jwab achai sy diny sy ..
Bchoo sy sfqat krny sy ..
Achy akhlaq sy.. 
Allah ki maqlooq ki khdmat sy ..
Nmaz , Quran ,drood Shrif prhny sy..
Naiki ka hukm deny sy ..
Burai sy bachny sy ..
Khana khilany sy .. 
Allah sy mangny sy..",https://yt3.ggpht.com/NhrF6ITGlyN8kJzWtzY4LvgjJQzntzVm4U_HN0h060IxHSKb6rfMlqYFYPUFgeVgdwDaxOmocw=s48-c-k-c0x00ffffff-no-rj,6
Farooq Malik Muhammad,2 days ago,دلوں کا سکون اللہ کے ذکر میں ہے ۔,https://yt3.ggpht.com/l49b_0Xoxe-GBGPRKYVpBacar_xjkx0HQQrJ--fmsSSIcf3-HFhvjJEFaU-tljCkTJDqysl4=s48-c-k-c0x00ffffff-no-rj,2
Umarfarooq,4 weeks ago,"Sir this video is one of the best one in whole playlist, so helpful fo me",https://yt3.ggpht.com/2iDFYgZcCvZJz2rmU07PamzhtBkyFJkLXrxPxB_LuX10hqlsL06EqZyxdwb0ITsCqTcq1qXWn9I=s48-c-k-c0x00ffffff-no-rj,6
