Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Zeeshan Usmani,9 days ago,"How to Get E2 Visa | E2 ویزا کیسے حاصل کریں 

Apply for E2 Visa - https://info.h1b.biz/zu-e2-survey

E2 Eligible Countries - https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/fees/treaty.html",https://yt3.ggpht.com/ytc/AGIKgqPPqDllHSsEBpKpgbnTtKP2JR8fOTRcjD7YcGqv=s48-c-k-c0x00ffffff-no-rj,3
Zohaib Hassan Afridi,8 days ago,Excellent session. Please also schedule a session on EB2-NIW with this same immigration lawyer.,https://yt3.ggpht.com/ytc/AGIKgqN22-iU2d8kbtIDCyQUpGQC3NiRwj37Pr_UCqzD=s48-c-k-c0x00ffffff-no-rj,5
Amjadjnoubi,6 days ago,Samag me nahii ata Sir please  transfer this language ,,2
Amjadjnoubi,6 days ago,Sir ye ye Kiya bolraha hii,,2
احمد AzadAli,7 days ago,"What is an E-2 visa?
 
The E-2 Visa is a nonimmigrant investor visa for foreign individuals from treaty countries seeking to operate a business in the United States.
Strongly waiting for this session 
thank you professor for clarification
from Delhi India",,2
Karam Hussain,7 days ago,"Kindly  sir ,make any video on open AI CHAT GPT
JAZAKA ALLAH",,2
Nadeem Khan,7 days ago,"When I apply for job via LinkedIn they said Are you legally allowed in USA or this job is only for USA. 
I have 4 years of Dot Net Development Experience. I want to give my services to US remotely or onsite (Sponsership Required) .
How can I work in USA , Turkey , Canada etc ..",,2
Nazish Bilal,7 days ago,Excellent video,,2
waqas naseem,3 days ago,Zeeshan Bhai may we proceed for E2 visa based on amazon FBA llc registered in USA?,,1
saim khan,3 days ago,Great effort... h,,1
Muhammad Haseeb,5 days ago,"Wow! That's nuts that they require that much money in your account! 
California has a terrible economy. Everything is more expensive. Their political system is insane, and they are running their state into the ground. 
Try talking to an attorney in Texas, Georgia, Arizona, South Carolina, North Carolina. Those are all great states",,1
Hoorain Fatima vlogs,6 days ago,Hello sir plz reply me my ansuer bcz i am very tens,,1
Rida daily routine,7 days ago,Can we sell our property in Pakistan to someone who is living in United sates? And the us buyer then make the payment in a US account?,,1
Hafiz Iqrar,7 days ago,"Very clear and straight forward explanation
Thanks for this valuable session
Looking more with a lot of prayers for you Sir",https://yt3.ggpht.com/ytc/AGIKgqMCXRSbR_1AZJSxhi5Bp1B4s6ls6lZ2y1srfyZ6=s48-c-k-c0x00ffffff-no-rj,1
Md Asgar Sani,7 days ago,It was very informative sir..,https://yt3.ggpht.com/ytc/AGIKgqNwju_y7opgsGZmpu4umLLHMMscyejlvNklwQz6=s48-c-k-c0x00ffffff-no-rj,1
talha waheed,7 days ago (edited),"How to transfer money in US from Pakistan legally?
E2 visa doesnt lead to US passport??",https://yt3.ggpht.com/ytc/AGIKgqNlL6lnZvDNmAePY5EVluCtuN_5kR17Wp5kcTWRVg=s48-c-k-c0x00ffffff-no-rj,1
Muzamil Khan,7 days ago,"A 100,000 dollars",https://yt3.ggpht.com/ytc/AGIKgqNr4tz6py13omK_AIayFy5ynYOpY9N5lmGRwMjT3Q=s48-c-k-c0x00ffffff-no-rj,1
Aarif Vhora,7 days ago,Urdu infrmysan,https://yt3.ggpht.com/ytc/AGIKgqMKrfKzkL0Sk7cn7mR7Y5GHv2p9zoaEOl4AbQ=s48-c-k-c0x00ffffff-no-rj,1
Bilal Khan,8 days ago,love you zeeshan bi,https://yt3.ggpht.com/Um0dQZUDbDD-OyJnueRCVgGF4b89CZ-QAHx-NjmXqITqBIg3woEKS_QRIhuYz4_Bo0zcbQNtng=s48-c-k-c0x00ffffff-no-rj,1
MUHAMMAD YOUSIF JAMALI,8 days ago,"Assalamualaikum
Sir fully funded Masters scholarships k bary m videos rakhain",https://yt3.ggpht.com/ps79X59iFEdRiV0VbNVrGedk3RHTwlBhz77bu-SC0DBQuUFoZbvpAi1_cpMTAGTy7ZvusrNgDQ=s48-c-k-c0x00ffffff-no-rj,1
OnlyGames,8 days ago (edited),Usmania ️️️️,https://yt3.ggpht.com/wVyfCIUoUhIhbalWnHhwG1FQ3kcDYYTq6tG2oEdB8fX3Blj9_BZnCHeeckaMPICPhBqxqUJ9ow=s48-c-k-c0x00ffffff-no-rj,1
Samreen Angel,8 days ago,Sir please Urdu mn translate kare,https://yt3.ggpht.com/ytc/AGIKgqMkfSXiNcYjmqNWoWNwa1Ms-MYdpPad9aaQ2oQq3659h9KEoPFkAGVLvIx_c1Ok=s48-c-k-c0x00ffffff-no-rj,1
Bright Star,8 days ago,Does EB NIW has premium processing for consular processing,https://yt3.ggpht.com/ytc/AGIKgqPIVoq1UNWrUpb6GvCzLxojPaCxa7ZW2CYsBg=s48-c-k-c0x00ffffff-no-rj,1
update 1,8 days ago,بھائی جان یہ لائیو چل رہا ہے,https://yt3.ggpht.com/FaAQRs5OcrnYdCdduff0Nvd8kyVj4atuT6s7PowKslL8Tvuwm9kIhF7r_6FW_-cAusyrRSuaVA=s48-c-k-c0x00ffffff-no-rj,1
Raja Adnan Kayani,8 days ago (edited),I love you Mr Zeeshan Usmani I like your personality,https://yt3.ggpht.com/jCX26nzyRiNh_jMykhQ0ov2wFNIUG4fXChR_vCdDRAadMMZmI4IId-EwdB0Ch2NNwUXDJqctWQ=s48-c-k-c0x00ffffff-no-rj,1
islam for all,8 days ago,Strongly waiting for this ved,https://yt3.ggpht.com/98zd4ve2ZNAiNs0pGsVNTtNaw1Vy8Z5CZ5tIC-YyDFSKY__dgfuTpWt6Xn_D93hsUDCvwLivy8s=s48-c-k-c0x00ffffff-no-rj,1
MrGeek,9 days ago,Waiting For This <3,https://yt3.ggpht.com/bVsTnUhxnL_cAZDNHaf2G3sJYp3Dw7vVK0lmwQVTxy3PbcNr3MoxCDvg_cik1oPfixaW41Hl4Q=s48-c-k-c0x00ffffff-no-rj,1
aswa azhar,6 days ago,Assalamu alaikum,https://yt3.ggpht.com/t14tyNoFol0crc1KaCtDCvf_PaOe8znLDTBfP2Yzlh5sIslydryt9HSJCsrRXcmbh8VKps3D1w=s48-c-k-c0x00ffffff-no-rj,0
Hassaan Zahid,7 days ago,translate in urdu,https://yt3.ggpht.com/ytc/AGIKgqPgHjYIb6TeyIS5w7bTjRLAtZNrqPtKlissCA=s48-c-k-c0x00ffffff-no-rj,0
