Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Zeeshan Usmani,2 days ago,Here is YouTube Ads Playlist - https://www.youtube.com/watch?v=X7xgDh7N8hU&list=PLJD-996ceLKZB4Z4SAuAUs4ABs9Lkil1Q,https://yt3.ggpht.com/ytc/AGIKgqPPqDllHSsEBpKpgbnTtKP2JR8fOTRcjD7YcGqv=s48-c-k-c0x00ffffff-no-rj,6
Salman hassan,1 day ago,"Watch hours from advertising campaigns don't count toward YouTube monetization. Even if you've earned 10,000 hours, none of it will go toward the 4,000 hours you need. This seems fair because ads can get millions of views.",https://yt3.ggpht.com/ytc/AGIKgqMFe0R-CIJA5YOHzQ7gSDEJEhVBxNU4NYwIejZGMKNS-PYsMnkP4fAV6LdR7NPF=s48-c-k-c0x00ffffff-no-rj,2
Khalil shah speeches,8 hours ago,جزاک اللّہ خیرا کثیرا کثیرا,https://yt3.ggpht.com/lOw1WJZ9bGmV-NKaL_Pf1JBxNDDBhhp0iiA-rkJ9Wkf4ERv3TeM4QZuevnIdU02DfE31SDKaR5E=s48-c-k-c0x00ffffff-no-rj,1
LearnPapa,22 hours ago,MaShaAllah nice Effort Zeshan Bha. Allah pak ap ko jazaye khair de Ameen.,https://yt3.ggpht.com/RmD1y8nHlMo7KZ4ijgtKmPFKU5qvDQoZnqxDjJS6a4YWYP-MA99jZZbIDOwbn8X5qTJA7cGw=s48-c-k-c0x00ffffff-no-rj,1
Huzaifah Khan,9 days ago,"I would like to make a request sir kindly tell me online earning websites i 
Will b gratefui to u",https://yt3.ggpht.com/ytc/AGIKgqNXMdIG3Onc1pIBMHWEQsT3osUZyBtKJTzttB1L81mCik9zk3VCiSalca57VmvB=s48-c-k-c0x00ffffff-no-rj,4
Mohammad Irfan Khan (Professional),1 day ago,"Thank you very much Zeeshan Usmani sir for sharing your knowledge and experience us.

May Allah give you and who are connected with you health wealth and happiness.",https://yt3.ggpht.com/IA4qDVO3IFJTHhxxSxHatVCR4g_VXJJ2hV4_NFZxPIxszHuvcrE6pFkVG9PhHGWl4O0AXv5Bcg=s48-c-k-c0x00ffffff-no-rj,1
Abbas Jamil,1 day ago,"Thank you so much!
Always great content.",https://yt3.ggpht.com/ytc/AGIKgqMWvFJKlWzWnKOcSCqn9wmiPElscenJ55C-wdqWSQ=s48-c-k-c0x00ffffff-no-rj,1
Dailyboost,2 days ago,Mujhe bhi intezar hai,https://yt3.ggpht.com/H6WWfv5RV7PZWZXUDBc3iHf5L9Us7rtCVQvMRACqtb76jMsIu7SI_211MpgL1jXORBljIanApQ=s48-c-k-c0x00ffffff-no-rj,3
Art by Sher Ali,1 day ago,"Jazakallah sir, It was a very helpful video.",https://yt3.ggpht.com/9CV9DcCQ-AoKRt8KMdCizj8Y290-Ht6kvJiAjF9L9S2FyMI14CGOXvmyV5FrWXq6SMfHVrCl0w=s48-c-k-c0x00ffffff-no-rj,1
Amjadjnoubi,5 days ago,Mujhy intzar hiii,https://yt3.ggpht.com/5w8hV6rOlnyvj7mYAXkTHB26yzUkRHiqIrCQ6wwceLkV5PXcQxR0XlFIEfhh1g6iMrkVNp5eYQ=s48-c-k-c0x00ffffff-no-rj,3
Rashid Javed Awan,1 day ago,بہت اچھی باتیں بتاتے ہیں ۔ اللہ آ پ کا حامی و ناصر ہو ۔,,1
Tayyab Rasheed,1 day ago,"Aoa
Sir Facebook page ko kiss tarah boost Kya ja sakta hai?",,2
A 3 Minute Video,2 days ago,"Thank you ️ 
Beneficial as always ",https://yt3.ggpht.com/n4o9ieCmZv6fZXcEZ9SrgufJHS-PmFG-5EJOdcR-UoSsJO6TfmiPYGEDcf7zWUGBAOPT2qWvFhI=s48-c-k-c0x00ffffff-no-rj,1
Shoaib's Super Awesome Channel,1 day ago,"Thank Mr Zeeshan Usmani for such informative video on how to grow youtube through facebook,i am following your tips for my newly grown cooking channel on youtube,INSHALLAH waiting for it to get monetize soon.",https://yt3.ggpht.com/BXMBmJMfh0MpbAU2XrwPZ5zhc-J1u0yifFii7tMbzdDJmHaF4IUGUhVIqwiEj9YbhqWQHSaimg=s48-c-k-c0x00ffffff-no-rj,2
Manahil Food Secrets,2 days ago,JazakAllah sir...   humble request to upload more like this videos..,https://yt3.ggpht.com/HXWRB47954z55u5IgNp3F636555vAZRxD1FY72_LHknlBvxw9TPrOXwln7045LOUkRxz88KS7A=s48-c-k-c0x00ffffff-no-rj,1
Travel Light,2 days ago,Very much informative video your are such an great mentor sir salute to you.,https://yt3.ggpht.com/ytc/AGIKgqNoJRgqI7H_5hPhvgSlACxNBghwxMA2G3AQpqLKfK4=s48-c-k-c0x00ffffff-no-rj,1
Salman hassan,1 day ago,Zeeshan-ul-hassan Usmani Sir Audience ko Sign in Ka Issue Face Hoga Subscribe Karne Ke liye.,https://yt3.ggpht.com/ytc/AGIKgqMFe0R-CIJA5YOHzQ7gSDEJEhVBxNU4NYwIejZGMKNS-PYsMnkP4fAV6LdR7NPF=s48-c-k-c0x00ffffff-no-rj,2
Boseda Nizam Ko Lapait do,1 day ago,"Video ky end mein trick show nhi hua sir, kindly write it in full format.",https://yt3.ggpht.com/ytc/AGIKgqNb56FjHVMWNJkoCl5UW2PEYYsE2ydxgFTsFTg483Uh8TBqSA9VXmv8gGQJF-2M=s48-c-k-c0x00ffffff-no-rj,2
A fading breath,2 days ago,🇮🇳,https://yt3.ggpht.com/2fDSt0p6W4FWQncTfrHIT4DQY1n4fGTa7jCGrcy1SbBwtA7fi1qtNBx40Fr_D-F4VSRI6gugtQ=s48-c-k-c0x00ffffff-no-rj,2
Meezan Food,2 days ago,Awaz slow,https://yt3.ggpht.com/XUA_IUIC0ZkLW6K87uhQzXGfGmcyHjv-jcH2Jyt464NpxvupU0EX71bE5158pRTRUN7TnKaXofs=s48-c-k-c0x00ffffff-no-rj,2
Asma khan (quran academy),2 days ago,waiting for this viseo,https://yt3.ggpht.com/PnTCA0yDUX_9Jh0yz3hbon25Bx1vbE62SMDSGE8SJxcDTihrwW-qryh8-uFACx-B3x0yls4XKg=s48-c-k-c0x00ffffff-no-rj,2
Amjadjnoubi,5 days ago,Sir ye video kab asegi ,https://yt3.ggpht.com/5w8hV6rOlnyvj7mYAXkTHB26yzUkRHiqIrCQ6wwceLkV5PXcQxR0XlFIEfhh1g6iMrkVNp5eYQ=s48-c-k-c0x00ffffff-no-rj,2
Amjadjnoubi,5 days ago,,https://yt3.ggpht.com/5w8hV6rOlnyvj7mYAXkTHB26yzUkRHiqIrCQ6wwceLkV5PXcQxR0XlFIEfhh1g6iMrkVNp5eYQ=s48-c-k-c0x00ffffff-no-rj,2
Huzaifah Khan,9 days ago,Good morning Sir,https://yt3.ggpht.com/ytc/AGIKgqNXMdIG3Onc1pIBMHWEQsT3osUZyBtKJTzttB1L81mCik9zk3VCiSalca57VmvB=s48-c-k-c0x00ffffff-no-rj,2
