Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Zeeshan Usmani,2 weeks ago,"How to Make 1000$ from YouTube Per Month | یو ٹیوب سے ماہانہ یقینی 1000 ڈالر کمائیں 

Facebook Ads Training: https://www.youtube.com/watch?v=KQ0vAnYqqOw&list=PL1Xmyl4aKTRgo9zzSRHJL6523C1WmeTtD

Learn Emerging Technologies: https://gufhtugu.com/

YouTube Ads: https://www.youtube.com/ads/

Google Ads: https://ads.google.com/home/",https://yt3.ggpht.com/ytc/AGIKgqPPqDllHSsEBpKpgbnTtKP2JR8fOTRcjD7YcGqv=s48-c-k-c0x00ffffff-no-rj,47
Comedy Cookie,2 weeks ago,Awsome video....... Upload more case studies like these Sir. Jazakallah,https://yt3.ggpht.com/x6mZV-gz-04rsgAjadpGiO9GKL93W4pgZtgp85rQb0KNZt6PmYnb05mngro9B21sTHaYTPTSPQ=s48-c-k-c0x00ffffff-no-rj,12
Step by Step Improvement,2 weeks ago,"Jazak Allah. You are really doing a great job. Just one more thing that we should choose positive and beneficial topics. Pakistan needs more positivity, and progress and if we do a collective effort we can raise our collective national character. If we just pursue money without the moral aspect than we will be doomed as a nation. May Allah Paak Help and Guide us .Ameen",,10
kashif ullah peshawari,2 weeks ago,ماشاءاللہ ماشاءاللہ اب تو استاد محترم کے لیے تہجد میں دعا کرنا ضروری ہو گئی ہے اب سب یوٹیوبر استاد محترم کے لیے دعا کرے  مجھے ڈاکٹر اسرار احمد سے مفتی محمد تقی عثمانی صاحب سے ااور استاد محترم ذیشان عثمانی صاحب سے الحمد للہ بہت فائدہ ہو رہا ہے  اللہ تعالی ہمیں اپنے اولیاء کی دوستی عنایت فرمائے آمین,,92
Shahzaib Arshad,2 weeks ago,You are really a great teacher. No one tell like this.,,10
Muhammad Mudassar,2 weeks ago,"JAZAK ALLAH Sir
One more thing sir please demonstrate about setting up payment method and what should be the best budget to spend according to one's number of subscribers need",,12
Qasim Qadri,2 weeks ago,"love this video, thanks for explaining all these stuff, looking forward to more videos like this!",,10
Sufi Technology,2 weeks ago,ماشاءاللہ barakallah... Sir I liked your video too much and I want to thank you for this great demo.. Please sir keep on making more demo videos like this,,7
Haseeb Bhutta,2 weeks ago,Thanks for the demo please upload more like these tutorials. ,,6
Nostalgic Vibes,2 weeks ago,I was desperate to bring subscribers to my channel. I am happy to find this video on time. Allah aap ko khush rakhe. Ameen,,8
Shahrukh Shakeel,2 weeks ago,"Sir it was a very informative video, Thankyou.
Kindly share more videos like this which are step by step guide for youtube and other ways you accomplished something, Thanks",,6
Facts Findings,2 weeks ago,"Believe me, I was not aware of this useful configuration before. Thank you very much for bringing it to my attention.",,5
Muhammad Mansoor Jaleel,2 weeks ago,"Sir zeeshan thank you for your guidance. Kindly make more videos on earn easy money through online with real experience as you have said that you did experience first personally.  Step by step is more easy and helpful for us to do it easily.  
Want to connect to discuss about pursue career in IT. Please reply ",,7
Abrar Hussain,2 weeks ago,Awsome video sir... please aur bhi aisi useful videos bnayien ... jo dosron ko faida dain... Jazak Allah... Allah aap ko khush rakhe... Ameen,https://yt3.ggpht.com/ytc/AGIKgqOr9McRPLJPUGmHcXwM2A4XdQwTUAgTKmiaQ87LIQ=s48-c-k-c0x00ffffff-no-rj,6
