Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Zeeshan Usmani,1 month ago,"Order Books: https://gufhtugu.com/

Data Visualization: https://gufhtugu.com/data-visualization/ 
Tableau: https://gufhtugu.com/data-visualization-in-tableau/ 
Power BI Basics: https://gufhtugu.com/power-bi-ka-taruf/
Power BI Advance: https://gufhtugu.com/power-bi-advance/
Sample Website: https://www.visualcinnamon.com/
Tableau Download: https://www.tableau.com/products/desktop/download",https://yt3.ggpht.com/ytc/AGIKgqPPqDllHSsEBpKpgbnTtKP2JR8fOTRcjD7YcGqv=s48-c-k-c0x00ffffff-no-rj,8
Mohammed Mashhood Ali,1 month ago,"Sir
We would be highly indebted to you, if you make a playlist of the 6 months data visualization course, and make it available with a nominal fee, which would be affordable for a common man. 
Allah aapku Jazaaye Khair ataa farmaaye",https://yt3.ggpht.com/ytc/AGIKgqPZ6yTq5zQMRazLOvA2utHLhM6Aing67GGJPQ=s48-c-k-c0x00ffffff-no-rj,10
TANVEER KHAN,1 month ago,It would be great if you can show us a complete career paths by providing links to the courses as you had done in Digital marketing career path video. Please give us a sequential track to navigate through it seamlessly!,https://yt3.ggpht.com/ytc/AGIKgqPoa7w1ODZSiTyVjIuExNy0bWJfITKrbdpgzwIsQg=s48-c-k-c0x00ffffff-no-rj,10
Md Asgar Sani,1 month ago,Sir we need Full playlist on Data Visualization. This is the first video I have watched 3 month ago from your chennel. Till then I am waiting for more video on it. Please make a playlist on this and make a english version of your Data visualization books. It's a humble request from Bangladesh. Thank you,https://yt3.ggpht.com/ytc/AGIKgqNwju_y7opgsGZmpu4umLLHMMscyejlvNklwQz6=s48-c-k-c0x00ffffff-no-rj,7
QM Tahir Bashir,1 month ago,"Dr. Zeeshan Usmani, I just wanted to express my gratitude for the valuable content that you share through your YouTube channel. Your videos are truly insightful and provide excellent guidance for individuals who aspire to earn good money. Your hard work and dedication to helping others are truly inspiring. I hope that you will continue to create and share more content that helps us grow professionally, spiritually, and as individuals. Thank you for all that you do!",https://yt3.ggpht.com/AtwRaE4mH1mkyo44jcEyQcUjQzl8tlaSWbgykqqUJqHtcuxm3UALfyoV43tbKraBVNABWyk1=s48-c-k-c0x00ffffff-no-rj,13
Eram Ameen,1 month ago (edited),"I'm Alim e Deen Qasmi, from India, you are not just my role model in modern technology but your thoughts and ideological discussions are like a guide moreover each clips of short videos are giving us motivations and glimpses of modern world.
You are Muhsin e uma. Allah  keep you in His safety and security. Ameen.",https://yt3.ggpht.com/ytc/AGIKgqM0vil8BoT-xfDuqLRZ3MTcG7Lw7mTQA3BxXAtI=s48-c-k-c0x00ffffff-no-rj,3
ALI REHMAN,1 month ago,"Jzk khair
Sir if possible, plz make a complete playlist. May Allah accept your efforts.",https://yt3.ggpht.com/ytc/AGIKgqMeXnOxI-cUtiLAmOoTjWJnn91Z8UocAYapvkf22w=s48-c-k-c0x00ffffff-no-rj,3
Sobuail Does Marketing,1 month ago,"Thankyou so much, Sir. Absolutely and utterly amazed by the work you and your teams put in. The Digital Marketing Books are lit! Keep it up, Sir. Best wishes!",https://yt3.ggpht.com/5m9HTPiDS8xuVbCPTO4dDOPTs5tqOwKidFyDEnEJyZC4_dsfp3CxFBHJfCEBevyYDNr1bEQu1w=s48-c-k-c0x00ffffff-no-rj,3
SINGING IS LIFE,1 month ago,"Highly motivated and interested sir, please teach us more. Jazak Allah",,3
Nisar Shaikh,1 month ago,"Sir , you are the GEM.",,3
