Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Zeeshan Usmani,1 month ago,Order Books: https://gufhtugu.com/,https://yt3.ggpht.com/ytc/AGIKgqPPqDllHSsEBpKpgbnTtKP2JR8fOTRcjD7YcGqv=s48-c-k-c0x00ffffff-no-rj,8
Waqar Hussain,1 month ago,"The question is what to read?
Being a mentor, can you share the recommended books to read?",https://yt3.ggpht.com/41zToz787i8eAOpWUTgINl8xYNKADKpahzBp9uxyVTUCxSNlk7hrweHEJbZWHU1I3DvkvLWFMg=s48-c-k-c0x00ffffff-no-rj,3
Daniyal Ak,1 month ago,Thank you for sharing your knowledge and advices. It's really worth it.,https://yt3.ggpht.com/46ZphBph-WjoCSykUd-hRp5HQrJaeZUOwpYDtOxj3K5YJNCIiNtoWuo9T8yj4GEWmg6NtRvkpzw=s48-c-k-c0x00ffffff-no-rj,2
Muzamil Hafeez,1 month ago,I have watched this video 2 times before and it helped me alot in Building Reading habit Thanks Sir,https://yt3.ggpht.com/ytc/AGIKgqM2FpQvgf_v4UVXQqCby2Kn5t9qVawtSo0xRQ=s48-c-k-c0x00ffffff-no-rj,2
The visiting Hub,1 month ago,اللہ آپکو سلامت رکھے آمین,https://yt3.ggpht.com/ytc/AGIKgqMn_wyZXzzHobW-RFStEiY_ckaIrEicJaVsxEgloo9sLTksO0BvxsWh71wu7wtg=s48-c-k-c0x00ffffff-no-rj,5
Abdul Mateen,1 month ago,"Sir please make a video for us who are depressed of having low income and increasing inflation within hours
It will be appreciated if you give solutions that are instant",https://yt3.ggpht.com/ytc/AGIKgqMOQhGOrez96iirHv1FAWowtILF8-Nsc1cUKw=s48-c-k-c0x00ffffff-no-rj,2
Sarfaraj Ajmerwala,1 month ago,"love u & respect u sir 
from India",https://yt3.ggpht.com/Ptx4J5C-IJkTgA2YoXNVW1awZwyv5RTOWE1bj_nlxdDZBUY0bTOndKFF0D0KfYQZ07hGhjpY=s48-c-k-c0x00ffffff-no-rj,2
Dr M History,1 month ago,You're my Inspiration,https://yt3.ggpht.com/ytc/AGIKgqPyZiSSctQMN6xRJnbrbPaV8_rb1tZ5nmoWBa_EsDzdpxxf8fVjhQViGl0B4Dex=s48-c-k-c0x00ffffff-no-rj,3
Majid Rehman,1 month ago,Books are made out of books. Thank you for sharing.,https://yt3.ggpht.com/ytc/AGIKgqP1M15_j88JnbbXilefmSYXZv3de4dFWzC4OXN-R4o=s48-c-k-c0x00ffffff-no-rj,1
My first garden,1 month ago,"1: Kitaab dost ki tarah hoti hai bhoj samjh k na parhe, thora parhe samjh k parhe..tension na le
2: pick a number of pages k ap zarur parhe ge, timing set kare or us per qayam ho jaye slowly slowly barhate jayr number.
3: Authors ko parhe.",https://yt3.ggpht.com/ytc/AGIKgqNLTfYucS0xek446eIojidqlcIIFNNlQgC1RgytMCdcdMrn3-IBn0BvRRUaQZ19=s48-c-k-c0x00ffffff-no-rj,3
ruquia nizamani,1 month ago,اللہ سائیں آپکو اپنے حفظ و امان  میں رکھے۔,https://yt3.ggpht.com/ytc/AGIKgqM78Nq9EGhEF5BPGpTHvVfmEOYGetqfNQxXPTOghC2YbMQtib5zUJ4u1P3KPgH3=s48-c-k-c0x00ffffff-no-rj,1
manan shaykh,1 month ago,"sir i have given myself  target to read 1 book per month for this year 
which mean 12 book this year 
after improvement I will surely read 2 books per month",,1
Learn Knowledge 1K,1 month ago,I am Motavationl Speaker,,3
Lily - The Ownerless Cat,1 month ago,Zeeshan usmani bhai 1:30 not changed book in school life,https://yt3.ggpht.com/xblAOVaMKQAs41f3I3uFk_EINPeGHl4D4Pqbscd3tmsjlF91-iT4L3lISdy3COUGGlfbpXLfCzs=s48-c-k-c0x00ffffff-no-rj,2
