Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Abdul Wasay,3 weeks ago,اللہ رب العزت آپ کے علم میں آپ کی ہمّت میں  آپ کی صلاحیت میں آپ کے رزق میں خوب برکت  عطا فرمائےآمین ۔,https://yt3.ggpht.com/ytc/AGIKgqMWimUDSj0QH9BKTzcYKp5gnOyS7_KVKC5aryBE67C1I28Y6duIU0MQo9hyylLD=s48-c-k-c0x00ffffff-no-rj,17
Content Station (VicRulZz),3 weeks ago,"1. Avoid all unnecessary things.
2. Make dua as much as you can.
3. Read Quran Sharif as much as you can.
4. Practice sila e rahmi. (Starting with the people closest to you).
5. Make zakat and help others as much as you can.",https://yt3.ggpht.com/KRlb6DrZsI-LMR4t4jwVwN7VW_OmhAii5lktfNkpUvBEtLNT7k14FHzrP-w0Wvzq5ynJWw4jmQ=s48-c-k-c0x00ffffff-no-rj,16
Sheikh Awais,3 weeks ago,Ya ArhamaRahemeen Ya Zal Jalali Wal Ikram ️,https://yt3.ggpht.com/ytc/AGIKgqPbg7GxFjO_V4V9HKRSL_HOQaeQL93isrtIR-0wWg=s48-c-k-c0x00ffffff-no-rj,7
muquddas khanum,3 weeks ago,"Salam!
I'm teenager,  I really like ur videos, it helps alot and i practically work on it.
One more thing because of u I sleep early after Esha prayer and do exercise and other good deeds.
JazakAllah;  Allah ap sa Razi hoi.
 Respect from Lahore",,4
Mohammad Salman Bhat,3 weeks ago,Sir love you ️. Muje aur Kashmiri logoon KO apne duaoon Mai Yaad Rakhna. please,,5
syed farhan,3 weeks ago,Jazak Allah .Allah aapki tamam khwahishein puri kare.,,4
Arsalan Ahmed,3 weeks ago,Dil chta hai apko sunta rahun  Masha Allah apki zaban me Alag hi methas hai ,,3
Aqsa,3 weeks ago (edited),Does Friend Abdullah really exist?,,4
A 3 Minute Video,3 weeks ago (edited),"Jazakallah khair ️
May Allah be pleased with you.",,3
ezaz amber,3 weeks ago,"Sir, Aapki baten Dil me utar jati hain...Aap se mera Dilli lagav  ho gaya hai...

Appki baten Dil ko touch kar zati hain..

Apni dua me yaad rakhen...

Allah Hafiz",,3
Lubna kanwel,3 weeks ago,the smile on your face MA SHAA ALLAH LA QUWATTA ELLAH BILLAH E ,,2
erum syed,2 weeks ago,Alhamdulillah excellent sir  GOD Bless u and your family,,1
Moin Shaikh,3 weeks ago,Sir meraliye bhi dua kijiye Maine apna kadam emerging technologies ma rakhdiya hai ap dua karta hun isma phd karke isma apni zindagi ka wakt laga kar allah ki dawat pesh Karu aur ispar jam jau aur ummat kaliye bhi dua kijiye,,3
Daniara Ridna,2 weeks ago,صحیح فرمایا آپ نے اللہ تعالی آپ کی آپ کے آنے والی نسل در نسل کو اسی طرح اچھے کام کرنے کی توفیق دے آپ  کی خیر فرمائے آمین,https://yt3.ggpht.com/ytc/AGIKgqOdd-_I0p50IGuW_t2wgcsQl-KmhyM0pUbWuA=s48-c-k-c0x00ffffff-no-rj,1
Lubna kanwel,3 weeks ago,ap k liye dua karengy ap ALLAH k khas bandy hain apki zuban se ju bateen nikalti hain wu seedha ma dil ma uter jati hain alhumdulillah,https://yt3.ggpht.com/Q5NbCIC9qU4FOa-ZFRwu3fIqUusyrTIsDqvoEnxt3EHmqXtPQp-XIDur6vqNwU10fQwAFmISMw=s48-c-k-c0x00ffffff-no-rj,3
Sami Ullah,3 weeks ago,جزاک اللہ خیرا ️,https://yt3.ggpht.com/D_wo9onginhJVF0rGUoGdNdS-LfotcOQsFqYpYaCLCJJj-kRvddrJ2yptNGBzTgG5ditzhFrEA=s48-c-k-c0x00ffffff-no-rj,1
Info Live,3 weeks ago,استاد محترم اللہ تعالیٰ آپ کو عافیت دارین ، دارین کی تمام سرخروئیاں ، ابدی چین و سکون اور حقیقی کامیابی ،ایمان واعمال کی حلاوت ابدی عطا فرمائے,https://yt3.ggpht.com/ytc/AGIKgqOm1fNTu-vBITsZoKWVy77ddebCPSX93R1CmrLo=s48-c-k-c0x00ffffff-no-rj,1
Zeeshan Usmani Fans,3 weeks ago,Allah Pak apko hamesha salamat rakhy Ameen SumAmeen,https://yt3.ggpht.com/lJWVoGXeioNF0g5MRIs_xMGKMoAkv4F6vIspLT70MRfOumRbq9N-43OH5mzHcV9Q9OGxS5aDdWA=s48-c-k-c0x00ffffff-no-rj,3
Kitchenest,3 weeks ago,جزاکم اللہ خیرا کثیرا واحسن الجزاء فی الدارین,https://yt3.ggpht.com/cVbt7956A5chFUfHUtYS-OtrOvReo8Ae7ulepiUtaeNEaF4bAVkL6MtiU6HUdZvE0YeLNCRy=s48-c-k-c0x00ffffff-no-rj,1
Mr Uzair555,3 weeks ago,Sir ap pakistan me kaha se the,https://yt3.ggpht.com/1Jlc7-LQxdu0_xBTU62UJAVkkk3L9IFOpDtDjUpM8rHT_hGxGOgXzJ8N5UIcVY9AxbYHAR-zZw=s48-c-k-c0x00ffffff-no-rj,2
Majid Khan,2 weeks ago,Masha ALLAH ️ Tabarak Allah ,https://yt3.ggpht.com/ytc/AGIKgqPRwAKwpDRfeVQqOdh8ka6bsox3x2TU8wGlUFK-aA=s48-c-k-c0x00ffffff-no-rj,0
Saba Rasheed,3 weeks ago,Watched twice because ABDULLAH is my favorite personality in my life ,https://yt3.ggpht.com/jJ4mL9S0XZrJSYcQfo2hsO6WP5OjyUpYBZz2MXjVRhLClDTmfCtTosHv4Q7v-Yur_n2N6MTf=s48-c-k-c0x00ffffff-no-rj,0
Saeeda Riyaz,3 weeks ago,Haw can women spend ramzan as you are telling?,https://yt3.ggpht.com/ytc/AGIKgqMwRfGgT7iklXQNEMeMgSAgQR-BvP_PjZ_M7Q=s48-c-k-c0x00ffffff-no-rj,2
My Canada Vlogs,3 weeks ago,Sirf Ramzan hee humara different nahi hona chahiye balkay eska asar baqi ke months pai bhee aana chahiye. Har ramzan aik target set Karen jo ke new ho aur osay rest of the year practice karen. Ramzan humein isteqamat hee tu sikhanay aata hai. Alhamdullilah I achieve every target I set every ramzan. Slow and steady win the race.,https://yt3.ggpht.com/5aNmPCE1yAV7DpE_el1ewhHzbekGWIz8yfmjQ5Mx1zrTDOLi_HOzVQvW2KU0A946bOVRbTTuDg=s48-c-k-c0x00ffffff-no-rj,2
Nazish Bilal,3 weeks ago,Very good suggestions are good.... Excellent video,https://yt3.ggpht.com/ytc/AGIKgqO6GX34SvkGUjXezAdbZmVfrE14ONiXJlUVNA=s48-c-k-c0x00ffffff-no-rj,2
parvez official,3 weeks ago,Love from india 🇮🇳🇮🇳🇮🇳,,2
Zahra Asif,3 weeks ago,Sir Kisi din Abdullah se milwa dey,,2
Faraz Mubeen,3 weeks ago,,,2
Shariq aijaz,3 weeks ago,abhi bta rahe ho....  1st roza to hogya,,2
Save Humanity,3 weeks ago,Ramzan Mubarak AAP sabhi ko,,2
Mohammad Noorullah,3 weeks ago,Assalamualaikum dr zeeshan sahab kya future trading bhi halal hai na Crypto mai btayye,,2
Faiz Ahmed,13 days ago,Best Video,,1
Mujeeb Saifi,2 weeks ago,"Sir, Quran Pak is not just for reading it's for understating, bale ek page parhen, Quran Pak ko samjhe ",,1
Mohammad Irfan (Personal),3 weeks ago,"Summary
What I understood
Date:26/03/23

A. Learning outcome...
1. What to do in Ramdan?

B. Learning outcome...
1. Avoid bad thing
2. Do more prayer
3. Read Quran
4. Give charity
5. Good deeds
6. Stop angry

1. TV dekhna, Net flex dekhna, match dekhna, ya aur bhi koi TV program dekhna, Ramzan me sab chijen band kar de.

2. Ramzan ka Mahina duaon ka Mahina hota hai, tu Ramzan mein jyada se jyada dua mange.

3. Koshish karen ki Ramzan mein jyada se jyada Quran pade.

4. Ramzan ke mahine mein aap sadka de sakte hain, logon Ko khana khila sakte hain, Pani pila sakte, aftari karva sakte hain, Jo madad ka talabgar hai uski madad kar sakte.

5. Logon ke sath achcha suluk kare, Apne bacchon, biwi, doston, rishtedar, padosiyon ke saath.

6. Ho sake to Ramzan mein gussa Na Karen, logon Ko maaf Karna sikhen, Allah rabbul izzat aapko bhi maaf kar dega.


Thank you very much Zeeshan Usmani sir for sharing your knowledge and experience with us.

May Allah give you and who are connected with you health wealth and happiness.",,1
photo_speak,3 weeks ago,Subhanallah very nice explained ZajakaAllha khair Waheed Bhai (India),https://yt3.ggpht.com/CVaJolJq6mAGDdo11AXZ80uH23nYy6hvmoJzXVyMyVAieDG_dmw7alOHywyNV-fzc2ZMd1gJ1A=s48-c-k-c0x00ffffff-no-rj,1
Muhammad  Zahid,3 weeks ago,Allah aap KO mazeed taraqqe naseeb karin,https://yt3.ggpht.com/ytc/AGIKgqN1VJwmb_eyOT1lWSFlkobsFvZoNL6FLX3LYP-PS1JyUxS8QnCP6qQguIJi02rK=s48-c-k-c0x00ffffff-no-rj,1
summaya thaseen,3 weeks ago,Sir aap be aulad logoun k liye b vedio banayn plz mare Shadi ko 5 ko year hogay aulad nai plz sir,https://yt3.ggpht.com/ytc/AGIKgqMkOpzjXjE_pnjc_Bgs9ir9jtGgR9YG2zl5F5gd=s48-c-k-c0x00ffffff-no-rj,1
Enthusiastic,3 weeks ago,"Ek din Ek Quran!
15 mint me ek para!!!
ye sirf Quran parhne ka mahina nahi he Balke Quran ko Samjhne or os per Amal karne ka bhi mahina he Sir 
Jis speed ke sath Ap Quran parne ko bol rahe he as a Hafiz me parh Sakta ho Laiken me kya, koi bhi samjhe ga nahi ke kya parh raha he, Samajhna or os per Amal karna to door ki baat he",https://yt3.ggpht.com/ytc/AGIKgqNR_dI74sgbhuExJ7Xdk1NgsTEue9k42y6PkXe3dg=s48-c-k-c0x00ffffff-no-rj,1
