Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Fareha Aziz,1 month ago,You are teaching THE ART OF LIVING. But we must keep in mind that no innocent or deserving person should suffer because of our actions.,https://yt3.ggpht.com/ytc/AGIKgqNwtmn474cVifbtDMwmk-chAf54uZtd85GR-w=s48-c-k-c0x00ffffff-no-rj,9
Hussain Shahid,1 month ago,"Zeeshan Bhai, the bitter the pills the quicker it heals. I have been benefiting with your mentorship since two years. I honestly feel proud to have ppl like you in my life. So aptly you explained the code of life living in Pakistan! Amazing. Wish to have a cup of tea upon your visit at Karachi. Shahid from Karachi",https://yt3.ggpht.com/ytc/AGIKgqPWbC0ozjeF8i1VdwvPW_OP0O7_2OC9HnKI3LGF=s48-c-k-c0x00ffffff-no-rj,5
kashif ullah peshawari,1 month ago,استاد محترم باقی باتیں ٹیک ہے لیکن رشوت لینے دینے کی بات پر میں کہتا ہوں  اس بارے میں اللہ تعالیٰ سے ڈرتا ہوں اور میں کہتا ہوں صبر کا پھل میٹھا ہوتا ہے دوسری بات یہ کہ پاکستان کو جنرل ججز  اور غدار حکمرانوں نے تباہ کیا آپ جو شکایات کر رہے ہیں یہ ان سب غداروں کی وجہ سے ہیں تو ان کہ اپر تنقید نہ کرنا بےحسی اور ظلم پر خاموش رہنا ظالموں کاساتھ دینا ہیں تیسری بات یہ ہے کہ ہماری پوری قوم دین دور ہورہی ہے جس کی وجہ سے قدرت ہمیں جنجوڑ رہی ہے کہ بے یمانی نہ کرو خیانت نہ کرو جھوٹ سے اپنی دنیا اور آخرت خراب نہ کرو لیکن ہم کہتے ہیں ہمارے اپر ظلم ہوا ہے ہم بھی دوسروں پر ظلم کرینگے ہماری زندگی کا مقصد دنیا کی رہجانے والی خواہشات ہے موت ہم بھول چھکے ہیں آگاہ اپنی موت سے کوئی بشر نہیں سامان سو برس کا ہے پل کی خبر نہیں کسی کی دل آزاری ہوی ہو تو معافی چاہتا ہوں شکریہ,https://yt3.ggpht.com/3ZnapJr5Q1rHDJpY2mnRL4RVGDqygSBWeqj6mxuTrm9JWMYbwi8-j1HUhOFGWzA5c-VCSoln=s48-c-k-c0x00ffffff-no-rj,8
Tahir Mahmood,1 month ago,"Sir you are great, u some up everything in 14 points. 
Quaid-E-Azad ke 14 points 
And now Zeeshan Usami sir ke 14 points. 
I love it!!!!!",https://yt3.ggpht.com/gm2EfydIP9TYUc-15htSIFj-uBEPqkFZ7UDJFn4K0uoXjyXdXQ0SkHjQPv_BFRwZeXT5t2CuzA=s48-c-k-c0x00ffffff-no-rj,5
K Awan,1 month ago,نکات نمبر ١٥: اگر آپ یہ ملک چھوڑ سکتے ہیں تو چھوڑنے کی کوشش کریں۔ بہت پیسہ کمائیں اور پھر واپس آئیں۔ یہاں غریب کی کوئی عزت نہیں کرتا۔ اگر آپ امیر ہیں تو یہ دنیا آپ کے ہاتھ میں ہے۔,https://yt3.ggpht.com/ytc/AGIKgqOwb3jIR4Os-LRmY3R0ij9XH84VERZA2M67Ny-LZA=s48-c-k-c0x00ffffff-no-rj,5
Elite x Pakistan,1 month ago,Let's join forces and use our collective voice to demand change,https://yt3.ggpht.com/RwHFtL-iSH9GkarH92LGkZDMoHBKmictWiIeTgRTFNC1XzxOWwmEZJZPdJUQCEaPohVLti5tQQ=s48-c-k-c0x00ffffff-no-rj,3
Hassaan Zahid,1 month ago,قائد اعظم کے 14 نکات یاد کرتے تھک گئے تھے۔اب یہ نکات پاکستان کو کامیابی کی طرف لے کر جائیں گے ۔ان شااللہ,https://yt3.ggpht.com/ytc/AGIKgqPgHjYIb6TeyIS5w7bTjRLAtZNrqPtKlissCA=s48-c-k-c0x00ffffff-no-rj,2
Ali khan,1 month ago,I wonder why Pakistan is like this. If Parents teach these things to their children.,https://yt3.ggpht.com/ytc/AGIKgqM4hHzeCKcifVFw6gK_8YdNGhuIBF3gY3dW8g3I=s48-c-k-c0x00ffffff-no-rj,3
Hafiz Iqrar,1 month ago,"Thanks for reminder i heard these points a long time ago and now saw again and remined me many things again.
jazakALLAH",https://yt3.ggpht.com/ytc/AGIKgqMCXRSbR_1AZJSxhi5Bp1B4s6ls6lZ2y1srfyZ6=s48-c-k-c0x00ffffff-no-rj,2
Aarib Barkat ali,1 month ago,Allah pak apki umar mein barkat ata farmay ameen meri dil sa dua h sir ,https://yt3.ggpht.com/RNr055F3VjSCQFOJDoUlBbgoNxNaA-d0gwDMYv3CHNz6wWVOUwN6ntR-rXltaMx-_oO5dB2a=s48-c-k-c0x00ffffff-no-rj,3
Muhammad Azeem,3 weeks ago,Everything said in the video is almost true and well presented,,1
Zia 5446,1 month ago,"ذیشان بھائی بہت خوب
جزاک اللہ خیرا",,1
rajinder singh,1 month ago,Very good information,https://yt3.ggpht.com/DYI5wVwFenZ9ihygPrQ_WbOqfLcKVu1lRL7himwbp5xpXY2pD6FLc-BmZhy_0xUj67YVRNUl=s48-c-k-c0x00ffffff-no-rj,2
tahira yasmindfgdfg,1 month ago,"Sir, Proud of you.
May Allah bless u!",https://yt3.ggpht.com/ytc/AGIKgqNfHMBhcnAGAs9lq76diNxKJoJ-GbciBTIjPJUm=s48-c-k-c0x00ffffff-no-rj,1
Murtaza Farooq Naviwala,1 month ago,ego point is very correct. i myself as a Pakistani holds too much ego and still can't do anything about it.,https://yt3.ggpht.com/ytc/AGIKgqNdB3neH4lbAZpkdVbGBJB9EhxCI8-ErBrVew=s48-c-k-c0x00ffffff-no-rj,2
Saddaque Hasan,1 month ago,"Wise points masha Allah Tabarakallah, Zeeshan Sahab.... Must be watched twice",https://yt3.ggpht.com/ytc/AGIKgqNM0ThSz993XtOigs7Dnanqku3ffNR8gTlDZRd2OA=s48-c-k-c0x00ffffff-no-rj,1
Nadeem Abbasi,1 month ago,Pertinent points  learning ++++,https://yt3.ggpht.com/ytc/AGIKgqMvuKX7FwbTzAYOaakwTh6OtlfGR5yNu5fKxx5sZns=s48-c-k-c0x00ffffff-no-rj,1
