Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Kitchenest,2 weeks ago,اللہ پاک آپکو اپنی شان کےمطابق جزاۓ خیر عطا فرمائیں,https://yt3.ggpht.com/cVbt7956A5chFUfHUtYS-OtrOvReo8Ae7ulepiUtaeNEaF4bAVkL6MtiU6HUdZvE0YeLNCRy=s48-c-k-c0x00ffffff-no-rj,5
Maqbool Hussain Food Secrets,2 weeks ago,MashaAllah sir you are the great person please keep doing this Abdullah ko salam,https://yt3.ggpht.com/dGzUrbgKsadpd327rqICsKy1Vbmt7RKMUX3gFsotTlDCT06lobEnmzRnehROIkgq7gNXUZy2rA=s48-c-k-c0x00ffffff-no-rj,2
Freedom fighter,2 weeks ago,"Sir, long video bnaya krain apki batain achi lgti hain",https://yt3.ggpht.com/7SzSA6gc5Xetd3IMd4BHxp3wxJdOWRy8RQhN6fG8ZDFicEB-oAvjRF1792FPHi5wWiqpwPEPmzY=s48-c-k-c0x00ffffff-no-rj,28
Mazhar Hussain Zardari,2 weeks ago,Once again listening my beloved mentor.,,2
Imran K,2 weeks ago,At the end of film: Zeeshan's friend Abdullah is Zeeshan himself ,,10
Mobile Cover,2 weeks ago,Just Fantastic Ustad,,2
Sarfaraj Ajmerwala,11 days ago,"love  u & respect u sir 
from India ",,1
Bint e Hawwa !!,2 weeks ago,"Ap achy admi hn bro 
trust me",,5
syed muzammil abbas,2 weeks ago,U r good man but pls avoid to support pti,,4
Differences,2 weeks ago,"“Even in the deepest love relationship - when lovers say 'I love you' to each other - we don't really know what we're saying, because language isn't equal to the complexity of human emotions.”
Duane Michals",,2
ayesha,2 weeks ago,Jazak Allah khair for zeeshan usmani sahab  .... May his speech give hidayat to ummat e nabi.... Amen,,0
riz habib,2 weeks ago,Aoa... Bari gehri baat bol di Bhai... God bless you and all,,3
Muhammad Zafar Ullah Khan,2 weeks ago,Allah aap ko ajar-i-Azeem ataa farmaye...,,3
coding_paradise,2 weeks ago,JazakAllah Boss,,3
Kanwal Khan,2 weeks ago,Jazak Allah,https://yt3.ggpht.com/0akLDwyUaEgugsTDU8iPyJ_C-vSuFzpAW-tZ--EeDezqo1m65SpFM_i27IOl-LTH634q3xs0zg=s48-c-k-c0x00ffffff-no-rj,3
Samiullah Khan,2 weeks ago,Sir kabi Abdullah se b milwa dey bhut suna hai ap se Abdullah k bary me ap itny achy hai tu Abdullah kesa ho ga lazmi ek bar Kisi video me ek jhalk dika dena Abdullah ka,https://yt3.ggpht.com/ytc/AGIKgqOFbykX-sgTxTV5HK0LIyBr6ljWU9H9VbFubw=s48-c-k-c0x00ffffff-no-rj,3
Memoona Hassan,2 weeks ago,"A lot great 
Nature how help us .....thanks sir",https://yt3.ggpht.com/ytc/AGIKgqO4VaiuSJ4r8olHYAbqehNpsi_wI54L1hmPew=s48-c-k-c0x00ffffff-no-rj,3
erum syed,2 weeks ago,MashaAllah sir . ..GOD Bless u,https://yt3.ggpht.com/Xgir5nFIY2wT5bapAD4QUpkNi8GdlCd8n3_Cp-yF3RIyBeBwA7xpkiMDKPjr0rtiZE-LFQEySU4=s48-c-k-c0x00ffffff-no-rj,3
IBN-E-TABEEB,2 weeks ago,"انسانی جسم پر غذا یعنی ( خوراک / Diet ) 50٪ فیصد اثر انداز ہوتی ہے اور ٪25 فیصد ماحول، آب و ہوا... اور ٪25 ادویات اثر کرتی ہیں...
آپکی غذا یعنی خوراک ہی آپکی صحت یا بیماری کی وجہ بنتی ہے۔
کیا آپکا ڈاکٹر/ معالج آپ کو پرہیز اور غذائی چارٹ / Diet Plan Chart دیتا ہے ؟ اگر نہیں تو آپ ایک غیر فطری طریقہ علاج پر ہیں...
آئیں فطری اور قدرتی طریقہ علاج کی طرف...
مطب ابنِ طبیب کے ساتھ...
فالو کریں صحت و تندرستی پر تحقیقی ویڈیوز دیکھنے کے لیے",https://yt3.ggpht.com/ytc/AGIKgqNYhqasd8bESuHLOdfll0-XMtfZB39hzFg039R-eQ=s48-c-k-c0x00ffffff-no-rj,1
Xoundz MasteR,2 weeks ago,"آپ بہت اچھے ہیں
ادھار اچھا نہیں ہے
",https://yt3.ggpht.com/ytc/AGIKgqOMl9e275fitNn1KPWyg34Tg21FRwgI895_cA=s48-c-k-c0x00ffffff-no-rj,3
Noman's World,2 weeks ago,"Aslam o Alaikum Zeeshan bhai, Stay Bless",https://yt3.ggpht.com/Y7hAfitjBEu0Hst6AE32ofqmbmRTLs8RkUVyCWzNjs6tSydYN0m84FVg5DBGUHg2hMrQzbI6cg=s48-c-k-c0x00ffffff-no-rj,2
Aarib Barkat ali,2 weeks ago,Allah pak apki umar mein barkat ata farmay ameen.meri dil sa dua h apka leya.,https://yt3.ggpht.com/RNr055F3VjSCQFOJDoUlBbgoNxNaA-d0gwDMYv3CHNz6wWVOUwN6ntR-rXltaMx-_oO5dB2a=s48-c-k-c0x00ffffff-no-rj,2
NAEEM SHAFI,2 weeks ago,,https://yt3.ggpht.com/ytc/AGIKgqPui0uJeygSfnvsQSPJsPYDuUzfwqVaHFw1_R3FTxkbrX28L6SYNRCKSJnyiayx=s48-c-k-c0x00ffffff-no-rj,2
Siraat soft,2 weeks ago,"Sir, Abdullah sa kab mulaqat karwai ga.",https://yt3.ggpht.com/ytc/AGIKgqPAAoCMIpFQGGM8fwAzdtcwVGncpsZHbNYkzLdY=s48-c-k-c0x00ffffff-no-rj,2
Saimashafiq Saimashafiq,2 weeks ago,"Sir plz  koi without investment online easy sa Kam btaye.jis se monthly 20,30 Hazar tuk earning kar sky. Mehgae ki wja se buhat hi preshan hn. Plz sir ap pur trust ap real Kam btaye gy. Ap aik sachy insan hn. Plz sir",https://yt3.ggpht.com/ytc/AGIKgqNXBVamgfQSBdor70OBPlZ6j8X0J1xziErDJzg-MqlOrNceMwaPop841nIS9lEf=s48-c-k-c0x00ffffff-no-rj,2
ayesha,2 weeks ago,Bahot gehri aur ek karwi sacchai hamare moashre ki....,,2
Differences,2 weeks ago,Love from 󠁧󠁢󠁥󠁮󠁧󠁿,,2
Iqra Online Tutor,2 weeks ago,Good,,2
Hamid Shah,2 weeks ago,ALLAH SALMAT RAKHE  AMEEN,,2
Nursing Lofi,2 weeks ago,Walikum slaam Zeeshan Sahab ,,2
Najeeb Nasir,2 weeks ago,ALLah hu akber,,2
Nad Zaf,2 weeks ago,Acha admi sirf woh nahi haa jo biwi bachoo ko kharcha naa dayh,https://yt3.ggpht.com/ytc/AGIKgqMIbk9GITNY9BuIUl2uvZNt9-HKWOmJv7rgpQ=s48-c-k-c0x00ffffff-no-rj,2
Meerab's Kitchen,2 weeks ago,Byshak,https://yt3.ggpht.com/isLAhcRdtnmTil7ZXc05_OLJ-lVlm_DLopcPGi0dGc2zcUi5yyVWAcN77NVdA5HUmBIFjmz11ZA=s48-c-k-c0x00ffffff-no-rj,2
