Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
علم القرآن      Allamalquran,13 days ago,سر آن لائن ٹیچنگ کا کیا بنا,https://yt3.ggpht.com/837O-23ttxHRMtg2OpN74SCkcbu36Chv8FHg8JeTO-quonbQxHc3C8SxrCjiPtR8zkviHMN4PLk=s48-c-k-c0x00ffffff-no-rj,6
Muhammad bin Ahmed Yar,11 days ago,These are serious matters but people ignore it unfortunately.,https://yt3.ggpht.com/q7doPQG4rnaokb7sIXqXkrkE-JgL0v-RvNuj5dkD0HY6M5DjnNNR-pSW2041Zwf7j4f_JTFdmZc=s48-c-k-c0x00ffffff-no-rj,5
Pakistan is heaven,12 days ago,if  my life  gives me a chance to meet you  in shaa Allah  then  I will salute you .,https://yt3.ggpht.com/MxZCSPh3FXnAiomZ5NUp0l48zHFKG0EUyl9ys8gX1Df8Um7Z1bsu5u7IEr14n7hsHxrMPOcGgQ=s48-c-k-c0x00ffffff-no-rj,5
Iqra Online Tutor,11 days ago,May Allah help all the muslims,https://yt3.ggpht.com/9slDnZlt6qe-KReBSiFRNOcjfh9ZWV9tpuc7UrQcuB_e0UGn_0wNv9q63FToY6lAn9_RXDhPXw=s48-c-k-c0x00ffffff-no-rj,3
Nursing Lofi,11 days ago,Walikum slaam Zeeshan Sahab ,,3
Hasan Sardar,11 days ago,اللہ آپ سب کے آسانی والا معاملہ فرمائے آمین,,3
Rohail Khan,12 days ago,Study plan in USA per video bana den Sir,,3
Sheheryar Amin,11 days ago,"AssalamuAlaykum bhai. Your community's problem is genuine but you yourself (your community) is to blame. Imported Imam means that no one in the community wants their kids to be the Imam of a masjid. And why would they? Everybody wants their children to be millionaires, not the imam of a masjid. Tell your children to become alim-e-deen, learn arabic, shariah, and the come and lead the community as their religious leader. Problem solved!",,2
Surraya Parkar,12 days ago,Jazak Allah khair,,2
MUHAMMAD Fahad HASSAN,12 days ago,"Imported hakomat B nahi chahea, WO b asy e sar py bethy hain,",,2
Muhtashim Aleem,12 days ago,"Sahi kaha bhai,ye problem bahot jaga hai.",https://yt3.ggpht.com/9tLYOR9HSxdCStyF6fA8MAslZHV0wMtiAlhMyWzQR9rpPR5lqRgfESlrS6SE2hv89w6l_KkJ=s48-c-k-c0x00ffffff-no-rj,2
A 3 Minute Video,12 days ago,Thank you ️,https://yt3.ggpht.com/n4o9ieCmZv6fZXcEZ9SrgufJHS-PmFG-5EJOdcR-UoSsJO6TfmiPYGEDcf7zWUGBAOPT2qWvFhI=s48-c-k-c0x00ffffff-no-rj,2
funTech else entrepreneurship,12 days ago,Damn True!!,https://yt3.ggpht.com/ytc/AGIKgqN1tGFO_7L1t-QR_odpDXZMwEL7a4U1AxUNWKNq78kdVLFilHoXbcdQdlC2Otcq=s48-c-k-c0x00ffffff-no-rj,4
Nature Tv One,12 days ago,Right said sir g....,https://yt3.ggpht.com/ytc/AGIKgqMPdK0ms8_l2frSHbXLZXRfMXaIYgADO9WmNA=s48-c-k-c0x00ffffff-no-rj,4
Abu Khuzaim أبو خزيم,12 days ago,امپورٹڈ امام صاحب کو انگریزی سکھانے کے بجائے برگر بچوں کو اردو اور عربی کیوں نہ سکھا دی جائے؟ عربی اور اردو سیکھ کر ہی وہ اسلامی لٹریچرز اور اکابرین کی کتب سے براہ راست استفادہ کرسکتے ہیں۔,https://yt3.ggpht.com/cG7bIeAeZ87n8Idqo-sk3UXBwsJJ6ioaZYmYXCmcY8pZJrBDL-v0bDUIgGfXNNcYnC3VoKjJ=s48-c-k-c0x00ffffff-no-rj,3
Info Live,11 days ago,"واہ جی واہ زبردست , بہت خوب عنوان چنا",https://yt3.ggpht.com/ytc/AGIKgqOm1fNTu-vBITsZoKWVy77ddebCPSX93R1CmrLo=s48-c-k-c0x00ffffff-no-rj,1
Silent Hill,11 days ago,"The kind of Islam followed in the US is high on rituals but low on spirit. The bigger the Islamic center, the worse the problem is. The core of the problem lies in the boards that manage the affairs at each Islamic center. The people who sit on those boards reach that position not due to their taqwa but due to their worldly affairs. As a result they hire the imams to pursue worldly interests such as connecting with non-Muslims, being open to mixing of sexes in the mosque, being feminist, etc.  And majority of Muslims also prioritize those things. The board decides everything and then uses the imam as a rubber stamp, and if the imam refuses to be a rubber stamp the boards refuse to renew the imam's contract. Since it is much easier to pressurize foreign imams due to their visa tied to their contract, it is far easier for boards to pressurize them. I don't think ability to speak English is such a big problem because most Muslims in the US are bilingual anyway. Also, some of the hardest subjects in US universities are taught by foreign born and raised professors who have bad English. The real issue is the desire of the boards to have puppet imams in the US that ratifies board decisions without question !",https://yt3.ggpht.com/ytc/AGIKgqPwAjIf-tIc73NqurpLk-uBtOquGlol1W6m6g=s48-c-k-c0x00ffffff-no-rj,1
Hi Tech,11 days ago,"AOA Sir,
Al Nafi per to data scientist Ka course highly paid hai kindly detail bata registration payment ki video Bana den, Please",https://yt3.ggpht.com/MU7tfMuj1NOPKmkrUNiq0-9U1SU-G0g8DwhuRkk2DhJ0T7sWIDGW76itMVVXhXpyQK9M_UJeWQ=s48-c-k-c0x00ffffff-no-rj,1
Mehboob Ali,11 days ago,Ap kosish Kary amary delivery$ post office send Kary request ,https://yt3.ggpht.com/UW-Kt7ZzMVKOOc4AoWKBzqXhg5IG7NZkCguVvkdiq2L2b3Xt6VErnPk-2J1cXE86ixIyRGuk41o=s48-c-k-c0x00ffffff-no-rj,1
Mehboob Ali,11 days ago,Sir jab am koi book mangwany k kosish karty h to Jo amara delivery wala ota h wo 1000 meter dorr  Kara rehta h location se aur am majboor h k sawari b ni amary 7 ,https://yt3.ggpht.com/UW-Kt7ZzMVKOOc4AoWKBzqXhg5IG7NZkCguVvkdiq2L2b3Xt6VErnPk-2J1cXE86ixIyRGuk41o=s48-c-k-c0x00ffffff-no-rj,1
Mohsin Hassan,11 days ago,make a video for how to make compaign for non profit organization video ads,https://yt3.ggpht.com/ytc/AGIKgqMyH4vHQ_zFuKv38LWzHqMt_zV830yYnN1nJ2MXQA=s48-c-k-c0x00ffffff-no-rj,1
GET UP,12 days ago,Khush Rahain,,1
Naureen Aziz,11 days ago,"Aslam o Alikum Bahi 
   MashaAllah",https://yt3.ggpht.com/ytc/AGIKgqPQ_mAiFe-C6FRD_lLFfzIc0xjGk4wFprg0F6AjDw=s48-c-k-c0x00ffffff-no-rj,2
Doc On Youtube,12 days ago,"Bilkul Hazrat I agree 
Aisa Nahe hona chahyein

Apne hei community Ka imam Hona chahyein",https://yt3.ggpht.com/ytc/AGIKgqMSVBRYNR6e7We4JEB5gGbT6RKbX5JiqSGjVXfOUQ=s48-c-k-c0x00ffffff-no-rj,2
SALAHUDDIN QAZI MUHAMMAD,11 days ago,"But nowadays the passout of Islamic international University of Islamabad are bi lingual likewise from Madina university as well .
Secondly the local imam should be ideal but  do you have local imam available in America?
If not  better should  start  investing in this channel",https://yt3.ggpht.com/ytc/AGIKgqP4qZJjZbV8AvSuB_jOtU_GyQkyuJ4tICPEy8gL=s48-c-k-c0x00ffffff-no-rj,1
Sohail Akmal,10 days ago,Jazakallah Sir.,https://yt3.ggpht.com/ytc/AGIKgqM0AYeZ2J6QJ0p7uvFvJRdBW6a7FCeBrggepYFBj0E=s48-c-k-c0x00ffffff-no-rj,0
Food and travelling by Bilal,11 days ago,اللہ پاک سے آپ دشمنی رکھتے ہو اور پھر مسجد اور امام کی باتیں کرتے ہو کیا فائدہ یہ سب باتیں کرنے کا,https://yt3.ggpht.com/ytc/AGIKgqPYPjEQOTS26CJlZkWbuFxE3k9ZRpB8rfYxt3wfQA=s48-c-k-c0x00ffffff-no-rj,0
Sikandar Rajput,11 days ago,My money has been deducted and there is no meeting scheduled on your website. please check and please respond on my email,https://yt3.ggpht.com/ytc/AGIKgqNCjsBLjLViliF3w23Sjg8Qz5g_TB82jXnMtPb3LA=s48-c-k-c0x00ffffff-no-rj,1
Awazeurdu by Ahmed Chawla,11 days ago,اس کاحل یہ ہےکہ وہاں رہنےوالےامام بننےکےقابل بنیں،یاکم ازکم اپنےبچوں کواس قابل بنائیں,https://yt3.ggpht.com/PyXAcOPel3ocxzjXUqQN21m7-WL1z9DfzJU1x54FkKOk2SgKQn4UOH3zns95MX06T9Lq-RE9aw=s48-c-k-c0x00ffffff-no-rj,0
Sheikh Awais,11 days ago,"سبحان اللہ وبحمدہ سبحان اللہ العظیم

صَلَّی اللہُ عَلَی٘ہِ وَاٰلِہِ وَسَلِّم

ﻧَﺼْﺮٌ ﻣِّﻦ ﺍﻟﻠَّﻪِ ﻭَﻓَﺘْﺢٌ ﻗَﺮِﻳﺐٌ ",https://yt3.ggpht.com/ytc/AGIKgqPbg7GxFjO_V4V9HKRSL_HOQaeQL93isrtIR-0wWg=s48-c-k-c0x00ffffff-no-rj,0
Nazish Bilal,11 days ago,Well said.... Excellent video,https://yt3.ggpht.com/ytc/AGIKgqO6GX34SvkGUjXezAdbZmVfrE14ONiXJlUVNA=s48-c-k-c0x00ffffff-no-rj,0
