Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Yasmin Khwaja,9 days ago,"You are so right,I am 71 years old and gone through a lot,it's the same story all along.God bless you for sharing this",https://yt3.ggpht.com/ytc/AGIKgqMkRhXdqUC_0biNU2b48s5Ejrbi4RfUtWGtIt4-KUAA_QOYThInT1wdES_Hj6iB=s48-c-k-c0x00ffffff-no-rj,18
Abdullah Ali Abbasi,8 days ago,1 million % correct. Why are you so truthful? SubhanALLAH......,https://yt3.ggpht.com/ytc/AGIKgqP-CpCA7gfKTP9eOt9bQlhWHNl57BNLHAwkYLqiwA=s48-c-k-c0x00ffffff-no-rj,12
Huzefa Arif,9 days ago,Khud ko jis k hawale krta hu. Apne hisse ka noch leta h ,https://yt3.ggpht.com/ytc/AGIKgqNxP48lQdfIT1Ro_zjsz0WaLAeCs9sIh32dEw=s48-c-k-c0x00ffffff-no-rj,24
Maryam Umer,8 days ago (edited),"How can someone be so accurate, 
SubhanAllah. 
Knowledge with curtosy, humbleness 
You are True gem  
Lots of prayer for you.",https://yt3.ggpht.com/-NjpaiuZMh_WV6vInr23j127U8u_HJ6AaLWZEAqbd-5RMyX2Bm04IXDNExA4wkE-RgE9Jb0qfQ=s48-c-k-c0x00ffffff-no-rj,9
Aftab Alam,8 days ago,"I can relate very much, I'll follow these precious advice Insha Allah",,7
Abdullah Shahid,8 days ago,"Words of wisdom, appreciate the reality check",,6
Saira Durrani,9 days ago,Stay blessed always. Amen,,6
jamshedykhan,8 days ago,"Victory has a thousand father's, but defeat is an orphan...",,6
s....,8 days ago,Excellent poetry ,,4
Danish Ali,8 days ago,Video of the century.......!!!!!! My GURU MY Mentor,,6
Info Live,7 days ago,آپ نے بہت زبردست منظر کشی کی ہے ، بالکل اب ہر طرف تاک لگائے ہوئے لوگ ہیں کہ موقع ملے اور طعنہ زنی شروع کردیں,,2
Abdullah Malik,7 days ago,I was in need of this video and I suddenly thought my answer will be on your channel and here it is. Thank you Sir for improving my life so much.,,2
Xoundz MasteR,9 days ago (edited),"رہتا ہوں جہاں میں، وہ فرشتوں کا نگر ہے ۔۔۔
کوسوں کوئی انسان، دکھائی نہیں دیتا ۔۔۔",,6
Fawad Ali,8 days ago,"Sir, your smile makes my day. Jazakallah",https://yt3.ggpht.com/ytc/AGIKgqOcK5Xbyr42twOxUPv88T1Egn-2lO4WxwhGbSow_HqeSgY3hlN3TOBOAdSBYKbH=s48-c-k-c0x00ffffff-no-rj,2
