Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Sadam Hussain,2 days ago,"JazakALLAH sir, we are truly blessed to having you in a life, what a great wisdom we are getting from your experience.
Stay blessed and keep adding value into our lives.",https://yt3.ggpht.com/ytc/AGIKgqNxEUeHE-oglyxyF_44QAB1m3Cr72ZQP0X6SGe7Iyo=s48-c-k-c0x00ffffff-no-rj,5
funTech else entrepreneurship,3 days ago,I really like the way you deliver a story with such effectiveness ,https://yt3.ggpht.com/ytc/AGIKgqN1tGFO_7L1t-QR_odpDXZMwEL7a4U1AxUNWKNq78kdVLFilHoXbcdQdlC2Otcq=s48-c-k-c0x00ffffff-no-rj,3
sheraaz lander,3 days ago,thanke you so much sir hamare zindagi badalne ki lye ab mere tention bilkul khatam ho gaye hai pehle mein har waqt deppration mein rehta tha future ki tention mulk ka kya hoga us ki tention bass poora din mera tention mein guzarta tha lekin jab se aap ki videos dekhna shiru ki Allah ka shukkar hai tab se tention he khatam ho gaye hai Allah paak aap ko or bhi kamiyaab kare or aakhrat mein aap ko jannatul firduos mein ooncha maqaaam atta farmai ameen sum ameen,https://yt3.ggpht.com/Xum2wLbAhP9u6pputfrWk1WMJq4dig2KgK2whVdWCSknp_VpEoVZLBtyttZI3Iuqivd2loolvA=s48-c-k-c0x00ffffff-no-rj,5
Mazhar Ali,2 days ago,"ہر  وقت کا  ہنسنا تجھے  برباد   نہ  کر دے
تنہائی کے لمحوں میں کبھی رو بھی لیا کر",https://yt3.ggpht.com/ytc/AGIKgqM3ZICixuUIWHEN0IeDg3QBmlX2zGUb0477yY-8Cg=s48-c-k-c0x00ffffff-no-rj,2
Shaheen Akhtar pathani,3 days ago,وعلیکم السلام ۔ بہت خوبصورت باتیں شیئر کرتے ہیں ماشاءاللہ ماشاءاللہ شہزادے بھائی ,https://yt3.ggpht.com/dNjxlnq8-YSNCAy3D9Y976eYXe7zRhG7AXoNBxIoq0jYRHtAOqvzbpljOc-35atm00KwXE6o=s48-c-k-c0x00ffffff-no-rj,3
Multiple Stuffing,2 days ago,A.A. God Bless you and all of your family.  Love you Zeeshan Bhai. Wassalam,https://yt3.ggpht.com/7jnMFsMSPoaTNfYWLs44AijOAm-HdY188pr8XhJbLcztqVNMsCo7qQfL9n1XJIeaLoWe01sSSQ=s48-c-k-c0x00ffffff-no-rj,1
Quran Centre,2 days ago,"علم میں اضافے کے لیے 
جزاک اللہ خیرا أحسن الجزاء",https://yt3.ggpht.com/ytc/AGIKgqO8k0GRzdq2jTh68suh3bXCzyXWj63tv-LqwSBL=s48-c-k-c0x00ffffff-no-rj,0
Khan Ahmed,3 days ago,"May Allah bless you brother love from India 
USA me Eid kab hai",https://yt3.ggpht.com/ytc/AGIKgqPzzP19eqkji5pnaaV8N_zty6HlKUTariLM_g=s48-c-k-c0x00ffffff-no-rj,3
Inter Top10,2 days ago,Open Ai Lover,https://yt3.ggpht.com/qjpsPRqdJHghM05ypQ7wCNE3K1uDhQMS2vIPRfYqa-MT3bOmqMjlw6TBvw8Wk3Hx2jTpK6kwTe0=s48-c-k-c0x00ffffff-no-rj,2
Syed Zaadi,2 days ago,"Sir ap zindgi k behtreen sabak dety hyn apni tamam videos me 
Allah pak apko khush rakhy r ap esy he insaniyat ko behtr se behtr banany ka kam sar anjam dety rhy",https://yt3.ggpht.com/PWgKKeLgjWQG3FMqU__N339ApSXZrYIZZO9JEZnohORrmR44A3NRLDIhYyPu_aj0qrEKLutGIw=s48-c-k-c0x00ffffff-no-rj,2
Syed Zaadi,2 days ago,"Sir ap hr video me apny dost Abdullah ka zikar zaror krty hyn 
Kisi din Apny pyary dost k sath b video banae plz",,2
