Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Danish Gondal,1 month ago,یا اللہ ہمیں غربت سے ذلت سے ظلم مظلوم ہونے سے محفوظ رکھنا آمین ثم آمین ان شاہ اللہ,https://yt3.ggpht.com/ytc/AGIKgqNbTxrusXskGTSs6_V_fcMIP-qUgo5484ehilbQ9XBGvsJmzXgUW08TjVLy4b0f=s48-c-k-c0x00ffffff-no-rj,27
Islamic Voice,1 month ago,عبد اللہ کہتا ہے: کبھی اس شخص کو تنگ نہیں کرنا چاہیے جس کا اللہ کے سوا کوئی نہ ہو۔۔۔۔۔,https://yt3.ggpht.com/QG0d2fwojtkcUgKl5v4RpVyrUuN0At7LOr6qzGeSoBSYR5-FBhAAOwWXGIc60z3m-1NULe7xbQ=s48-c-k-c0x00ffffff-no-rj,12
Xoundz MasteR,1 month ago,جوانی کی سب سے بڑی غلطی، وقت کا ضیاع ہے,https://yt3.ggpht.com/ytc/AGIKgqOMl9e275fitNn1KPWyg34Tg21FRwgI895_cA=s48-c-k-c0x00ffffff-no-rj,11
Sònya,1 month ago,Best life advices from you as always.  Jazakallah khair.  You never disappoint.,https://yt3.ggpht.com/ytc/AGIKgqOesR7g0xe8o_L2dkKPECUNvXd_J06moq5m69WdFsnw0Hmy9238U6zwKFNJLIDm=s48-c-k-c0x00ffffff-no-rj,8
nida,1 month ago,"Assalamu alaikm sir, again precious words, thanks to you and your friend Abdullah. Allah aap ko jazaikhair de luv n respect from 🇮🇳🇮🇳🇮🇳",,5
Raffat Amir,1 month ago,بھت خوب ،بہت بہترین ،،کاش کہ ھم سمجھ پائیں ان مشکل باتوں کو اور ان پر عمل کریں اور کسی کی بھی زندگی اجیرن نہ بنائیں ،بندہ تو بھول جاتا ھے پر اس کا خالق نہیں بھولتا،اور پلٹ کر واپس ضرور کرتا ھے،خواھ اس دنیا میں کرے یا آ خرت میں،پر کرتا ضرور ھے,,5
Hamid Shah,1 month ago,"Sir When you say ""may hon ap sab ka zeeshan usmani"" it gives us another kind of pleasure.",,3
Abdul Wahab Khan,1 month ago,"جزاك الله. 
Greate advice. Lesson learned: Mazloom ban jana hay, zalim nahi.",,5
Atta ur Rehman,1 month ago,You and Your friend Abdullah are great personalities doing great work,,3
Hassan Raza,1 month ago,"Asalam o Alikum Sir, I hope you are well. I have a request for you to make a video about the training of our youth. Due to the current circumstances in Pakistan, a lot of people are leaving Pakistan to study abroad. However, we have to make sure that youth must be disciplined and act accordingly. Because we all are representing Pakistan. I experienced a lack of discipline (the day they are arriving here, they are buying cigarettes, vapes, etc..). 
I believe this is the first major point of contact for Pakistani youth with the west. If we show discipline and commitment to the cause of coming abroad. These countries will start respecting Pakistani students as Professionals to rely on. Otherwise, they will continue to believe what the media tells them. Please take initiative about that.
JazakAllah",,4
Siddiqui Media,1 month ago,جزاکم اللہ تعالیٰ خیرا کثیرا,,3
Fazil Maqsood,1 month ago,Only a man who's being a good listener and a prolific reader can talk this way. And you've managed a turbulent past while accompanying yourself with the men and woman of high values.,,2
Biya Rajput,1 month ago,"sirrr mjhy apse bat krni haiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
I'm serious and want to talk to you please reply",,3
Audiobooks Platform,1 month ago,Wow good to know that you served at IBA sukkur ️,https://yt3.ggpht.com/ytc/AGIKgqOugvkdBZ5GmJydRU9qyJuQ9F1E3JZQIUj8b-Yh5g=s48-c-k-c0x00ffffff-no-rj,2
All Cars Lovers,1 month ago,"sir please make more videos on this topic how to earn money student how to earn money sitting at home thank you very much for this video we need it very much.
How to earn dollars easily from home Online.",https://yt3.ggpht.com/9TckiGHD584iyochlwJAwcA-z4SUQ6ReaiW3UtHyokZs69sC6gBW4C7cNYlW11WmBiaxbVjZiA=s48-c-k-c0x00ffffff-no-rj,3
Hassan Tech,1 month ago,aaj aapne bohot behtarin video banae phir se aik baar kehta hun best of luck  Zeeshan Usmani sahab,https://yt3.ggpht.com/ytc/AGIKgqPb7qGrvm1cuNWO9Yjr_Hn0QQ7vzPfLKcCepsUf2A=s48-c-k-c0x00ffffff-no-rj,2
sana javed,1 month ago,Thanks for such a informative session Allah Pak protect you. Ameen sumameen ,https://yt3.ggpht.com/ytc/AGIKgqOuF_YAK1_2nksxo21m8vp9qdMZP3A7AyLA-z6vUGnvPrnnLu_shpwCijTpQ9Mk=s48-c-k-c0x00ffffff-no-rj,2
Ibrahim Muhammad Naeem,1 month ago,love you abduALLAH,https://yt3.ggpht.com/ytc/AGIKgqN2HobqNdlNxAM3R-ODZU0hiMfIzVTZc6VeZdN6bA=s48-c-k-c0x00ffffff-no-rj,3
erum syed,1 month ago,MashaAllah sir  precious words Alhamdulillah...khuda ka ehtaraam kare..GOD Bless u,https://yt3.ggpht.com/Xgir5nFIY2wT5bapAD4QUpkNi8GdlCd8n3_Cp-yF3RIyBeBwA7xpkiMDKPjr0rtiZE-LFQEySU4=s48-c-k-c0x00ffffff-no-rj,2
Alif Info,1 month ago,Jazakallah Sir,https://yt3.ggpht.com/ytc/AGIKgqO0BeLDusb1207-IV9QQgZAVhSprLIcpS6kAnFfSQ=s48-c-k-c0x00ffffff-no-rj,3
Mugibullah Ansari,1 month ago,جزاک اللہ خیرا,https://yt3.ggpht.com/ytc/AGIKgqMQ6J8Tbd3QCqFbLX8R2M5iypm1OU5WGqxQYw=s48-c-k-c0x00ffffff-no-rj,2
Kitchenest,1 month ago,جزاکم اللہ خیرا کثیرا فی الدارین,https://yt3.ggpht.com/cVbt7956A5chFUfHUtYS-OtrOvReo8Ae7ulepiUtaeNEaF4bAVkL6MtiU6HUdZvE0YeLNCRy=s48-c-k-c0x00ffffff-no-rj,2
K Awan,1 month ago,True. Witnessed such incidents in front of my eyes.,https://yt3.ggpht.com/ytc/AGIKgqOwb3jIR4Os-LRmY3R0ij9XH84VERZA2M67Ny-LZA=s48-c-k-c0x00ffffff-no-rj,3
hanan noor,4 weeks ago,"Sir Allah pak apki naslaain sawaar dyy apko apki ulaad koo janaat kyy bulanad darjaat atta karyy ️
Dil syy dua nikalti hai apky lia️",https://yt3.ggpht.com/ytc/AGIKgqPY-1QMF_aDsR9D2oxM0bayvBYdjICh5tIBkMzW=s48-c-k-c0x00ffffff-no-rj,1
HASEEB ULLAH,1 month ago,"Sir G
Abdullah sy nhi milwayaa,️",https://yt3.ggpht.com/YyktB2nKjlB07I-lo2F992H-4FfBcBZcgzlpHXC_2MAILDQ8QlxKEkjRVQYuB1PP5nSzJWj-=s48-c-k-c0x00ffffff-no-rj,3
Ahmed Zohaib,1 month ago,"Zeeshan Bhai, Allah apko hamesha kush rukhey. Learned lot of things in different aspects of life through your videos.",,1
Irtaza Ali,1 month ago,"Great video ! 
Much needed",,1
ALL IN  ONE,1 month ago,Mashallah  sir,,3
Rizwan Sameer,1 month ago,Great job sir  my Allah bless you and your family ,,1
Mansoor jan,1 month ago,Assalamualaikum sir.,,3
Jaideep Shinde,1 month ago,"Great life lesson!
Thank you so much sir for this video lesson!",,0
Kalsoom Marwat786,1 month ago,Great ,,3
Laiba Abdullah,3 weeks ago,"Sir kindly make the video about halal trading coins, u have made of one website, I have watched, can you please make the video about expert option and other option? As I need to ensure Halal way of earning.",,2
Zia Khudawendi,1 month ago,جو آپ نے عبد اللہ کا قول بتایا وہ در اصل امیر المومنین حضرت عمرفاروق رضی اللہ عنہ کا  مشہورقول ہے,https://yt3.ggpht.com/ytc/AGIKgqN-9EAIuD6CqsOb3zYtxx7no7SKOKc0PjB9xqAN153Bh4B_8PI1PbbOi17yB_iD=s48-c-k-c0x00ffffff-no-rj,2
