Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Biya Rajput,1 month ago,"I have a spiritual relation with ABDULLAH 
Even when you said “Assalam O Alikum Mera name hai ZEESHA USMANI” I just thought all your senses are active and you are able to share such unique and authentic advice, 
And when you said “ Mera dost hai ABDULLAH”  I have a beautiful smile on my face automatically ",https://yt3.ggpht.com/ytc/AGIKgqO-ihpxCqvNvNjYyqRe_CyJ1_AOfHzf5CYWb5d1vQ=s48-c-k-c0x00ffffff-no-rj,30
tabish sharfuddin,1 month ago,Nothing is permanent gives me peace,https://yt3.ggpht.com/ytc/AGIKgqNITT_rzEnCQ7EnFlj9gZEA-beQZrv8qt-ceQ=s48-c-k-c0x00ffffff-no-rj,8
Umarfarooq,1 month ago,"Jis shakhs k pas jitna ILM hota h wo utni hi seedhi aur saaf baat krta h, Shukria bhot bhot Ustad e mohtaram",https://yt3.ggpht.com/2iDFYgZcCvZJz2rmU07PamzhtBkyFJkLXrxPxB_LuX10hqlsL06EqZyxdwb0ITsCqTcq1qXWn9I=s48-c-k-c0x00ffffff-no-rj,34
Zee Yi,1 month ago,"Asalamu alaikum to you and your precious friend. Truly, i love your way of explaining. Kindly remember us in your dua too",,7
MUHAMMAD BILAL,1 month ago,"Salam 

In one of your videos you told us that the shortest way to connect to ALLAH is Thankfulness and Asking for everything.

As Ramadan is approaching I would humbly request you to ask Abdullah or any Islamic scholar or anyone who you think would be suitable that, how to spend this Ramadan like will be the last, and it will change the course of life ahead. Especially about the last 10 days (i'tikaf).

The 10 key things to do in Ramada.

Thank you and Allah bless you.",,16
Hyder Ali,1 month ago,"I have read all books of Abdullah, whenever you say, ""mera aik dost hy Abdullah, smile comes on my face unintentionally. ",,7
Sami Ullah,1 month ago,‏چلو مُسکراتے ہیں اُن حادثوں پر جنہیں خود پر حاوی دیکھ کر لگا تھا کہ زندگی اب ختم ہونے والی ہے۔,,5
Islamic Voice,1 month ago,"پریشانی کے حال میں یہ تین کام کریں 
❶ رچ کے دعا مانگیں
❷ اللہ سے ڈریں
❸ صلہ رحمی کریں",,12
A fading breath,1 month ago,"May Allah bless you,what your heart desires ",,5
A fading breath,1 month ago,Allah apse raazi ho ️,,5
A 3 Minute Video,1 month ago,Please make more videos on Dua !️,,5
Muhammad Irfan,1 month ago,اللہ پاک آپ( عبداللہ ) کو خوش رکھے۔ آمین یا رب العالمین,,4
Majid Khan,1 month ago,Allah pak mujhe aur apko apni aur apne Rasool ﷺ ki sachi mohabbat ata farmay aameen,,4
Muhammad Arif,1 month ago,Allah SWT bless you and your family.,https://yt3.ggpht.com/ytc/AGIKgqPBcE_kpMF4TFUXlymneD4bc20gp_sxzvIdSg=s48-c-k-c0x00ffffff-no-rj,4
Anjna Gandotra,1 month ago,Sirf Rab hi Apna hai baki sab Sapna hai...... Aap yuhi humay yaad karate rahay.... Hum nek rasto mei chalte rahay... Thank you so much... God bless you and keep you in His care,https://yt3.ggpht.com/ytc/AGIKgqNq24JK3UlYHKwYcZdlbrY17QRsbBCLxvEjPA=s48-c-k-c0x00ffffff-no-rj,3
arshad alamgeer,1 month ago,"Amazing indeed. absolutely true we must all compliance these 3 rules, supplications- Kindness- and Taqwa ( fear of Allah). I am impatient to meet your friend Abdullah pls bring him in your video sometime,",https://yt3.ggpht.com/ytc/AGIKgqPByVZSFFXcjsY9FQLxzHe-v79wxztciY-utQ=s48-c-k-c0x00ffffff-no-rj,3
Mirza Muhammad Adeel,1 month ago,Bht informative videos ap ki hoti Zeeshan Bhai Allah Abdullah pe apni nazar e rehmat Fermay Ameen.,https://yt3.ggpht.com/0t_ZlSvaFuS6QS4sdi917dq7-TOrnaofXTA_BBawu-GPgUnFf2O0Qkz8sFyuZdhM3DoPZZTf-Hk=s48-c-k-c0x00ffffff-no-rj,3
WAQAR MUHAMMAD,1 month ago,"مسئلہ دسترس سے باہر ہے 
میں اسے بھولنے سے قاصر ہوں",https://yt3.ggpht.com/ytc/AGIKgqP8nV8c-neTmZ1gE1BuAtmybpJJmhemO1hhSrLqj5lNVTqXef4o5rUkBk8rUbd6=s48-c-k-c0x00ffffff-no-rj,3
Islamic Speeches,1 month ago,Manjan waly ki khani bhot umdah thi.... Or uski dua bhi... Ma sha Allah..,https://yt3.ggpht.com/b6cl8oRr18NNOmtty6iSIFwJPZXGepitslxQCufqoUTSstjscq6bSVSRBWBfHUlsKbosPNHwsmg=s48-c-k-c0x00ffffff-no-rj,3
