Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Abdullah Alvi,4 days ago,"Zeeshan Bhai, May Allah bless you with the shade of his throne on the day of judgement and may Allah raise you among the Anmbiya, Siddiqoon, Shuhada & Saliheen. Aamen.",https://yt3.ggpht.com/ytc/AGIKgqPc7rDsHJ7ORCE6U2tpdo33AGPMQUN_SGKhnpBGEzsw54z4gBhgDaOzIx1WJ-zs=s48-c-k-c0x00ffffff-no-rj,8
Ayeshy Tariq,4 days ago,sir you are the precious asset of our nation............  may you have many more.......   may allah shower his greatest blessing on you........may all of your pious wishes come true which are actually finest for you  .........ameen,https://yt3.ggpht.com/-4A6EhPcvbQF-K2AbEoc8IAp3ayphoewUp7rDhO4a-zMiTc4MSZRRFQ2rf9nwiWgMw3Q9C29wTw=s48-c-k-c0x00ffffff-no-rj,3
Bint e Hawwa !!,5 days ago,ذیشان بھائی آپ کے دوست عبداللہ صاحب درد معلوم ہوتے ہیں آپ ان سے میرے لیےمیری بیٹیوں کے لیے  دعا کا کہہ دئیے گا,https://yt3.ggpht.com/uj2Lr8kNGVSOAfNSs5lfmrYbmGXM9S8S-2nwoO-bCbuEtHcBt1kW_DSkt0iEzZWIT1miK59B4_s=s48-c-k-c0x00ffffff-no-rj,24
Xoundz MasteR,2 weeks ago,"صاحبِ درد کے دل سے نکلی دعا قدرت کے ٹریگر کو فوراً حرکت میں لا سکتی ہے۔
کئی بار گمان ہوا کہ ""یہ صاحبِ درد"" ہو سکتے ہیں، فوراً کوشش کی کہ کسی بہانے انکی دعا لے لی جائے۔
آگے کچھ کہہ نہیں سکتا ۔۔۔۔۔۔۔۔۔۔۔۔",https://yt3.ggpht.com/ytc/AGIKgqOMl9e275fitNn1KPWyg34Tg21FRwgI895_cA=s48-c-k-c0x00ffffff-no-rj,6
Sami Ullah,4 days ago,آج کیا خوبصورت دعائیں سکھائی ہیں سیدی۔ اب تو دل ایک ہی رٹ لگائے جارہا اللّہ میاں ہمیں بکھرنے نہ دیجیے ہمیں سمیٹے رکھیے۔ ,https://yt3.ggpht.com/D_wo9onginhJVF0rGUoGdNdS-LfotcOQsFqYpYaCLCJJj-kRvddrJ2yptNGBzTgG5ditzhFrEA=s48-c-k-c0x00ffffff-no-rj,6
Saadullah Madni,3 days ago,اللّه اکبر کیا ہی خوب بات کہی ہے ۔۔,https://yt3.ggpht.com/EOvPKPs34c-BWDoY1c9UoaQ7xiVDb5ZTJdjOY47dBezm8WbUIFWZfMO9qlmN8FzEliqIg_Sd3Rg=s48-c-k-c0x00ffffff-no-rj,1
ayesha nawaz,4 days ago,A.o.a sir u are great sir apny dost sir abdula sy humari molakat karwady dakany ka bought shoka hai ,https://yt3.ggpht.com/ytc/AGIKgqMbhBCploONAZw1JB4nQPVIFNbmQR3GsQBPjDCFbFKeKVcyBld_zSXsTiF_BGpN=s48-c-k-c0x00ffffff-no-rj,1
Islamic Voice,5 days ago,جب تک آپ درد کا مزہ نہیں چکھیں گے آپ میں سے خیر نہیں نکلے گی,https://yt3.ggpht.com/QG0d2fwojtkcUgKl5v4RpVyrUuN0At7LOr6qzGeSoBSYR5-FBhAAOwWXGIc60z3m-1NULe7xbQ=s48-c-k-c0x00ffffff-no-rj,5
Info Live,4 days ago,"بے شک رب کریم کا اعلان ہے "" انتم الفقراء الی اللہ"" یا اللہ ہمیں مانگنے کی توفیق عطا فرما",https://yt3.ggpht.com/ytc/AGIKgqOm1fNTu-vBITsZoKWVy77ddebCPSX93R1CmrLo=s48-c-k-c0x00ffffff-no-rj,1
Hyder Ali,4 days ago,"""Jab tak aap dard ka maza nhe chakhenge aap mai se kher nhe niklegi""",https://yt3.ggpht.com/630tanfBosIp8cedPHFlhGA7kmykAKgsC7cNsQ5SsXFV2fgLgspXMrQaiWktUld8NbfS1D2e=s48-c-k-c0x00ffffff-no-rj,3
erum syed,4 days ago,MashaAllah sir  excellent Alhamdulillah . Allah ka  ehtaram karne wale insan  hi dusro ka dard aur taqleef mahsos kar late hai..GOD Bless both of u,https://yt3.ggpht.com/Xgir5nFIY2wT5bapAD4QUpkNi8GdlCd8n3_Cp-yF3RIyBeBwA7xpkiMDKPjr0rtiZE-LFQEySU4=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Ali Studio,4 days ago,درد دل کے واسطے پیدا کیا انسان کو ,,1
Faisvisual Faisal,5 days ago,سبحان الله کیا بات ہے حضرت بہت درد بھری باتیں کی ﷲ تعاليٰ مجھے عمل کرنے کی توفیق عطا فرمائے اور آپکے واسطے دعائیں کرنے کی توفیق عطا فرمائے,https://yt3.ggpht.com/HBiStQke9rZPbEnnFHYGCAANG3MXdHJd383zTGtrlzMi9fYgWqEP4-GbpP5FdiDZeWrb33_xOA=s48-c-k-c0x00ffffff-no-rj,5
Xoundz MasteR,5 days ago,اللہ کریم اپنے در کا منگتا بنا دے۔ آمین,https://yt3.ggpht.com/ytc/AGIKgqOMl9e275fitNn1KPWyg34Tg21FRwgI895_cA=s48-c-k-c0x00ffffff-no-rj,1
Business Cltuch,9 hours ago,Allah is dunia ke sary musalmano per reham farmaye Ameen,https://yt3.ggpht.com/ytc/AGIKgqNb56FjHVMWNJkoCl5UW2PEYYsE2ydxgFTsFTg483Uh8TBqSA9VXmv8gGQJF-2M=s48-c-k-c0x00ffffff-no-rj,2
samreen anjum baig,5 days ago,Jazakallah u khair u r healing me lots of duas for u sir blessed to listen u.. Alhamdulillah ur indian sis,https://yt3.ggpht.com/ytc/AGIKgqNDoQHIMWsJMD4443JYP_LyjpVFudLmxpFeQLegQaxlSovfeVgarX4wPj26M1AK=s48-c-k-c0x00ffffff-no-rj,1
shariq abbas,3 days ago,So relatable..jazakaAllah ...we need more motivational or demotivational speakers like u,https://yt3.ggpht.com/ytc/AGIKgqO1aktz25IixwVAaxwPn4AyyTs1RQdiN-umLVW1xV8nM9rG1GVSlXhLV1QORUtj=s48-c-k-c0x00ffffff-no-rj,0
noor B,4 days ago,"ap ney jo ghamdi sahab key sath session kiya tha na vo bohat zabardast tha, bohat learn kiya tha mene plz our bi karey un key sath,",https://yt3.ggpht.com/ytc/AGIKgqPWk_V_sHXgNUIEnvN6zCCVvVrlCuVzMgGulDc4=s48-c-k-c0x00ffffff-no-rj,2
