Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Zeeshan Usmani,4 weeks ago,"Pay Zakat | زکواۃ نکالیں | जकात अदा करें

Zakat Calculator : https://www.tcf.org.pk/zakat/zakat-calculator/",https://yt3.ggpht.com/ytc/AGIKgqPPqDllHSsEBpKpgbnTtKP2JR8fOTRcjD7YcGqv=s48-c-k-c0x00ffffff-no-rj,12
Learn With Asim,4 weeks ago,Who is proud to be a part of ummat e Muhammad P.B.U.H ,https://yt3.ggpht.com/RYqKk5wFDRGSP9-NnP4mf05urwiiFbXJZjo1VBBjk6FfJNoN6dLRYKGb7WoH_L1uIJhRDL-lwQ=s48-c-k-c0x00ffffff-no-rj,7
Islamic Voice,4 weeks ago,"عبد اللہ کہتا ہے: میں دشمنی بھی محبت سے کرتا ہوں 
نیز کہتا ہے: جب سے زکوة دینا شروع کیا ہے اگلے سال زیادہ ہی نکالی ہے ",https://yt3.ggpht.com/QG0d2fwojtkcUgKl5v4RpVyrUuN0At7LOr6qzGeSoBSYR5-FBhAAOwWXGIc60z3m-1NULe7xbQ=s48-c-k-c0x00ffffff-no-rj,5
Hafiz Sibghatullah,4 weeks ago,جزاک اللہ خیرا کثیرا واحسن الجزاء فی الدنيا والآخرة,,5
K.H.Y Quran Recitations,4 weeks ago,اور جو لوگ جمع کرتے ہیں سونا وچاندی اور خرچ نہیں کرتے اللہ کی راہ میں تو ان کو دردناک عزاب کی وعید سنادو، جس دن کہ وہ سونا چاندی گرم کیا جاے گا دوزخ کی اگ میں، پس اس سے داغی جائیں گی ان کی پیشانیاں اور پہلو اور پیٹھ، اور کہدیا جاے گا یہ ہے وہ مال جو تم نے جمع کیا اپنے واسطے سو چکھ لو وہ مال جوتم جمع کرتے تھے القرآن سورہ توبہ ایت 34,,11
Xoundz MasteR,4 weeks ago,"جزاک اللّہ واحسن الجزاء فی الدارین ️
اللہ کریم آپ سے راضی ہو ️",,4
Ahsan Aslam,4 weeks ago,"Masha Allah, your smile is a pleasure to me, you are my beloved mentor ever,  Allah sain will you give your life full of Barakah. We all thank to Allah for everything that he gives us.",,3
Umar Zubair,4 weeks ago,Mera Dost ha ChatGBT because he calculated my zukat ,,4
Ali's official,4 weeks ago,Beautiful reminders,,3
HeyHassan,4 weeks ago,Dushmano se muhabbet kaise karein?,,4
kashif ullah peshawari,4 weeks ago,ماشاءاللہ بہت بہترین سمجایا ہیں آپ کا شکریہ استاد محترم,,3
Sharing Is Caring.,4 weeks ago,SubhanAllah ,,3
Babar Malik,4 weeks ago,"الحمداللہ میں پچھلے چار سال سے زکات دے رہا ہو قسم سے ہر سال زیادہ ہوتی ہے 
اور ماں کی دعا الگ ہوتی ہے",https://yt3.ggpht.com/ytc/AGIKgqOPJQXNx9EabKFY6TCUA185Y0k-W-a6UhwABQ=s48-c-k-c0x00ffffff-no-rj,3
amoodi,3 weeks ago,"Thank you. Tonight Ramzan will start and for some reason i was little casual / reluctant to calculate Zakaat and was thinking to defer it for a while, but after listing this, i will discharge this it promptly.",https://yt3.ggpht.com/ytc/AGIKgqMlvvHRNSpJhQiVutNqDbTbCtY4cJ7bWrq6Lg=s48-c-k-c0x00ffffff-no-rj,2
Sumera Feroz,4 weeks ago,Mje b aisa koi intellactual Person Abdullah chahiye bsss ,https://yt3.ggpht.com/ytc/AGIKgqNFQ4A7HsjBnZFWbis2_zyHkpMR6BY9FbkiNQ=s48-c-k-c0x00ffffff-no-rj,3
Mad Ali,4 weeks ago,Allah Bless you . What a great lecture,https://yt3.ggpht.com/ytc/AGIKgqNbv4IzIR5vop4DwE-hnLQJbDUK85gDbK5I4l7eI0RHLeqh6DdXku5wJJ4OSyaH=s48-c-k-c0x00ffffff-no-rj,2
Muhammad Muzammil Khan,3 weeks ago,A generous person. Is near to god,https://yt3.ggpht.com/ytc/AGIKgqPbXRaFQfB4bhQWMgVL5bhxFQnrUMNLxPivqLpXIQ=s48-c-k-c0x00ffffff-no-rj,1
Xoundz MasteR,4 weeks ago,پان کے اشعار پہ الگ سے ویڈیو بنائیے گا,https://yt3.ggpht.com/ytc/AGIKgqOMl9e275fitNn1KPWyg34Tg21FRwgI895_cA=s48-c-k-c0x00ffffff-no-rj,3
Dr Abu-al-Hassan,3 weeks ago,دنیا کی محبت تمام گناھوں کی جڑ ہے,https://yt3.ggpht.com/KUXqdSXR-LBHX6Zgk1cc5PzrvyEcGdrEz8wCKgb6_kDWIZIatz1bfPGQoGzijQAlTAVqxkVXglc=s48-c-k-c0x00ffffff-no-rj,1
Rohail Khan,3 weeks ago,Please books per bhi video bana den,https://yt3.ggpht.com/ytc/AGIKgqOiXfG-R0I-em_7-rXz017RK-ayfHx5ErXRlY4TiFcaYpBLnGhNN9gh_EZo11Wc=s48-c-k-c0x00ffffff-no-rj,2
Nasreen Khan,4 weeks ago,Masha Allah  Jazakallah for reminding zakat,https://yt3.ggpht.com/ytc/AGIKgqP79_NugLPIDOBv6dmUG5Y3exyt5yLZvFUwr_2F7mqgqL6hOsguKfuWpbe9LFgJ=s48-c-k-c0x00ffffff-no-rj,1
Fatima Saqib,4 weeks ago,Much needed topic,https://yt3.ggpht.com/ytc/AGIKgqNZ_7sI8B-UrS0La2J6ayMdhXxPxJGpt1moJw=s48-c-k-c0x00ffffff-no-rj,1
Nazish Bilal,4 weeks ago,"Very well said, good advices are given.... Excellent video",https://yt3.ggpht.com/ytc/AGIKgqO6GX34SvkGUjXezAdbZmVfrE14ONiXJlUVNA=s48-c-k-c0x00ffffff-no-rj,0
Bilal Omer,4 weeks ago,Abdullah app khud he hein ,https://yt3.ggpht.com/tlYsumgyh5YcBJEVaiQn4MINOk9FHrtD-5whmHuBpaXE44EpEQNUWLyhybc57ud_YUn7PuwX4YE=s48-c-k-c0x00ffffff-no-rj,2
