Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Zeeshan Usmani,3 days ago,Facebook Ads Course: https://www.youtube.com/watch?v=KQ0vAnYqqOw&list=PL1Xmyl4aKTRgo9zzSRHJL6523C1WmeTtD,https://yt3.ggpht.com/ytc/AGIKgqPPqDllHSsEBpKpgbnTtKP2JR8fOTRcjD7YcGqv=s48-c-k-c0x00ffffff-no-rj,3
Mohammad Irfan Khan (Professional),4 days ago (edited),"Thank you very much Zeeshan Usmani sir for sharing your practical knowledge and experience with us.

Keep continue sharing your valuable experience for growing others and you also.

May Allah give you and who are contacted with you health Wealth and happiness.",https://yt3.ggpht.com/IA4qDVO3IFJTHhxxSxHatVCR4g_VXJJ2hV4_NFZxPIxszHuvcrE6pFkVG9PhHGWl4O0AXv5Bcg=s48-c-k-c0x00ffffff-no-rj,3
Savage potatoe Boss,3 days ago,"Jazzakullah khair, we need similar videos, thanks for sharing your knowledge",https://yt3.ggpht.com/ytc/AGIKgqM7VEKmCsgtm8zefnf3dzFXoNmFKZNPGtToP0fr=s48-c-k-c0x00ffffff-no-rj,2
Asad Khan,4 days ago,کوئی پی ڈی ایم اور اسٹیبلشمنٹ کو بیچ دے تو بہت اچھا ہوجاۓ گا,https://yt3.ggpht.com/ytc/AGIKgqNs65LC1c88z_LXWl-fsMXlKLcvAoy9QBBPY2iL=s48-c-k-c0x00ffffff-no-rj,5
Comedy Cookie,3 days ago,"Mahsa Allah....Great video! I found the information you presented to be extremely helpful and informative. Please keep making more videos like this, as they are incredibly valuable resources for those looking to learn more. Thank you for your hard work and dedication!",https://yt3.ggpht.com/x6mZV-gz-04rsgAjadpGiO9GKL93W4pgZtgp85rQb0KNZt6PmYnb05mngro9B21sTHaYTPTSPQ=s48-c-k-c0x00ffffff-no-rj,2
Wajahat Ali,3 days ago, great respect for you sir,https://yt3.ggpht.com/ytc/AGIKgqO5i5VEFPsT-Y5akYUgIzzvkjlWO0sPengGezbo=s48-c-k-c0x00ffffff-no-rj,2
Abdul Raheem Qureshi,3 days ago,اللہ آپ کو دنیا و آخرت کی بھلائیاں عطا فرمائے,https://yt3.ggpht.com/ozXWY71-6d2XpUKbtX_6xP0tqeF1aSDUhr4Y47Ee01qFDtQ_unsNtal8UkYoNA7DJQ5Ps6HLmA=s48-c-k-c0x00ffffff-no-rj,1
Learn 2 Earn,3 days ago (edited),00:45  Ahmad Bhai ke course ka link description main nahi hai,https://yt3.ggpht.com/ytc/AGIKgqNmslKgjY1uV2YwyF5cdR6oNZW1qRWxpLdy8QDSWw=s48-c-k-c0x00ffffff-no-rj,2
modassar jillani2020,3 days ago,Valuable knowledge. Thanks you sir,https://yt3.ggpht.com/ytc/AGIKgqPSYf715UrLpnZzFrxkr6wZxNO67pe341T6mXE0Yy-mrNSphrW6z5qin_lx2vk7=s48-c-k-c0x00ffffff-no-rj,1
mj,3 days ago,وعلیکم السلام ورحمۃ اللہ۔سر ذیشان الحسن  عثمانی صاحب,https://yt3.ggpht.com/sxDYeLFu5i06aCE6iiOnV38v2UfqduSvod2FvG4JH15Q-eqADzdNIUqCo95BKAWHClvIQ7yGRyA=s48-c-k-c0x00ffffff-no-rj,2
Tahfeez Al Quran,3 days ago,السلام علیکم سر کیا آپ ڈیجیٹل مارکیٹنگ کا کام جانتے ہیں میں بڑے پیمانے پر کروانا چاہتا ہوں پلیز رہنمائی فرمائیے,https://yt3.ggpht.com/ytc/AGIKgqPGW9ICSbCMYgSuzhx6oTNwdMIgNiSWMUBvs1_FhuPm7WGKY3nba3FxsWbolb6N=s48-c-k-c0x00ffffff-no-rj,2
AbdulMoiz asif,3 days ago,Assalamualikum.sir ahmed bhai k course boht zaberdast ha. Mene course se Apne ads chalain and it gives me very benefits. Thanks sir.,https://yt3.ggpht.com/ytc/AGIKgqOL4ADoQoq6eCMC25l3aJtg1ZwImx4B04xhJa-_xqiE2xNrPoK-AFFMK6h8SsBH=s48-c-k-c0x00ffffff-no-rj,2
A 3 Minute Video,4 days ago,Thank you ️,https://yt3.ggpht.com/n4o9ieCmZv6fZXcEZ9SrgufJHS-PmFG-5EJOdcR-UoSsJO6TfmiPYGEDcf7zWUGBAOPT2qWvFhI=s48-c-k-c0x00ffffff-no-rj,2
Lyallpur Cooker,4 days ago,Aslamoalikum,https://yt3.ggpht.com/Y6cAD32EW2cZHgW1_HZ2z2QhYiWn3-P7W35UKN1ytWRT3U5n3rnIVl_Uoa4fut3j2MWY_yMp9A=s48-c-k-c0x00ffffff-no-rj,2
Lyallpur Cooker,4 days ago,Nice,https://yt3.ggpht.com/Y6cAD32EW2cZHgW1_HZ2z2QhYiWn3-P7W35UKN1ytWRT3U5n3rnIVl_Uoa4fut3j2MWY_yMp9A=s48-c-k-c0x00ffffff-no-rj,2
Mudassir Nawaz Dawoodi,8 days ago,Waiting,https://yt3.ggpht.com/iRTXtwlzxsenr8hkDCYgnPWrMCxkf9XVSBiwAhSOd9x7PVApkU-XtLTuzOYVyDFmkVsEENg0kg=s48-c-k-c0x00ffffff-no-rj,2
Political Clicks,19 hours ago,Good video sir,https://yt3.ggpht.com/ytc/AGIKgqPnstohAqSTnO_lZl3fhBxnNv5eGZDiJ7IG_tAvhSp1w0Ifn6-aa7Py2xhrslms=s48-c-k-c0x00ffffff-no-rj,1
Darshan Shar,1 day ago,Sir ! Qsam se zbrdasit !,https://yt3.ggpht.com/ytc/AGIKgqMQObhVjlNe1nVbzb-4jQknzxrMp1HK8u6pSOj58_tuqXQ5VOCCfkvS72BTbjix=s48-c-k-c0x00ffffff-no-rj,1
Shaikh Waqar,2 days ago,"Asalam o Alaikum 
Masha Allah sir ap ki her video me kush khas lesson hota he. Ajkal videos me sound buhat kum he is pe thori si nazar saani karen",https://yt3.ggpht.com/ytc/AGIKgqNQhaLq7wJSBS8vveVWN5CD_Kb3cqxzhZ4Nmw=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Bux Kazi,3 days ago,,https://yt3.ggpht.com/ytc/AGIKgqMVcl8Ahmsa25aQWpjsln5GmtiM3dCciDMXEhmA=s48-c-k-c0x00ffffff-no-rj,1
Nadeem Insari,3 days ago,سر ایڈ گندے کیوں چل رھے ھیں ؟؟؟ اس وی لاگ میں,https://yt3.ggpht.com/ytc/AGIKgqNmcQ6Wz_YilD-z2Sy1zDsd6CekP20x6GnLaNNssQ=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Sheeraz Haider,3 days ago (edited),"Assalam o Alaikum
Apne ye to btaya nahi k ad jo apne run kia hai usme paise kaha se se deduction honge qk na apne koi card add kia usme na koi source of fees for ad enter ki??",https://yt3.ggpht.com/ytc/AGIKgqOV9-hKruT68iVpSoTNohpmQXk0r5rDF944tk2AdQ=s48-c-k-c0x00ffffff-no-rj,1
MZS Channel for Relaxing Music,3 days ago,"GREAT JOB, MASHALLAH",https://yt3.ggpht.com/ffBrZxdtE_dto9anlDek2WmN054EP8ZMciOVvtAs9V5Nm8At4K8HzZyixYJG8czNBPseWGCTao4=s48-c-k-c0x00ffffff-no-rj,1
Tariq Abbas,3 days ago,Tussi great O Usmani sab,https://yt3.ggpht.com/ytc/AGIKgqP4yAe0tKmcPpRzK1TGR5o-o2YCb75zkLlTfEz9zsdu03CGrOGfJuC01jZwFVNT=s48-c-k-c0x00ffffff-no-rj,1
Awazeurdu by Ahmed Chawla,3 days ago,سر اس ویڈیومیں آپ کی آوازبہت ہی کم ہے,https://yt3.ggpht.com/PyXAcOPel3ocxzjXUqQN21m7-WL1z9DfzJU1x54FkKOk2SgKQn4UOH3zns95MX06T9Lq-RE9aw=s48-c-k-c0x00ffffff-no-rj,1
Huzaifa,3 days ago,Voice slow h,,1
Shahbaz Qaiser,3 days ago,Sir voice low,,1
IBN E AHMAD,3 days ago,Sir g Maine guftgu ki website sy 5 sy 6 books order ke hain lekin taqreeban 10 Din hone wale hain order receive nahi hoa abhi tak....?,,1
Usama Alvi,3 days ago,Sir please also make a video for LinkedIn,,1
lazzi,3 days ago,️️️,,1
Syed Sabahat Ali Zaidi,3 days ago,Bhtreen hy,,1
day by day health,3 days ago,"السلام علیکم
عثمانی صاحب!
اس طرح کی ویڈیوز آپ خوب زیادہ بنائیں۔
بڑافائدہ محسوس ہورہاہے۔",,1
Mudassir Nawaz Dawoodi,3 days ago,جزاک اللہ,https://yt3.ggpht.com/iRTXtwlzxsenr8hkDCYgnPWrMCxkf9XVSBiwAhSOd9x7PVApkU-XtLTuzOYVyDFmkVsEENg0kg=s48-c-k-c0x00ffffff-no-rj,1
Mudassir Nawaz Dawoodi,3 days ago,وعلیکم السلام,https://yt3.ggpht.com/iRTXtwlzxsenr8hkDCYgnPWrMCxkf9XVSBiwAhSOd9x7PVApkU-XtLTuzOYVyDFmkVsEENg0kg=s48-c-k-c0x00ffffff-no-rj,1
