Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Islamic Voice,1 month ago,عبد اللہ کہتا ہے: جس کو اللہ مل جاتا ہے وہ کہیں کا نہیں رہتا۔۔۔۔,https://yt3.ggpht.com/QG0d2fwojtkcUgKl5v4RpVyrUuN0At7LOr6qzGeSoBSYR5-FBhAAOwWXGIc60z3m-1NULe7xbQ=s48-c-k-c0x00ffffff-no-rj,44
Nighat Seema,1 month ago,عبدالله  کہتا ہے کے جس کو الله  مل جاتا ہے وہ کسی کا نہین رہتا صرف الله  کا ہوجاتا ہے ,https://yt3.ggpht.com/ytc/AGIKgqMj3hVP8DTMyi_zIl4x9oqXIpezF9QfyK9-MZCp=s48-c-k-c0x00ffffff-no-rj,15
Huma Khan,1 month ago,Agree. A good friend or mentor is a blessing but some times you cannot share noncoherent but hurtful or embarrassing thoughts and experiences to even your mentor. But you can always talk to Allah  no matter how stupid the things you are saying. Easiest way to get clarity and repel depression is to write down whatever is coming in your mind preferably hand writen but typing is fine too. After worrisom thoughts you start getting guiding thoughts and it makes all that fog of worries/ confusion disappear or manageable.,https://yt3.ggpht.com/ytc/AGIKgqP6OxaN8834dHyX6dRY3r7_dQdW7dtTs_R37A=s48-c-k-c0x00ffffff-no-rj,13
Abdul Raheem Qureshi,1 month ago,ماشاءاللہ اللہ آپ کی حفاظت فرمائے اور دنیا و آخرت میں کامیابیاں عطا فرمائے,https://yt3.ggpht.com/ozXWY71-6d2XpUKbtX_6xP0tqeF1aSDUhr4Y47Ee01qFDtQ_unsNtal8UkYoNA7DJQ5Ps6HLmA=s48-c-k-c0x00ffffff-no-rj,7
Mohammad Irfan (Personal),1 month ago,"Summary
Today topic is someone special 
Date: 15/03/23

A. Learning outcome...
1. Where to empty your emotion?

B. Chapter overview...
1. Finding someone special
2. Make friend out of your fields

1. Find someone special.
Aapki life mein jo kuchh bhi Ho Raha hai aap aise Insan ki talash Karen ki usse Apne Dil ka hal Bata sake, vah Insan aapka dost, teacher, biwi, bacche or Allah ho sakte hain.

Tip
Apne din bhar ke problem Apne Allah se bayan kar de, aapki sari tension anxiety depression khatam ho jayega,. Aur aapko Ek acchi nind aaegi.

2. Make friend outs outside of your network.
Kuchh dost apni jindagi mein aise bhi banae jo aapki field ke Na Ho,

Jaise dukandar sabji wale, Maulana, bacche, aapke padosi, inse aap bahut kuchh sikhenge.


Thank you very much Zeeshan Usmani sir for sharing your knowledge and experience with us.

Thanks once again for your beautiful poetry.

May Allah give you and who are connected with you health wealth and happiness.",https://yt3.ggpht.com/aM0jgHBeIwiUsQXWxPQjkaNe7QL26ITDQrGrp5w8bEoIhjWc39Z4pGnm6H3Oo6fw-P-BzZqL=s48-c-k-c0x00ffffff-no-rj,15
Abu Aayeshah Shuayb Vlogs,1 month ago,"Beautiful! 
You sure know how to make people fall in love with you!!!",https://yt3.ggpht.com/5QR1lQ3reJOvXgh3IlqeuEn4AiCu6Qvc8lE9FtQcFNFWgssMlJczPsAYNY7lV4Id5zgGcsLwtVU=s48-c-k-c0x00ffffff-no-rj,6
Xoundz MasteR,1 month ago,جزاک اللّہ واحسن الجزاء فی الدارین ️,https://yt3.ggpht.com/ytc/AGIKgqOMl9e275fitNn1KPWyg34Tg21FRwgI895_cA=s48-c-k-c0x00ffffff-no-rj,6
ARSLAN HAIDER,1 month ago,"""JIS KO ALLAH NAHI MILTA WO KAHIN KA NAHI REHTA  , JIS KO ALLAH MIL JAYE WO BHI KAHI KA NAHI REHTA""                          ",https://yt3.ggpht.com/ytc/AGIKgqO-P3w9WwrFCjxHWYvY0KG5JS_V5cla0LUlQ-Bu6YCEHgx0iyHHsz9FIFqOUzBv=s48-c-k-c0x00ffffff-no-rj,7
Nazish Bilal,1 month ago,"Very well said totally agree with you ....believe me I have no sincere friend in my life to whom I discuss and share my problems , my inner thoughts that's why am feeling n loneliness in my life  many times life becomes stressful.... Excellent video",https://yt3.ggpht.com/ytc/AGIKgqO6GX34SvkGUjXezAdbZmVfrE14ONiXJlUVNA=s48-c-k-c0x00ffffff-no-rj,5
s f,4 weeks ago (edited),when u said people who are close to allah can go into depression. i was in tears. i am a revert muslim. second wife . my husband always left me alone. went thru lonliness for long 8 years. when i started gettin depressed he told me m not close to deen. it was a religious blackmail to me. nothing has changed. may allah give me the knowledge of this deen. i found your Channel. i got few answers from you. jzk... Sarah,https://yt3.ggpht.com/ytc/AGIKgqNWdsp6j0topxHAhuqRAwskTCAwIynGBXNg4g=s48-c-k-c0x00ffffff-no-rj,6
Muhammad Ali Bhatti,1 month ago,"Dear Mr. Zeeshan,

I think you should bring Dr. Hamza Yusuf Hanson from Zaytuna College, also Dr. Abdal Hakim Murad from Cambridge Muslim College on your channel and do a 15-30 minute interview/podcast for us with each of the  Shaykhs.

It will be fruitful, interesting and beneficial for your audience.

Best wishes,
M. Ali B.",,5
Aman Khan,1 month ago,"ماشاءاللہ

اللہ آپ کو ہمیشہ خوش و خرم رکھے

میرے استاد ہیں آپ عثمانی صاحب 

لو یو",,5
Code Snips,1 month ago (edited),"اپنے سائے سے چونک جاتے ہیں
عمر  گزری  ہے  اس  قدر  تنہا

اک رات ہمیں چاہیے نہ پوچھو کیوں
یہ بات  کسی اور  شام پہ اٹھا رکھو

تنہائی اس قدر ہے کہ عادت سی ہوگئی 
ہر  وقت  کہتے  رہنا  ہمارا کوئی  تو ہو
کچھ اس لیے بھی مجھ کو, محبت ہے تم سے دوست
میرا کوئی نہیں ہے, تمارا کوئی تو ہو",,6
kashif ullah peshawari,1 month ago,انسان کو مایوس ہونا چاہیے تاکہ وہ اپنے حقیقی  رب العالمین  کو پہچان سکے جب تک اس دنیا میں انسان کو دکھ درد  زخم تکلیف نہیں لگتی وہ حقیقت تک نہیں پہنچتا احساس بہت بڑی نعمت ہے لیکن کبھی کبھار ڈپریشن کا سبب بنتا ہے اور انسان اللہ تعالی کے اور قریب ہو جاتا ہے,https://yt3.ggpht.com/3ZnapJr5Q1rHDJpY2mnRL4RVGDqygSBWeqj6mxuTrm9JWMYbwi8-j1HUhOFGWzA5c-VCSoln=s48-c-k-c0x00ffffff-no-rj,4
Sumera Feroz,1 month ago,Last words tmhara koi to ho ,https://yt3.ggpht.com/ytc/AGIKgqNFQ4A7HsjBnZFWbis2_zyHkpMR6BY9FbkiNQ=s48-c-k-c0x00ffffff-no-rj,6
