Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Dental Sciences and Research,2 weeks ago,"Alhumdullilah, I have been waived off interview for B1/B2 visa. This is the second time I applied. I hope I get another 5 year Mult-entry visa. My last visit was Texas and Florida. Both were really amazing places especially Miami. 
Dear Usmani Sir, Can you please alight us with what can we do with a B1/B2 aside from just tourism? Can we do something for humanity or concerns like environment in the U.S.?",https://yt3.ggpht.com/-PBpjdTcVfEQlCAe0w-3i2vG6m90g1YAXgBm-iNsODOJ61BF_k377DzVJob0Q7tZwMMVz1LRVw=s48-c-k-c0x00ffffff-no-rj,6
parvez official,13 days ago,Keep smiling always 🇮🇳🇮🇳,https://yt3.ggpht.com/vC7df9XDeWHQ4-PV1hQXDeke0deg0jlIxgyN3onrqE8MnENuhifXfbQ7yUK2b3aG_YrKpWv_7A=s48-c-k-c0x00ffffff-no-rj,2
R.A.Y Gamerz,2 weeks ago,Sir aap muskurate hue bohat ache lgte hain,https://yt3.ggpht.com/agVOWLB4owXa88msq8bbjPF_hokAD_eM5qL_EfvZh0mPj5jLAXg2iZ7zJqW3ArGBYbwsTPWG=s48-c-k-c0x00ffffff-no-rj,23
MsK Afridi,9 days ago,"Salam Zeeshan Bhai, Excellent content once again for the youngsters in Pakistan, Kindly make the video on the US Dollar decline as many countries are ditching US Dollar as a base currency, JazakAllah",https://yt3.ggpht.com/ytc/AGIKgqPdBb8ILDSpXV2Yxiu9i3ZVeVaGS3M1OFUnoLNQPA=s48-c-k-c0x00ffffff-no-rj,1
funTech else entrepreneurship,2 weeks ago,Sir now you're scaring us with your Data Science powers,https://yt3.ggpht.com/ytc/AGIKgqN1tGFO_7L1t-QR_odpDXZMwEL7a4U1AxUNWKNq78kdVLFilHoXbcdQdlC2Otcq=s48-c-k-c0x00ffffff-no-rj,4
Naveed khan,12 days ago,Love this line ( Ap Sabka Zeeshan Usmani) ,https://yt3.ggpht.com/ytc/AGIKgqOUXdAWfGK3QX6XE0xBp9S68-zbXpCJ68PtqMec=s48-c-k-c0x00ffffff-no-rj,1
RAJAB CONSTRUCTION CO.,13 days ago,Wa alaikum as salam wa rahmatullahi wa barkatahu masha Allah very good information helpful and great advice excellent explanation amazing knowledge motivational lessons thanks you God bless you always sir respected Mr dr zeeshan usmani shahab jazak Allah hu khair dil ️ se dua  ha brother  I am from India 🇮🇳🇮🇳,https://yt3.ggpht.com/ytc/AGIKgqN2F6dv_VQ6emSWj-y9Dw4ha_HQ7XeABmSpDQ=s48-c-k-c0x00ffffff-no-rj,1
Maqbool Hussain Food Secrets,13 days ago,Assalam o aliqum sir one is again God information Aap k dost Abdullah ko Salam ,https://yt3.ggpht.com/dGzUrbgKsadpd327rqICsKy1Vbmt7RKMUX3gFsotTlDCT06lobEnmzRnehROIkgq7gNXUZy2rA=s48-c-k-c0x00ffffff-no-rj,3
Sheikh Awais,13 days ago,Jazakallah khair  Uh are doing Excellent work Mashallah,https://yt3.ggpht.com/ytc/AGIKgqPbg7GxFjO_V4V9HKRSL_HOQaeQL93isrtIR-0wWg=s48-c-k-c0x00ffffff-no-rj,1
Shoaib ul hassan,2 weeks ago,Sir I am a big fan of you & watching vedios  every day for motivation purpose.,https://yt3.ggpht.com/Qw9eji1N470mCEZAPSYTWb9H5Scncj1dEtmCVNXuUT4qI0_0PRDXLRzhMU1ge73ZqhNtUE2G=s48-c-k-c0x00ffffff-no-rj,3
Sami Ullah,13 days ago,جزاک اللہ خیرا ️,https://yt3.ggpht.com/D_wo9onginhJVF0rGUoGdNdS-LfotcOQsFqYpYaCLCJJj-kRvddrJ2yptNGBzTgG5ditzhFrEA=s48-c-k-c0x00ffffff-no-rj,1
modassar jillani2020,2 weeks ago,Another eye opener video. Thanks sir,https://yt3.ggpht.com/ytc/AGIKgqPSYf715UrLpnZzFrxkr6wZxNO67pe341T6mXE0Yy-mrNSphrW6z5qin_lx2vk7=s48-c-k-c0x00ffffff-no-rj,1
Eng. Junaid Ahmed,13 days ago,Mashallah Sir great knowledge to give us i ama DevOps student at Alnafi,https://yt3.ggpht.com/ytc/AGIKgqPb0Dap00y5D05bVb3fy8Jy5oBChzulFBugbA=s48-c-k-c0x00ffffff-no-rj,2
Aftab Alam,2 weeks ago,Wonderful insights,https://yt3.ggpht.com/ytc/AGIKgqNAXFL9jWUBdOHa2lHzmDK0RbmYBiQOHxAAjimZ9Q=s48-c-k-c0x00ffffff-no-rj,1
A fading breath,2 weeks ago,,https://yt3.ggpht.com/2fDSt0p6W4FWQncTfrHIT4DQY1n4fGTa7jCGrcy1SbBwtA7fi1qtNBx40Fr_D-F4VSRI6gugtQ=s48-c-k-c0x00ffffff-no-rj,2
Hasnat Kashif,2 weeks ago,Best wishes for you sir,https://yt3.ggpht.com/ytc/AGIKgqMFHU5_XA_3Bm6rldUfxG8g_EDQeTXXf6rOyIao9q51e2H2r7IdWl44T1Vd2HMm=s48-c-k-c0x00ffffff-no-rj,2
CAD VISA,2 weeks ago,Assalam O Alaikum,https://yt3.ggpht.com/ytc/AGIKgqPVk24nEJK4_tzElXZBLgJyS2JnaAGG7vjO6YP7Hg=s48-c-k-c0x00ffffff-no-rj,2
Mohd vakeel Vakeel,2 weeks ago,Allah aap ki umar me barqat de aameen,https://yt3.ggpht.com/ytc/AGIKgqNDGFeP85AjAJtLn8UxjAw9keywQ9ZHWv3CuA=s48-c-k-c0x00ffffff-no-rj,2
Mubashir Afzal,2 weeks ago,"MashAllah Sir 
آپ اپنے مطلب میں کامیاب ہو گئے
بہت سارے viewers حاصل کر لی ۔",https://yt3.ggpht.com/ytc/AGIKgqNLY65YsxEm8_u6VybfukBhLL6rZO1PmVS-EHFtug=s48-c-k-c0x00ffffff-no-rj,4
Mubashir Adnan,1 day ago,سر آپ سیت پور مظفرگڑھ سے ھوں ۔,https://yt3.ggpht.com/ytc/AGIKgqPnQ5S6WKO_CGDFJjT5OSDSlXlRY5W-wpDLV0nHOA=s48-c-k-c0x00ffffff-no-rj,1
MrLalla2020,1 day ago (edited),"پاکستانی ہو اور سچ بولے ناممکن اور ویسے بھی سچ بول کر ویزا نہیں ملتا اگر رہنے کیلے جانا ہے تو۔
تسی گریٹ ہو سر ",https://yt3.ggpht.com/ytc/AGIKgqNT2CGxHX4af9uXbVrBEQI1StVSy4ntTiui7VVMYA=s48-c-k-c0x00ffffff-no-rj,1
