Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Mh khan,3 weeks ago,"Sir please continue this series further, we need more videos like these",https://yt3.ggpht.com/7bggnXZTeCDBuJTVgkhCoHauyxBKJp2_dyZnk8b2fZdpovpQ0zjtYAtxqD4PSlaseLlzRtakMA=s48-c-k-c0x00ffffff-no-rj,14
Anmrp Groups,3 weeks ago,Sir Please Make More Demo Like That Seriously Sir That Incredible ,https://yt3.ggpht.com/62ESiHDloqUPZ9GG8kNdSvw3zB8PDXvvNO5MZe8g-wJPpxBiYVlx5LOmZ5kNWO9RsqsyZiPmiw=s48-c-k-c0x00ffffff-no-rj,10
DR Faiq Tutorials,3 weeks ago,"i read justujo kA SAFAR YOUR BOOK SIR, IM AMAZED, BEST BOOK WHICH WILL EVENTUALLY GIVE YOU PURPOSE OF LIFE , LIKE THE ABDULLAH IS ALWAYS ASKING WHY LIFE GIVE US? BEST BOOK MUST RECOMENDED.",https://yt3.ggpht.com/ytc/AGIKgqO2zw4awn-ecT2X0DMIanPPt-r6RXK-RuU0wFhL_xE=s48-c-k-c0x00ffffff-no-rj,22
RIZ 98,3 weeks ago,"Please make more demos like this,its really informative and helpful.",,5
Syed Obaidullah Naqvi,3 weeks ago,sir please continue this series,,4
Sana Ullah,3 weeks ago (edited),"Great sir ...
I think your are going CEO of big company.. your experience your struggle . Allah awr taqat dai sir you are our hero...
MashAllah",,3
Shamim Khalid,3 weeks ago,Wao !!! That's incredible.... awesome data insight ,,3
Zeeshan Usmani,3 weeks ago (edited),"Walee Demo | ولی ڈیمو | वाला डेमो

Website: www.Walee.pk
Contact: Sales@walee.ae",,4
Shameer Shah,3 weeks ago,Speechless. Just amazing. Need much more of it from you.,,3
Muhammad Ammar,3 weeks ago,Sir what we have to learn to make software like walee please guide about AI carrer path,,3
Dinar Khan,3 weeks ago,Really amazing. Videos like this which contain real life applications are the need of time,,3
Wajahat Ali,3 weeks ago, great job ,,3
Faizan,3 weeks ago,Sir please continue this type of videos,https://yt3.ggpht.com/zlJMHB-W5LkKbBLmpn5KSCLLlHWxJQw-qZNQOOb3Ym87CCZVBBMcto6tG2yXfR4BECEXgpeTESM=s48-c-k-c0x00ffffff-no-rj,3
Imran Akhtar,3 weeks ago,"Plz, keep making such demo videos to enlighten us on the practical usage of AI. Thanks a lot.",https://yt3.ggpht.com/ytc/AGIKgqNst7K2KKka3aHktgsn1JZmMPBPcsZErmM7A-nL6A=s48-c-k-c0x00ffffff-no-rj,2
A fading breath,3 weeks ago,,https://yt3.ggpht.com/2fDSt0p6W4FWQncTfrHIT4DQY1n4fGTa7jCGrcy1SbBwtA7fi1qtNBx40Fr_D-F4VSRI6gugtQ=s48-c-k-c0x00ffffff-no-rj,3
Noman Razzak,3 weeks ago,Amazing another best video as per expectation.,https://yt3.ggpht.com/ytc/AGIKgqP25RXQYZYAz-IGijLKK71AZRbqHlriC3OZxH4ic3E=s48-c-k-c0x00ffffff-no-rj,2
Shahbaz Qaiser,3 weeks ago,Very informative.Pls keep making such videos,https://yt3.ggpht.com/ytc/AGIKgqMmGfO3R0AZ86Hpn9_jWegsIz-qchZ_cktqsGXvSiw=s48-c-k-c0x00ffffff-no-rj,2
Saleem Khan,3 weeks ago,Very informative and helpful,https://yt3.ggpht.com/UXlOUcU0hZjjjIL4Oee2VzL3v2_yNzbmDvXZxr7iKq_ZBwdAwnJxbK8qHXNUaC0hCW8IrPqi=s48-c-k-c0x00ffffff-no-rj,3
I am the Asset,3 weeks ago,This data is mind-blowing. I am speechless by your work,https://yt3.ggpht.com/ytc/AGIKgqPJX7wl91YI3UMI1HfkrMXV1UC9TwpCMvBLjE-z=s48-c-k-c0x00ffffff-no-rj,2
Nauman Younis Lodhi,3 weeks ago,"Z. Sahab will it be wise to promote a cloud SaaS through influencer marketing in US. Suggest US based platform, please",https://yt3.ggpht.com/ytc/AGIKgqOfWfYH0AZRIBLyE3mK8o_Tk0SkCFz-OUvVPNFrJg=s48-c-k-c0x00ffffff-no-rj,3
jawad aurangzeb,3 weeks ago,Very informative platform....amazing brother,https://yt3.ggpht.com/ytc/AGIKgqOg7HRCfoDcXInJon8mhbNnPcHkH7j66aR0d4XPvA=s48-c-k-c0x00ffffff-no-rj,2
Muhammad Ghayur Azeem Siddeeqi,2 weeks ago,"please keep making these and others videos, especially on Books please please
hath jorta hun guzarish k liye",https://yt3.ggpht.com/Jq_y7llK16Z3SKNXBuiu8ocw4Eg05fxd9HR7p8tqc95ie8IMVOoQxg8ZseB4llV5P9k842NN=s48-c-k-c0x00ffffff-no-rj,1
Amazing Facts,3 weeks ago,Women picture on this site..This is gunnah plz remove ladies pictures,https://yt3.ggpht.com/eAQuoPOgVdzWED0NfjX4dNyF68MRZkiNBayQUJEgoFMW-eXcaVgyyNJse5_h43pHt8AldlYfAg=s48-c-k-c0x00ffffff-no-rj,2
Muhammad Kareem,2 weeks ago,Unbeliveable ,https://yt3.ggpht.com/U-qhAYumirJImTCLj0_Rkk8ui4s1qhgFNF0AxeKbdGWiwPugRSg2M8za67rs8x954qi35FY8aw=s48-c-k-c0x00ffffff-no-rj,1
