Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Shumaila Hussain,2 weeks ago,Walaikumasalam sir! You have such a positive vibe that half of tension get resolved just by seeing notification for your videos.. JazakAllah khair for sharing honest and legit guidance,https://yt3.ggpht.com/ytc/AGIKgqPYdjsHEvYVhfDWAgD8iD4Vt_ZUhwiLl_jlHYoS-g=s48-c-k-c0x00ffffff-no-rj,7
STATISTICS.2nd year,2 weeks ago,God give you more courage and time to uplift a Pakistani . stay blessed ️,https://yt3.ggpht.com/ytc/AGIKgqPcmNEZqbE7cDkQ8x1G7fNoqj_8Cvgq1rGZ09dKPWoBzVfqG6Sied0A0ko7vRTr=s48-c-k-c0x00ffffff-no-rj,5
Zeeshan Haider,2 weeks ago,"Whqt freelancers should do ??
1. Follow the money 
2. Follow international Business news 
3. Maintain USP
4. Reap the benefits of Data Science 
5. Open American Company 
      Partner with American citizen
          (reduce taxes + stress free transaction)",https://yt3.ggpht.com/ytc/AGIKgqOvOI3QbpnEHX8FXqSUsQkw09eEF1hgM6F3-oqCBA=s48-c-k-c0x00ffffff-no-rj,35
Maryam Umer,2 weeks ago,"Sir, you shared million dollar information in few minutes. Your thoughts and ideas are 95% correct. I don't understand kon log ap ko galian dete hn. You are blessing for Pakistan, bht saari duaein ap k liye.",,4
Sadar Ullah 4328-FBAS/BSCS4/F20,2 weeks ago,امریکہ میں کمپنی کھولیں۔۔ پر کیسے سر ؟؟؟,,22
Hamza,2 weeks ago,More career related videos like this,,8
Amazing Reaction,2 weeks ago,"Dear Zeeshan-ul-Hassan Usmani sahab, does it necessary to learn python to become a data visualization professional? Or we can still become DV experts without learning python code?, also let me know which tool is easy power BI or Tableau please need your guidance..... Thank you so much.",,3
Bilal Khan,2 weeks ago,یہ عبداللہ آپ ہی ہے سر,,18
Muhammad Ramzan,2 weeks ago,"Dear Sir, Kindly make a video for those who are freelancing having different skill sets like WordPress, Digital Marketing, and Graphic Designing please guide us also.",,3
Islamic Interest,2 weeks ago,Thanks sir but you didn't explained how freelancers can grow their business? How they can do partnership with USA citizen ?,,7
My Blog,2 weeks ago,Beautiful.,,3
Hashim Miraj,2 weeks ago,Always great words ,,2
Maqbool Hussain Food Secrets,2 weeks ago,Assalam o aliqum sir you are the great person sir Aap ki kitabonwali malotamt to achi thin par pata nahi kon ganthy log Aap Aap izzat mab ko gali thy tay hai Allah in ko hadayt thay Aap kay dost Abdullah ko Salam ,https://yt3.ggpht.com/dGzUrbgKsadpd327rqICsKy1Vbmt7RKMUX3gFsotTlDCT06lobEnmzRnehROIkgq7gNXUZy2rA=s48-c-k-c0x00ffffff-no-rj,5
☀️ Kamran M,13 days ago,"Thank you so much Sir for sharing your thoughts. 
How we can learn Data Collection with Python, can you create a video on it?",https://yt3.ggpht.com/x74j8aa8ULKpvXMQ6Vaf4ydWlA3lOOdEzGee7fsOezWVeF2VnfKUr6X0DNUJKZ7obqOkmsTB1w=s48-c-k-c0x00ffffff-no-rj,1
Chemistry by Saad Anwar,13 days ago,سر آج آپ بہت خوش لگ رہے ہیں.. دلی مسرت ہوئی آپ کو خوش دیکھ کر,https://yt3.ggpht.com/ytc/AGIKgqOTa2fK109BLkSJmGdX-VHuHc5cLaTw_fbXDp6W=s48-c-k-c0x00ffffff-no-rj,1
Shinwaris,2 weeks ago (edited),Do you have any reference to 35% WH tax on non-residents on maintaining a bank account as US LLC?,https://yt3.ggpht.com/ytc/AGIKgqOE0EK6Rg2nCs9mx6_6t6n1v_rn1r-NvgCrgA4v=s48-c-k-c0x00ffffff-no-rj,1
