Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Haseeb Javaid,2 weeks ago,اللہ آپ کو ایک دن پاکستان کا عظیم لیڈر بناہے گا انشاء اللہ اور جو لوگ دوسروں کے لیے اپنا آج قربان کرتے ہے اللہ ان کو کبھی ضائع نہیں کرتا ایک دن آپ لوگوں کے دلوں کی آواز بن کر ابروں گے انشاءاللہ,https://yt3.ggpht.com/ytc/AGIKgqPdV00Yte1PVAZq5p9u0q6SARmboCAIsPMumA=s48-c-k-c0x00ffffff-no-rj,6
Xoundz MasteR,2 weeks ago (edited),"ہم دشت کے باسی ہیں اے شہر کے لوگو ..
یہ روح پیاسی، ہمیں ورثے میں ملی ہے ..

دکھ درد سے صدیوں کا تعلق ہے ہمارا ..
آنکھوں کی اداسی ہمیں ورثے میں ملی ہے ..

جان دینا روایت ہے قبیلے کی ہماری ..
یہ سرخ لباسی ہمیں ورثے میں ملی ہے ..

جو بات بھی کہتے ہیں، اتر جاتی ہے دل میں ..
تاثیر جدا سی ہمیں ورثے میں ملی ہے ..

جو ہاتھ بھی تھاما ہے سدا ساتھ رہا ہے ..
احباب شناسی ہمیں ورثے میں ملی ہے ..",https://yt3.ggpht.com/ytc/AGIKgqOMl9e275fitNn1KPWyg34Tg21FRwgI895_cA=s48-c-k-c0x00ffffff-no-rj,7
shumail sajid RPS.PRODUTION,2 weeks ago,Allah pak apki umar mein barkat ata farmay ameen,https://yt3.ggpht.com/ytc/AGIKgqMQPm4aLr8hVBFET5C_cfUz7iMdRK9qJmvaZxG7rR8NspLW92070xN16E17EHWu=s48-c-k-c0x00ffffff-no-rj,12
M owais,2 weeks ago,بہت کم لوگ ایسے ہوتے جو دنیاوی اعتبار سے کامیاب ہو اور دینی ذہن اور اللہ کا خوف  بھی رکھتے تو,https://yt3.ggpht.com/ytc/AGIKgqNc3qxHL9Xp_GEVAiyXHl_2cLK01kbMuXW2cV2i=s48-c-k-c0x00ffffff-no-rj,3
Muhammad Ammar,2 weeks ago,"```ALLAH TAALAH``` aap ko Kamyabi Wali, Sehat Wali, Sbr Wali, Hidayat Wali, Tuqwa Waali, Khushio Wali Lambi orr Aala zindgii aata farmay 
Ameen",https://yt3.ggpht.com/cgj4kfg6Bzg8qCQUtzOBLfw4G17-V8SgvzyZQfm64THnWitqtyvr5M-v29fYjV604R3_-2Y0DIU=s48-c-k-c0x00ffffff-no-rj,3
erum syed,2 weeks ago,MashaAllah sir  excellent. Abdullah is decent person Alhamdulillah..GOD Bless both of u,https://yt3.ggpht.com/Xgir5nFIY2wT5bapAD4QUpkNi8GdlCd8n3_Cp-yF3RIyBeBwA7xpkiMDKPjr0rtiZE-LFQEySU4=s48-c-k-c0x00ffffff-no-rj,3
Irfan Ali Shaikh,2 weeks ago,Sir your videos give inner peace.,https://yt3.ggpht.com/ytc/AGIKgqNq3O-J6bJb7lErt1VK9qlGJdfJZGPSeKqtogzY=s48-c-k-c0x00ffffff-no-rj,3
Mehboob Ali,2 weeks ago,Allah pak salamat rake apko ,https://yt3.ggpht.com/UW-Kt7ZzMVKOOc4AoWKBzqXhg5IG7NZkCguVvkdiq2L2b3Xt6VErnPk-2J1cXE86ixIyRGuk41o=s48-c-k-c0x00ffffff-no-rj,3
Muhammad Ahsan,2 weeks ago,Thoughtful as always.,https://yt3.ggpht.com/ytc/AGIKgqPDNAeEdYfUSQjxdIIsKwVn_7rkEwdbJVHvsmfI=s48-c-k-c0x00ffffff-no-rj,3
Crypto Zahid,2 weeks ago,Sir Abdullah se hamaen b kbhi milade,https://yt3.ggpht.com/_JU018Az6XFBycm8mFU7WYQJgoNWlucLZqm2aQZ-e52oKK0GhAXQ8eZs96S1UVRKSbGgY1YJ=s48-c-k-c0x00ffffff-no-rj,3
Saifullah khan,2 weeks ago,اللہ تعالیٰ آپ کو برکتوں والی لمبی زندگی عطا فرمائے اور ہمیں  آپ سے اس طرح فیض ملتا رہے,,2
Sadique Raza Misbahi,2 weeks ago,"ذیشان سر آپ کے لیے ڈھیر ساری دعائیں
جتنی بھی دعائیں کروں، کم ہیں
جزاک اللہ خیرا",,2
Uroosa Khalid,2 weeks ago,MashaAllah,,2
ZY girl,2 weeks ago,MashAllah keep it up Sir.,https://yt3.ggpht.com/ytc/AGIKgqMAQ7I79u_NcYxpXUbtYS6pcM6W_TqXlJkosziSs0YFCzQnHh7XTfmLlG4pbC6L=s48-c-k-c0x00ffffff-no-rj,2
Munwar Ahmad,2 weeks ago,اللہ تعالی آپ کو عافیت دارین نصیب فرمائے,https://yt3.ggpht.com/ytc/AGIKgqNwiF2xrTcVkx5AjBy_dPI_y67iKAfmDmAsK0JU7klPwWFiW-MLLHBcKVCcbcWg=s48-c-k-c0x00ffffff-no-rj,2
Sadaf Saeed,11 days ago,"Himmat Zeeshan Bhai, Allah is with you and so are our Duaa, surely Allah is the best Protector. We are proud to have a Pakistani like you even though pride belongs only to Allah. You are one of “us”, it’s inspiring. May Allah swt bless you and your family Aameen.",https://yt3.ggpht.com/ytc/AGIKgqMFNcZ_R4xIIJyjyzC6LEWI4J6uogWTzoK1oGim0ow8TvfK_yGYLfzdtyW7BYd6=s48-c-k-c0x00ffffff-no-rj,1
Asif Ibrahim,12 days ago,Allah Pak apki hafizat karey sir aameen ,https://yt3.ggpht.com/ytc/AGIKgqO4BQSxFpoVJVt4UQbtRzEEGdWtXtrEH1qgqw=s48-c-k-c0x00ffffff-no-rj,1
Rabia abbas,2 weeks ago,,https://yt3.ggpht.com/IwJPES1xpFCQ2q-7cObLjZusJzKdbWI4taIQHS9Pl7x9bjungsTYvu3uibcKGgkqohb708_Hyg=s48-c-k-c0x00ffffff-no-rj,2
ilma khan,2 weeks ago,"Sir aapne mujhe dua krna sikha diya 
Aapka bhut shukriya",https://yt3.ggpht.com/ytc/AGIKgqNXdH4GtYsc423M8gBItIuTo8mnTljLD4tQtkIzMlob5oyzRyGxZ-ZomRioS9Yn=s48-c-k-c0x00ffffff-no-rj,1
usman khan,2 weeks ago,Love you dear sir ,https://yt3.ggpht.com/ytc/AGIKgqMMeGPE31rQg02g74E59l7pEJHA8qxURJIjs3K6w-vCbuGpqDdMvWMaebz4uCWi=s48-c-k-c0x00ffffff-no-rj,2
Bin Yousuf,2 weeks ago,"Sir JazakAllah um Khair.

May you have the best Ramadan so far. 
Sir from where you have learnt all these?",https://yt3.ggpht.com/MPvdb_qJgWcNoITrXUEgjhP2Bz0wzRdqxfIuMZRDbTjRxBpSG8G8Fj9qyGyEW1MS8su08i6L=s48-c-k-c0x00ffffff-no-rj,1
Sheikh Awais,2 weeks ago,Jazakallah khair ️,https://yt3.ggpht.com/ytc/AGIKgqPbg7GxFjO_V4V9HKRSL_HOQaeQL93isrtIR-0wWg=s48-c-k-c0x00ffffff-no-rj,0
Taha Apna Yaar,2 weeks ago,"Allah ka jitna shukr kiya jaaye utna kam hai sir, Allah ne aapka channel suggest kiya hai mujhe yeh bhi ek nemat hai mere us rab ki...!!",https://yt3.ggpht.com/ytc/AGIKgqO5AJ6P8ztj_MxtGb2HEwsjKRl55goaiUoMag=s48-c-k-c0x00ffffff-no-rj,2
Haroon Shamsi,2 weeks ago,Ameen,https://yt3.ggpht.com/ytc/AGIKgqOSj9dMjKQBPAWn9ONNKTuIgnv1LKc2UGZ1bn1pNR9Cw1jFAznjXn936GcHAB4F=s48-c-k-c0x00ffffff-no-rj,2
Taimoor Anwar Arijo,2 weeks ago,Just like my Sala. Because of him my whole life has been destroyed. My total life is distrub due to him.,https://yt3.ggpht.com/ytc/AGIKgqMVtpDIe5DoPUlpB8KloN-Vvpxf24ry4M4Y1sD0xQ=s48-c-k-c0x00ffffff-no-rj,2
Mujtaba Hussain,2 weeks ago,Allah pak aap ka saya hamesha rakhe.aameen,,2
Nazish Bilal,2 weeks ago,Well said.... Excellent video,,2
Hyder Ali,2 weeks ago,"Abdullah kehta hy"" sulah rehmi ho na ho zindagi mai saala rehmi honi chahye"" ",,2
ZY girl,2 weeks ago,Another name of Sir Zeeshan Usmani is Abdullah.,,2
Ahmed,2 weeks ago,"Ma sha Allah  for Abdullah sb , and for you..",,2
India,2 weeks ago,lots of Dua from India,,2
WAQAR MUHAMMAD,4 days ago (edited),"محبت سے دوری ترشی کا سبب بنتی ہے
خواہ خدا سے ہو یا بندوں سے ہو

اس نے کہا کہ کون سا تحفہ ہے من پسند 
میں نے کہا وہ شام جو اب تک ادھار ہے
اس نے کہا خزاں میں ملاقات کا جواز
میں نے کہا کہ  قرب کا مطلب بہار ہے 



میری چھپ کے ہزار مطلب ہے
پہلا یہ کہ تو کلام کریں",,1
Rushad Shaikh,8 days ago,8 April 7A.M,,1
tehseen khatoon,10 days ago,MashaAllah MashaAllah very good reminder,https://yt3.ggpht.com/ytc/AGIKgqN4-cwq2cGrUcORbUSxGCrjow0P6JgKD-72QA=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Zafar Ullah Khan,10 days ago,"Jazzak Allah Sir ... this time you have given a good clue about your friend Abdullah...Now I know him, who is he... prayers for Abdullah sb!  Main be koshish kru ga ky mery pass b Abdullah ho...aap dua kr dijiay ga",https://yt3.ggpht.com/ytc/AGIKgqMaFoCWiaw1O9-EAeMs2gaFjdsRxTm3CWkVyKy4zw=s48-c-k-c0x00ffffff-no-rj,1
سیرت,11 days ago,"Asalamu alaikum 
Kisi apne aziz ko Allah ki taraf kaise lain
Jo musalman ho par Allah se dosti na ho vo dard na hon 
Mere aziz muskil mein hain pareshaniyu mein jinka hal bs Allah tala ke pas hai kaise unhe smjhain Allah se dosti krlen sb theek hojaiga kaise unhe smjhain ye farzi baaten nahi",https://yt3.ggpht.com/ytc/AGIKgqO4prufe_2wQjbf2bjylBAt6P8PXf4yDL0HieBP=s48-c-k-c0x00ffffff-no-rj,1
Noor Mohammad,2 weeks ago,جزاک اللہ خیر,https://yt3.ggpht.com/ytc/AGIKgqOQFJlzBOOxNrfKbpxy_ZnXeGTvRMNb50PRd67ADA=s48-c-k-c0x00ffffff-no-rj,1
Fatima Khan,2 weeks ago,"Allah aap ko sehat o salamati ki pursukun zindagi ata farmay,aameen",https://yt3.ggpht.com/ytc/AGIKgqP9yHvPe_Fd6bVq1Wbpt7O7SIMhQb8c1nwgfZqSspJGntcUgJh0eq7rKykWgD9z=s48-c-k-c0x00ffffff-no-rj,1
Zain Ulabideen,2 weeks ago,ALLAH PAK khush rakhy apko..,https://yt3.ggpht.com/ytc/AGIKgqPfjBHC3bg1hVcQAb08jk2e8o9xaaNSSvYwdw=s48-c-k-c0x00ffffff-no-rj,1
Shadma Khan,2 weeks ago,"""Sir"" aap dua ka kehte h ki mere vaste dua kariyega...pr darasal aap un chuninda logon me shumar h...jinke liye dil se dua nikalti h...jazakallah",https://yt3.ggpht.com/ytc/AGIKgqN1eaDGVADuiD0oSRuRRM3hk4eEVdNz_fc1cQ=s48-c-k-c0x00ffffff-no-rj,1
Eman channel ID,2 weeks ago,Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah ,https://yt3.ggpht.com/ytc/AGIKgqOMhPR_in3qcQVFncdnzWkefZlMcRXzIPpgc_5cUI1HAIooE3jhrPR5AmzfvYyI=s48-c-k-c0x00ffffff-no-rj,1
Visionaire Shorts,2 weeks ago,Sir i am doing bs statistics and i want to change to data science after graduation can i do that in Pakistan?,https://yt3.ggpht.com/DGmlGczuntdJHw-YkfM81mtVC_b9w68zCU80m02Rb-9H_AcwL6Xj8kZreGOQybNyDZ9wBDeTgw=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Azeem,2 weeks ago,"Sir, today you are looking away from camera which looks less impressive. Please look directly into camera. Thanks",https://yt3.ggpht.com/ytc/AGIKgqMZ0ro3MjpgA_HaKKvSg-UX7NzDYwx-VaTabVK4Hg=s48-c-k-c0x00ffffff-no-rj,1
magic kitchen club,2 weeks ago,jazaqallah  kher  sir,https://yt3.ggpht.com/4dpfzwIfDEpd4o1ajWFvUHZdNFalX_Rxpuhrt2MDp9OZcWHOBqw581KP6DGyX1X2ogWTDlf14EY=s48-c-k-c0x00ffffff-no-rj,1
Abid Ali,2 weeks ago,Assalammu alaikum,https://yt3.ggpht.com/ytc/AGIKgqNLuRJScPvEBY_znFpL8YpVVebsqizl77eUec7vxQ=s48-c-k-c0x00ffffff-no-rj,1
Aslam Khan chabeela,2 weeks ago,Allah apko bohat lambi umer ata fermay sirr,,1
Ahmad Ali,2 weeks ago,عمر دراز ہو آپ کا ️,,1
m afzal,2 weeks ago,Allah se har waqat darna chahea,,1
Ubaid Zamir,2 weeks ago,Allah apko jazai khair ata farmae....,,1
Zeeshan Usmani Fans,2 weeks ago,JazakAllah  g,,1
sheraaz lander,2 weeks ago,sir please kise video mein ABDULLAH ko bhi dikhao,,1
Sikandar Umar Sports,2 weeks ago,"MashaAllah sir apki ye bt har bar mujhY Pasand atti he

 (Mazloom Marna behtter he zalim Marne se )

 ALLAH hum sub ki zindagiyan asaaN kreY ameeN ",,1
Nursing Lofi,2 weeks ago,Walikum slaam ,https://yt3.ggpht.com/iWzPnOIRn9Fx0G2g_nqlFjUxmVWKB2LOX5m3L9yTuU_k0zQO1HjoznMkjmEXMMHTFlp_qKprJw=s48-c-k-c0x00ffffff-no-rj,1
Mujtaba Hussain,2 weeks ago,"Masha Allah,Talibi dua.... Mujtaba from Indian occupied Kashmir, district shopian.",https://yt3.ggpht.com/ytc/AGIKgqMOKrGM4QhibQLLo7-rbmpqSxCB84XxjovR2g=s48-c-k-c0x00ffffff-no-rj,1
Nazish Bilal,2 weeks ago,Wah bohat khoob,https://yt3.ggpht.com/ytc/AGIKgqO6GX34SvkGUjXezAdbZmVfrE14ONiXJlUVNA=s48-c-k-c0x00ffffff-no-rj,1
info entertainment,2 weeks ago,"Hamaray Waha bus allah ke azab se dara jaya jata hain. Allah Sirf kia azab deney Betha hain. Azabe qabar ,azabe maut, 

Azab barhaq hain lekin Allah kia itna khofnak hain, that's also reason ppl becoming athiest.

Jo Allah ke qareeb hotey hain woh ho zyada daratey hain aur sakht hotey hain",https://yt3.ggpht.com/ytc/AGIKgqPJ-mufSYXn8BMcCCqYeYSeFaZyI8jGEuDstA=s48-c-k-c0x00ffffff-no-rj,1
Kanwal Khan,2 weeks ago,Jazak Allah,https://yt3.ggpht.com/0akLDwyUaEgugsTDU8iPyJ_C-vSuFzpAW-tZ--EeDezqo1m65SpFM_i27IOl-LTH634q3xs0zg=s48-c-k-c0x00ffffff-no-rj,1
Mohammad Ahmed,2 weeks ago,Salam bhai.mera name usman ghani ha.aj ap mery khuab mai ae mery ley dua kr rahy thay.ap mery ley dua kardy,https://yt3.ggpht.com/ytc/AGIKgqPNRe2c6NXlRHQ3h8-Kr0muz9QA6WrFbGu-wQ=s48-c-k-c0x00ffffff-no-rj,1
Noman Ali Abbasi,2 weeks ago,"Assalamu alaikum, Jazakallah ul khaira Sir",https://yt3.ggpht.com/ytc/AGIKgqOYKBdYOn1oecq0ENWkp2YS-72KU-AH0BjUuq3khA=s48-c-k-c0x00ffffff-no-rj,1
Zain Tahir,2 weeks ago,,https://yt3.ggpht.com/Oq4gaF2lsu6ZPERo9xknYDSdmjqez8tv9Mx5EMxLyMTWiENuSHKdXVZgR3tpaKFNx_IgRJrMqJk=s48-c-k-c0x00ffffff-no-rj,1
M.HAIDER KHAN,2 weeks ago,Mazloom ka mrna zalim k Marney sy kaisey behter hy...plz smjha dn..,https://yt3.ggpht.com/ytc/AGIKgqPrdrMTPlwtmOHBpKvb5E4n61GU25mtk3FOaFHf=s48-c-k-c0x00ffffff-no-rj,1
Qasim Ansari,2 weeks ago,Jazakumullah-O-Khairan Kaseerah,https://yt3.ggpht.com/ytc/AGIKgqOarDpVPpqppbSiXVCD78OLHrhIcPB_1i2T9mK3SA=s48-c-k-c0x00ffffff-no-rj,1
Faisal Khan Babar,2 weeks ago,Sir ap hamaray liye kisi asasay se kam ni hain,https://yt3.ggpht.com/vaeKnGw4cJLwqlZ1rela6Zwcyf-Qd8ve4UwYgF27l0s9SaG21rB4VjXjCXjd4VGyXDOGMklS8A=s48-c-k-c0x00ffffff-no-rj,1
Fatima Saeed,2 weeks ago,Abdullah is Zeeshan Usmani,https://yt3.ggpht.com/ytc/AGIKgqMoLhqTYS_d2HRQlhQ14D0dFZCJptMcc64WbeQipHZyPMUI4ND2MuHI5OtBqIn5=s48-c-k-c0x00ffffff-no-rj,1
Mehboob Ali,2 weeks ago,Leader ,,1
Mehboob Ali,2 weeks ago,,,1
A fading breath,2 weeks ago,Allah apko apne paas rkhe,,1
Muhammad Ikram,4 days ago,Great thought ,,1
Celena Gomez,10 days ago,Meri Koshish hai jaisi tarbiyat aap kar rahe hain mein waisa ho Jaon...,,0
Siraj ul Nabi,11 days ago,Video was very informative but today video is full of poetry.,,0
Mustafa Baloch,13 days ago,Allah Kareem  naheed baloch,,0
youtubyoutubeetubebem Mirza,13 days ago,Salamt rehain beta,https://yt3.ggpht.com/KRB7bDrGK_UOzGJYGYKlhc9pOd1APwVU2WjQ6TWPjGVWTrW9Tvv3n3-g4kyYU4qnqMtOuLdzNg=s48-c-k-c0x00ffffff-no-rj,0
atta ur rehman Akbar,2 weeks ago,"Wah, Sir, kamal kr diya. Allah pak app ka eman or sehat salamat rakhay.",https://yt3.ggpht.com/ytc/AGIKgqPz6j4m1fMfFXz1Zw60qt1Ad7m_rdGTk-zkglelXQ=s48-c-k-c0x00ffffff-no-rj,0
Sheikh Awais,2 weeks ago,"سبحان اللہ وبحمدہ سبحان اللہ العظیم

صَلَّی اللہُ عَلَی٘ہِ وَاٰلِہِ وَسَلِّم

ﻧَﺼْﺮٌ ﻣِّﻦ ﺍﻟﻠَّﻪِ ﻭَﻓَﺘْﺢٌ ﻗَﺮِﻳﺐٌ 🇵🇰",https://yt3.ggpht.com/ytc/AGIKgqPbg7GxFjO_V4V9HKRSL_HOQaeQL93isrtIR-0wWg=s48-c-k-c0x00ffffff-no-rj,0
Sheikh Awais,2 weeks ago,Walaikum Salam,https://yt3.ggpht.com/ytc/AGIKgqPbg7GxFjO_V4V9HKRSL_HOQaeQL93isrtIR-0wWg=s48-c-k-c0x00ffffff-no-rj,0
sadia fazil,2 weeks ago,Wah kmal... Mohabat Sy Dori turshi ka sabab bnti h. Nayab alfaaz..,https://yt3.ggpht.com/ytc/AGIKgqOcegrfW-sMLTaKsH2LXh8NQCBoXquxWkFFkAOlY4gflGwiCA1Zv-Djf4T3eWNV=s48-c-k-c0x00ffffff-no-rj,0
The Big Shift,2 weeks ago,Abdullah should make his YT channel and monetize,https://yt3.ggpht.com/JEyYs5f7gTrgZoF1IOMNuV5z-PqfJHfUXyYF5BaAlQN-cEAkyI7KXqK2M71I04Yifd5_xW048Jc=s48-c-k-c0x00ffffff-no-rj,0
Bint e Hawwa !!,2 weeks ago,جزاک اللہ,https://yt3.ggpht.com/uj2Lr8kNGVSOAfNSs5lfmrYbmGXM9S8S-2nwoO-bCbuEtHcBt1kW_DSkt0iEzZWIT1miK59B4_s=s48-c-k-c0x00ffffff-no-rj,0
lazzi,2 weeks ago,️️️,https://yt3.ggpht.com/ytc/AGIKgqPBa3KYo0fCyQ2uxnm0xKdI6ddnbfv67eTVG_zy=s48-c-k-c0x00ffffff-no-rj,0
Raza AR,2 weeks ago,Thanks jazak ALLAH sir,https://yt3.ggpht.com/mXsVXl5k5ph5RcXtvs7_VTLFxf9V3HSvY2zKtTZ3ra_EWKCq46u27cSeAfafvWK0oglFIiTR=s48-c-k-c0x00ffffff-no-rj,0
Yaseen Baloch,2 weeks ago,Allah ap ko Salamt rakhe Zeeshan bhai,https://yt3.ggpht.com/ytc/AGIKgqOIh-K-zmq50EmXaabRzOq6oUqXOdDIm2Bj4dlXKw=s48-c-k-c0x00ffffff-no-rj,0
Shan Khan,2 weeks ago,Abdullah ko bhi .vedio me kabhi laye .,https://yt3.ggpht.com/ytc/AGIKgqPwF1slb4fMEuYI0KxGD0ayLjLNpZIspSBW4F4T=s48-c-k-c0x00ffffff-no-rj,0
Food and travelling by Bilal,2 weeks ago,پہلی بات تو آپ اللہ سے ڈرتے کب ہو اور دوسرا آپ اللہ اور اللہ کے رسول کے خلاف جنگ کرتے ہو یہ  منافقت نہیں ہے تو اور کیا ہے,https://yt3.ggpht.com/ytc/AGIKgqPYPjEQOTS26CJlZkWbuFxE3k9ZRpB8rfYxt3wfQA=s48-c-k-c0x00ffffff-no-rj,0
Hasnain Asif,2 weeks ago,JazakAllah sir,https://yt3.ggpht.com/ytc/AGIKgqMjvCEUqzDmMOAo8SGeEwjHpb1uDNrnztuiIJj2TQ=s48-c-k-c0x00ffffff-no-rj,0
RAJAB CONSTRUCTION CO.,2 weeks ago,Wa alaikum as salam wa rahmatullahi wa barkatahu aameen jazak Allah hu khair  very good information helpful and great advice excellent explanation amazing useful valuable video sir masha Allah subhan Allah alhamdulilah Allah hu akbar Allah hu akbar Allah hu akbar best motivational speakers will done salute sir inspiring motivational lessons and sessions positive topic sir thanks you God bless you always sir respected Mr dr zeeshan usmani shahab jazak Allah hu khair dil ️ se  dua ha brother ramadan kareem ki bohot bohot mubarak ho brother jazak Allah hu khair brother I am from India 🇮🇳🇮🇳,https://yt3.ggpht.com/ytc/AGIKgqN2F6dv_VQ6emSWj-y9Dw4ha_HQ7XeABmSpDQ=s48-c-k-c0x00ffffff-no-rj,0
