Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Kaam Ka TV,10 days ago,یا اللہ رب العزت.... ہمیں حرمین شریفین کی باربار حاضری کی توفیق عطا فرما.... آمین یا رب العالمین,https://yt3.ggpht.com/ytc/AGIKgqOwrwjIUUXV6nkaq0opusC7SgKRD_dzgR3zbtex=s48-c-k-c0x00ffffff-no-rj,9
zeenat salman,9 days ago,"I must recommend everyone to please read ""justoojo ka safar"" book by zeeshan usmani ",https://yt3.ggpht.com/ytc/AGIKgqOruLOotF5MjvY0_rTCxPNl-20XxUSYOSyDUG5aVg=s48-c-k-c0x00ffffff-no-rj,5
karate master,10 days ago,Kitni dafa like ka button dabaon nh maloom....bht achchi baate karte h.. aapki ma ko salam jisne aap jesa bandda hame diya...Allah aapko salamti de,https://yt3.ggpht.com/Z981COEjWelilgTgmmQmRRQILy4cVQMeEhWJjavo-RIzq-pOh-BDTVL0MKrTnE07bx8k3zq1=s48-c-k-c0x00ffffff-no-rj,25
Aamir Sohail,9 days ago,"Sir ap k liye Dill se dua hai Allah pak apka saya hum pr slamt rakhy.
Sir you are my most favorite teacher and mentor.",https://yt3.ggpht.com/ytc/AGIKgqPpE7jlmhxNyGIFkL0cgL4j7sxUVjtyF0cbvXqu9w=s48-c-k-c0x00ffffff-no-rj,5
Abdul Muhaimin,10 days ago,سر ۔۔میں دل سے بے اختیار آپ کی عزت کرتا ہوں ️,https://yt3.ggpht.com/ytc/AGIKgqO-P3w9WwrFCjxHWYvY0KG5JS_V5cla0LUlQ-Bu6YCEHgx0iyHHsz9FIFqOUzBv=s48-c-k-c0x00ffffff-no-rj,8
erum syed,10 days ago,MashaAllah sir  precious words Alhamdulillah 100%GOD Bless u,https://yt3.ggpht.com/Xgir5nFIY2wT5bapAD4QUpkNi8GdlCd8n3_Cp-yF3RIyBeBwA7xpkiMDKPjr0rtiZE-LFQEySU4=s48-c-k-c0x00ffffff-no-rj,6
Z STORE MUX,9 days ago,Baraka Allah Very well explained,https://yt3.ggpht.com/ytc/AGIKgqM_TMUWCH32O_6Pr4fMfEUNAL4ICxgVgWVuJELs3rA=s48-c-k-c0x00ffffff-no-rj,3
kashif ullah peshawari,9 days ago,ماں باپ کے عمل کا اثر ڈائریکٹ اولاد پر اثر کرتا ہے,https://yt3.ggpht.com/3ZnapJr5Q1rHDJpY2mnRL4RVGDqygSBWeqj6mxuTrm9JWMYbwi8-j1HUhOFGWzA5c-VCSoln=s48-c-k-c0x00ffffff-no-rj,5
Bint e Hawwa !!,9 days ago,ماشاءاللہ !! جزاک اللہ,https://yt3.ggpht.com/uj2Lr8kNGVSOAfNSs5lfmrYbmGXM9S8S-2nwoO-bCbuEtHcBt1kW_DSkt0iEzZWIT1miK59B4_s=s48-c-k-c0x00ffffff-no-rj,3
Amjadjnoubi,9 days ago,Sorry Sir m Pagle nahe hon Ap ka fan hon,https://yt3.ggpht.com/5w8hV6rOlnyvj7mYAXkTHB26yzUkRHiqIrCQ6wwceLkV5PXcQxR0XlFIEfhh1g6iMrkVNp5eYQ=s48-c-k-c0x00ffffff-no-rj,4
Xoundz MasteR,9 days ago,دریں چہ شک ,https://yt3.ggpht.com/ytc/AGIKgqOMl9e275fitNn1KPWyg34Tg21FRwgI895_cA=s48-c-k-c0x00ffffff-no-rj,2
Asghari Begum,10 days ago,Please pray for me and my daughters.,https://yt3.ggpht.com/ytc/AGIKgqMosAlfA1HMdUbp4L5QXh-36M4fwiTNTjoTfg=s48-c-k-c0x00ffffff-no-rj,1
Arshiyaa Ansarii,9 days ago,"Assalamualaikum alaikum
Maine yha se kuch skills Sikh liye jisse dunya nhi to akhirat zaroor kamai ja sakti hai agr ap dunya ko kamane k liye nhi sikh saktey to akhirat ko kamane k liye skill sikh le dua manga ak skill sikh le or rajj ke dua mangey 
Ilm hasil kre TALEEM BEHTREEN INKAM HAI  main ye skill sikh li hai or bhi bht si Alhmdulillah AI ki bhi or mai ab ak Talib ul Quran hun or jb tak hayat rahun tab tak Talib ul Quran rhna hai in sha Allah 
Or usmani sahab k ye alfaz kaam kr gye ki MUJHE DUA ME YAAD RAKHNA kaam kr gye jb bhi dua k liye hath uthaye unka chehra samne aa jata hai",,4
Afreen Tasleem,6 days ago,sir mai puri muttfiq hoon aapki baat se......dil ki ghraaiu se dua niklti h aapk liye 🇮🇳,https://yt3.ggpht.com/ytc/AGIKgqOoPKJugufHQDz3nixLaqK5QFbo9m_ZcyHl8g=s48-c-k-c0x00ffffff-no-rj,0
Amjadjnoubi,9 days ago,Yes Sir hum Amal Karni Vali hen  ,https://yt3.ggpht.com/5w8hV6rOlnyvj7mYAXkTHB26yzUkRHiqIrCQ6wwceLkV5PXcQxR0XlFIEfhh1g6iMrkVNp5eYQ=s48-c-k-c0x00ffffff-no-rj,3
SYED osama,8 days ago (edited),"Assalam-u-alikum Sir Iam from Karachi Pakistan. I strongly agree with your point of view, but the problem is parents should realize this too as well if they don't accept their mistake and continuously blame their children for their attitude problem which they inherited from their parents and it would be something next level trauma for children, to have such kind of Parents.",https://yt3.ggpht.com/ytc/AGIKgqO3vaOKvW6tJGdZQulTQQlopIRYVvYzuyUJ_A=s48-c-k-c0x00ffffff-no-rj,0
Affable Personality,9 days ago,"MashaALLAH 
JazakALLAH 
TabarakALLAH 
ALLAH KAREEM Apko Salamat rkhe 
Apni Panaah me rakhe 
Or Humko hr Achi baat ko Sahi Maano me 
Sun'nne Samjhne Or Amal e Saaleh ki Tofeeq Or Aasaaniyan Ataa Frmae, Aameen ya RABBUL Aalameen.",https://yt3.ggpht.com/ytc/AGIKgqM_Wqvs8gcWwmYEXVTl59qez5-gtRZTElPrTFguqkCIkYwthTgIcIC3QoGfxxwV=s48-c-k-c0x00ffffff-no-rj,3
shujaat ali,9 days ago,"Very True , Reality ,Straight in our face",https://yt3.ggpht.com/ytc/AGIKgqP5d3HfuDQAl6nmIsOT9xUp_9mUY8fDHDOEOiTB=s48-c-k-c0x00ffffff-no-rj,3
M owais,10 days ago,abe bhai yr kaha se late ho ese alfaz esi misale. buhut khooob,https://yt3.ggpht.com/ytc/AGIKgqNc3qxHL9Xp_GEVAiyXHl_2cLK01kbMuXW2cV2i=s48-c-k-c0x00ffffff-no-rj,3
Amjadjnoubi,9 days ago,M hon aap sab ka Amjad jnoubi ,https://yt3.ggpht.com/5w8hV6rOlnyvj7mYAXkTHB26yzUkRHiqIrCQ6wwceLkV5PXcQxR0XlFIEfhh1g6iMrkVNp5eYQ=s48-c-k-c0x00ffffff-no-rj,2
Amjadjnoubi,9 days ago,,https://yt3.ggpht.com/5w8hV6rOlnyvj7mYAXkTHB26yzUkRHiqIrCQ6wwceLkV5PXcQxR0XlFIEfhh1g6iMrkVNp5eYQ=s48-c-k-c0x00ffffff-no-rj,2
Amjadjnoubi,9 days ago,Hamari yehan hillal nahe milta ,https://yt3.ggpht.com/5w8hV6rOlnyvj7mYAXkTHB26yzUkRHiqIrCQ6wwceLkV5PXcQxR0XlFIEfhh1g6iMrkVNp5eYQ=s48-c-k-c0x00ffffff-no-rj,2
Amjadjnoubi,9 days ago,Dua mangi hii Ap ki Lai ,https://yt3.ggpht.com/5w8hV6rOlnyvj7mYAXkTHB26yzUkRHiqIrCQ6wwceLkV5PXcQxR0XlFIEfhh1g6iMrkVNp5eYQ=s48-c-k-c0x00ffffff-no-rj,2
Yaqoob Baloch,9 days ago,کچھ بچے خود فطرتا کج رو ہوتے ہیں اور کے شواھد انبیاء کی زندگی میں موجود ہیں,https://yt3.ggpht.com/ytc/AGIKgqMjMptvO5nkCrcDrxKPaWB9IjbUsyZEABLNnA1Y-fjnGfDYaxPju46YFAFsWhWu=s48-c-k-c0x00ffffff-no-rj,2
M Bilal Zafar,9 days ago,Superbbbb Advice....Thanks Sir Jee,https://yt3.ggpht.com/ytc/AGIKgqMAwtyZW3tzhoMafuJnmdjD4w7Gelt_etp04hMH=s48-c-k-c0x00ffffff-no-rj,2
Love Cars,9 days ago,% agreed ,,2
falak,13 days ago,Bless u Sir,,3
Zahoor Khan,22 hours ago,"Sir

Hama tou confusion ka shikar bana dia ha ham tou is kash makash ma han k YouTube aur FB say pasa kamana halal ha k haram?",,1
Pari Zaad,3 days ago,"السلام علیکم
حضرت غصے کا کوئی علاج بتائیں بڑی مہربانی ہوگی جزاک اللہ خیرا",,1
