Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Muhammad Talha,1 hour ago (edited),"Message of wisdom, Dr Usmani! Jazak Allah! Please, continue this invaluable series! It also seems to match Chinese philosophy. By humbly doing their hard work & minding their own business despite provocation and temptation, now they're a competing super power (and it's only now that they are showing some teeth and that's creating trouble). ... The world is better off if China follows what Dr Usmani is advising!",https://yt3.ggpht.com/ytc/AGIKgqOAh6luzRk8CZT_7ODbJsCOUswALkJlnKropHvLcQ=s48-c-k-c0x00ffffff-no-rj,5
Sharbeen Shakir,43 minutes ago,Speechless sir..hatts off ,https://yt3.ggpht.com/ytc/AGIKgqMRAKwYlIyd6Nd9-l5ZgZPrXrIZvLI3O30bPA=s48-c-k-c0x00ffffff-no-rj,3
Hyder Ali,55 minutes ago,"""Dil tou Allah saen ke pass safe mai rakhwa dijiye takay koi tor na sakay""",https://yt3.ggpht.com/630tanfBosIp8cedPHFlhGA7kmykAKgsC7cNsQ5SsXFV2fgLgspXMrQaiWktUld8NbfS1D2e=s48-c-k-c0x00ffffff-no-rj,3
Mohammad Zaid,1 hour ago,Sir please continue ,https://yt3.ggpht.com/ytc/AGIKgqOXMSnIxNiq7-kTuSbVwe7W5wHoUItnJlh-1k7jHx_n5AGoSm8J3JCeoap1_7Rn=s48-c-k-c0x00ffffff-no-rj,3
sadia fazil,9 days ago,Shaid aaik aisi video hogi jiska .mujy kafi waqt Sy intazar h... Apnon k diy huy zulm or takleef or unki haqiat to dykh li arsy Sy.. mgr unk bary myn kch sun'na chahti hon .,https://yt3.ggpht.com/ytc/AGIKgqOcegrfW-sMLTaKsH2LXh8NQCBoXquxWkFFkAOlY4gflGwiCA1Zv-Djf4T3eWNV=s48-c-k-c0x00ffffff-no-rj,3
DaRaKhShAn,13 minutes ago,Jajakallah Khair bht sukun milti hai aapko sun k sir plz hme apni duaon me shamil kijiyega,https://yt3.ggpht.com/lKbdmGmD96DzljNSLapsVJwob3GddKCiSWmNyuYwn2cXurDDoWB8ghVelUaxkcKOhGBagmPD=s48-c-k-c0x00ffffff-no-rj,2
Abdul Wahab Khan,19 minutes ago,"Awesome start with the series, Sir. I am confident that wr are going to learn a lot, which will benefit us in both worlds  ان شاء الله.",https://yt3.ggpht.com/ytc/AGIKgqMre2Rl4woZ4vNXp-0zaYmhy-LkcYXuDMxHl_w-cw=s48-c-k-c0x00ffffff-no-rj,2
Naghmana Mana,31 minutes ago,Jazak Allah,https://yt3.ggpht.com/XUGxM019JJ07kcm7Yor-0sH238bP-JchN3HgZPNbbTrIgnHCx-YHYl81FD3_QxXaDtHnObAPQA=s48-c-k-c0x00ffffff-no-rj,2
Viral Shorts,52 minutes ago,Dear sir continue this series. We are all waiting for upcoming video's. Dear sir this series is life changing. Thank you sir you have to lunch this type of series.,https://yt3.ggpht.com/ytc/AGIKgqOOpNpSY2VEG-ZYNX9iwTupsUfLADy8uKt9_hA7=s48-c-k-c0x00ffffff-no-rj,2
Moeed Irfan,56 minutes ago,"The Only Teacher that 21 century's asian children has a blessing for guidance.

May Allah bless you and your parents, teachers, Sir!",https://yt3.ggpht.com/GLSreJBr4IAEOTjiIAdCWrJVO_pNjv1S632m_wy3mMoDzlHGWUb1oWX1y5ULy7HBNJOdkmMt2g=s48-c-k-c0x00ffffff-no-rj,2
Sobia Fakhar,9 minutes ago,Sab sy bahtreen tariqa ye Hy k rishtadaro sy kita rahmi b na karain or distance b rakhain is sy apko kosata nahi saky ga,https://yt3.ggpht.com/ytc/AGIKgqM-LGjUiRHOPM3B7omI-YSRlC6AYxP4JhVx04-xyi7zwxlr8yfTbV0pN9llRu2j=s48-c-k-c0x00ffffff-no-rj,1
Ahmad Hassan,9 minutes ago,Jazak Allah! Please Continue Sir G,https://yt3.ggpht.com/ytc/AGIKgqM7fyKy_B9jY0_dztcZ8c_c71-be9pN_jpoJZR83g=s48-c-k-c0x00ffffff-no-rj,1
oye hoye cooking,13 minutes ago,"JazakAllah 
Best advices.Turn my burning thought to cold.Again JazakAllah. You are the best mentor.",https://yt3.ggpht.com/6CxYgxll_MYTTGqVCI3J2LXFjbYrhUEMteZBhQ_HgnaeM752sk7pUgKKPgDjf9cCsdNk6gsG=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Naeem,14 minutes ago,واہ مرشد واہ ,https://yt3.ggpht.com/ytc/AGIKgqOF-WnWfy3RAx1ErXOrRAj2BiLfFPvV_yQaSaERIGUIXST4IQDKruJKD8WBpQGQ=s48-c-k-c0x00ffffff-no-rj,1
Quran Centre,16 minutes ago,"بہت اعلی مشورہ ہے۔ ماشاءاللہ ۔ 
جزاک اللہ خیرا أحسن الجزاء",https://yt3.ggpht.com/ytc/AGIKgqO8k0GRzdq2jTh68suh3bXCzyXWj63tv-LqwSBL=s48-c-k-c0x00ffffff-no-rj,1
Muhammad Farooq Cheema,23 minutes ago,صلہ رحمی کی آپ نے اپنے الفاظ میں بہت اچھی ترغیب دی- جزاکاللہ خیرا کثیرا,https://yt3.ggpht.com/ytc/AGIKgqMuY73IwExi9rAATmVmzc1HDb36hAb5XwkeHeHCBg=s48-c-k-c0x00ffffff-no-rj,1
